task_id,agent,error
django__django-13658,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFV69mHw4YEhUs4Cbh'}"
astropy__astropy-7606,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFW7Av9pSXhu7WiV3T'}"
django__django-16801,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFWpatpwzbDFYo2GxW'}"
django__django-16429,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFXehBek3w9Y21uqzM'}"
sympy__sympy-24539,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYQczRCzUC1g1yJLCA'}"
django__django-11276,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYSFioLB9YAjQsLhe6'}"
pytest-dev__pytest-7571,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYT2r8xtpQkWHdBRKy'}"
django__django-11099,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYTnzR6BFFb4ok6g1C'}"
pydata__xarray-4629,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYUXtQoQDccU5o4V8X'}"
sympy__sympy-14711,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYYpMwSYAkN3vkTMK6'}"
scikit-learn__scikit-learn-26323,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYaa2e6hFM44uraqcU'}"
django__django-11885,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYc6ZE6wqkpaS8vg8e'}"
sphinx-doc__sphinx-8475,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYdSRDvMT4eyjLp5Ek'}"
mwaskom__seaborn-3069,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYe5NR8uVF2ZYiWddo'}"
django__django-10554,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYen2xyDKwqvTugBDP'}"
astropy__astropy-8872,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYfHJKGygL1uUh5psZ'}"
django__django-11999,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYfr2vyawMSWgenmss'}"
django__django-14351,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYgTVStohEcmkcCsW5'}"
django__django-14580,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYgxFvBLP2C3KthAjf'}"
pytest-dev__pytest-7490,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYhUG8QAVGGhyf98gE'}"
