task_id,agent,error
pytest-dev__pytest-6202,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYi21HrTUe5DwHNAVS'}"
django__django-11551,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYiehaM7JZXKgwhcie'}"
astropy__astropy-7336,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYjBxACWHhjNDmFeWe'}"
scikit-learn__scikit-learn-25931,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYjxqJZhLUZq6vJsGV'}"
django__django-14238,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYka3UFtcoPYQHQNqF'}"
django__django-13809,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYmjVV3UgZwyTMrHs4'}"
django__django-13670,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYnoEkCfSX9vMPLtTF'}"
django__django-12155,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYoJVpUrh4ZDNy88EE'}"
django__django-11451,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYotUFp755n2CZaZRS'}"
scikit-learn__scikit-learn-10844,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYpWvNVQLxMAZW7pMo'}"
sympy__sympy-23534,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYqA7yHPqJsXj2L4kT'}"
scikit-learn__scikit-learn-26194,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYqg84zrtNqF2M82hb'}"
django__django-11790,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYrFrB6Sjto7BciwYH'}"
sphinx-doc__sphinx-8459,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYsCeqyaQATRpcJMnM'}"
psf__requests-6028,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYt1WyR1r16rzqz2PM'}"
django__django-10554,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYtaVy7QLALmGEsUCr'}"
astropy__astropy-8872,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYu7zcVKeGqVxPe2ub'}"
django__django-11848,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYufEyFX9YyPZNyg4g'}"
django__django-14311,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYvKRhdMteZqVmX8y6'}"
django__django-14534,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYvwt8bkRPENNz7XSd'}"
