task_id,agent,error
sympy__sympy-23534,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYwUP8rqcL6tZnqjMW'}"
django__django-12419,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYx5bXHCEe3qd1PuqQ'}"
django__django-10880,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYy86fsxs6XZBbiGTt'}"
django__django-15572,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYypWusjdDxYpohtyB'}"
django__django-15278,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYzbA6RNmWo8v78kXs'}"
django__django-14855,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ18eJXoFkvfFfL6LG'}"
django__django-13569,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ1iNVSzrJ2iUFWc9k'}"
django__django-12193,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ2HrC6dF1ToimEnUP'}"
scikit-learn__scikit-learn-14710,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ2qqVsMPcw7aSEfMr'}"
django__django-12039,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ3QZppNbE4RXDeKdo'}"
sympy__sympy-15976,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ3zYYgYCpScTnVVCH'}"
pytest-dev__pytest-5787,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ4YnEbtoAZEGae9qw'}"
django__django-10097,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ53YcW86RrVztCtay'}"
astropy__astropy-8872,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ5gjjvmMG83Nc4XHz'}"
django__django-12125,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ6LgKCkTbr9smtD8M'}"
django__django-14771,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ7YMgPEiCsRMRHf9o'}"
django__django-15128,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ87LdEKXu1DwSfzEh'}"
sphinx-doc__sphinx-8269,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ8uDNEzmo4e9KjS9W'}"
sympy__sympy-17655,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ9jpVZ1bhrFF2vDHQ'}"
astropy__astropy-7606,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZBSGKjDwNxeiDDsDg'}"
