task_id,agent,error
django__django-14855,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZC7CHhxwqtZrVnRxX'}"
django__django-11119,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZCtLHcoZXrPaA4aVm'}"
astropy__astropy-14539,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZDRKyZDQpBbeVMKYf'}"
django__django-12143,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZE5m4wKtHJHDZHeP8'}"
django__django-11951,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZEmSbXUSo5tz3jYcf'}"
django__django-11880,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZFQPLmx1aWoEtoJPc'}"
django__django-11133,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZFzriyCkZy7zqYY3i'}"
django__django-11099,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZGWrj9VXD3L9GCnPU'}"
django__django-14089,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZHG1GybKdeRH45c5Q'}"
django__django-11095,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZJLFHAAr1PRYppxtu'}"
django__django-15629,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZK97reD5mNST3jAXc'}"
django__django-14140,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZKnZVCqxBrW8xfwgY'}"
astropy__astropy-14182,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZLftYKjTw592u4N6a'}"
astropy__astropy-14096,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZMXjQEkhRCtsKcsBn'}"
django__django-11087,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZNU3HGWPwW4i8b5EZ'}"
django__django-12209,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZPGAYXKMxw9NEU18H'}"
django__django-12304,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZQED9gRJQE2P7ttAY'}"
django__django-14792,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZRmEHRQ4QfYN5LH18'}"
astropy__astropy-13977,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZSKxh7psXpyXnatxX'}"
django__django-15382,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZT6M4XPbi7pj3rSkS'}"
