task_id,agent,error
django__django-13658,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFV69mHw4YEhUs4Cbh'}"
astropy__astropy-7606,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFW7Av9pSXhu7WiV3T'}"
django__django-16801,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFWpatpwzbDFYo2GxW'}"
django__django-16429,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJFXehBek3w9Y21uqzM'}"
sympy__sympy-24539,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYQczRCzUC1g1yJLCA'}"
django__django-11276,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYSFioLB9YAjQsLhe6'}"
pytest-dev__pytest-7571,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYT2r8xtpQkWHdBRKy'}"
django__django-11099,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYTnzR6BFFb4ok6g1C'}"
pydata__xarray-4629,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYUXtQoQDccU5o4V8X'}"
sympy__sympy-14711,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYYpMwSYAkN3vkTMK6'}"
scikit-learn__scikit-learn-26323,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYaa2e6hFM44uraqcU'}"
django__django-11885,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYc6ZE6wqkpaS8vg8e'}"
sphinx-doc__sphinx-8475,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYdSRDvMT4eyjLp5Ek'}"
mwaskom__seaborn-3069,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYe5NR8uVF2ZYiWddo'}"
django__django-10554,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYen2xyDKwqvTugBDP'}"
astropy__astropy-8872,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYfHJKGygL1uUh5psZ'}"
django__django-11999,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYfr2vyawMSWgenmss'}"
django__django-14351,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYgTVStohEcmkcCsW5'}"
django__django-14580,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYgxFvBLP2C3KthAjf'}"
pytest-dev__pytest-7490,20240402_sweagent_claude3opus,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYhUG8QAVGGhyf98gE'}"
pytest-dev__pytest-6202,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYi21HrTUe5DwHNAVS'}"
django__django-11551,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYiehaM7JZXKgwhcie'}"
astropy__astropy-7336,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYjBxACWHhjNDmFeWe'}"
scikit-learn__scikit-learn-25931,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYjxqJZhLUZq6vJsGV'}"
django__django-14238,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYka3UFtcoPYQHQNqF'}"
django__django-13809,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYmjVV3UgZwyTMrHs4'}"
django__django-13670,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYnoEkCfSX9vMPLtTF'}"
django__django-12155,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYoJVpUrh4ZDNy88EE'}"
django__django-11451,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYotUFp755n2CZaZRS'}"
scikit-learn__scikit-learn-10844,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYpWvNVQLxMAZW7pMo'}"
sympy__sympy-23534,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYqA7yHPqJsXj2L4kT'}"
scikit-learn__scikit-learn-26194,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYqg84zrtNqF2M82hb'}"
django__django-11790,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYrFrB6Sjto7BciwYH'}"
sphinx-doc__sphinx-8459,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYsCeqyaQATRpcJMnM'}"
psf__requests-6028,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYt1WyR1r16rzqz2PM'}"
django__django-10554,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYtaVy7QLALmGEsUCr'}"
astropy__astropy-8872,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYu7zcVKeGqVxPe2ub'}"
django__django-11848,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYufEyFX9YyPZNyg4g'}"
django__django-14311,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYvKRhdMteZqVmX8y6'}"
django__django-14534,20240402_sweagent_gpt4,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYvwt8bkRPENNz7XSd'}"
sympy__sympy-23534,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYwUP8rqcL6tZnqjMW'}"
django__django-12419,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYx5bXHCEe3qd1PuqQ'}"
django__django-10880,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYy86fsxs6XZBbiGTt'}"
django__django-15572,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYypWusjdDxYpohtyB'}"
django__django-15278,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJYzbA6RNmWo8v78kXs'}"
django__django-14855,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ18eJXoFkvfFfL6LG'}"
django__django-13569,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ1iNVSzrJ2iUFWc9k'}"
django__django-12193,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ2HrC6dF1ToimEnUP'}"
scikit-learn__scikit-learn-14710,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ2qqVsMPcw7aSEfMr'}"
django__django-12039,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ3QZppNbE4RXDeKdo'}"
sympy__sympy-15976,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ3zYYgYCpScTnVVCH'}"
pytest-dev__pytest-5787,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ4YnEbtoAZEGae9qw'}"
django__django-10097,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ53YcW86RrVztCtay'}"
astropy__astropy-8872,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ5gjjvmMG83Nc4XHz'}"
django__django-12125,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ6LgKCkTbr9smtD8M'}"
django__django-14771,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ7YMgPEiCsRMRHf9o'}"
django__django-15128,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ87LdEKXu1DwSfzEh'}"
sphinx-doc__sphinx-8269,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ8uDNEzmo4e9KjS9W'}"
sympy__sympy-17655,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZ9jpVZ1bhrFF2vDHQ'}"
astropy__astropy-7606,20240620_sweagent_claude3.5sonnet,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZBSGKjDwNxeiDDsDg'}"
django__django-14855,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZC7CHhxwqtZrVnRxX'}"
django__django-11119,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZCtLHcoZXrPaA4aVm'}"
astropy__astropy-14539,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZDRKyZDQpBbeVMKYf'}"
django__django-12143,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZE5m4wKtHJHDZHeP8'}"
django__django-11951,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZEmSbXUSo5tz3jYcf'}"
django__django-11880,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZFQPLmx1aWoEtoJPc'}"
django__django-11133,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZFzriyCkZy7zqYY3i'}"
django__django-11099,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZGWrj9VXD3L9GCnPU'}"
django__django-14089,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZHG1GybKdeRH45c5Q'}"
django__django-11095,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZJLFHAAr1PRYppxtu'}"
django__django-15629,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZK97reD5mNST3jAXc'}"
django__django-14140,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZKnZVCqxBrW8xfwgY'}"
astropy__astropy-14182,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZLftYKjTw592u4N6a'}"
astropy__astropy-14096,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZMXjQEkhRCtsKcsBn'}"
django__django-11087,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZNU3HGWPwW4i8b5EZ'}"
django__django-12209,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZPGAYXKMxw9NEU18H'}"
django__django-12304,20240728_sweagent_gpt4o,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20250514'}, 'request_id': 'req_011CWuJZQED9gRJQE2P7ttAY'}"
