,b
abetlen__llama-cpp-python-218d361,6.451559066772461
abetlen__llama-cpp-python-2bc1d97,6.170876502990723
huggingface__datasets-5994036,6.443630695343018
huggingface__datasets-c5464b3,6.473104476928711
huggingface__datasets-ef3b5dd,-0.7803143262863159
huggingface__tokenizers-076319d,-0.8852562308311462
huggingface__tokenizers-bfd9cde,6.224088668823242
huggingface__tokenizers-c893204,-0.846587598323822
huggingface__tokenizers-fc76ad4,6.3182878494262695
huggingface__transformers-211f93a,6.3188629150390625
huggingface__transformers-253f9a3,6.47845458984375
huggingface__transformers-63b90a5,-2.312197685241699
huggingface__transformers-d51b589,6.382529258728027
numpy__numpy-09db9c7,6.449198246002197
numpy__numpy-11a7e2d,6.171032428741455
numpy__numpy-19bfa3f,6.478028297424316
numpy__numpy-1b861a2,6.294086456298828
numpy__numpy-1fcda82,6.436588287353516
numpy__numpy-22ab9aa,6.291181564331055
numpy__numpy-248c60e,-2.1583642959594727
numpy__numpy-2540554,6.562312602996826
numpy__numpy-28706af,6.410007476806641
numpy__numpy-2dfd21e,6.599029064178467
numpy__numpy-330057f,6.127422332763672
numpy__numpy-382b3ff,6.195577144622803
numpy__numpy-567b57d,6.333911418914795
numpy__numpy-5f94eb8,6.357106685638428
numpy__numpy-68eead8,-0.6674584150314331
numpy__numpy-728fedc,6.184749603271484
numpy__numpy-780799b,6.409158706665039
numpy__numpy-7853cbc,-3.0280113220214844
numpy__numpy-794f474,6.488834381103516
numpy__numpy-7ff7ec7,-0.8009785413742065
numpy__numpy-83c780d,6.451357364654541
numpy__numpy-893db31,6.2711286544799805
numpy__numpy-8dd6761,6.303192138671875
numpy__numpy-905d37e,6.3486809730529785
numpy__numpy-ac5c664,6.373403072357178
numpy__numpy-b862e4f,6.369628429412842
numpy__numpy-ba89ef9,6.183815002441406
numpy__numpy-be52f19,6.097965240478516
numpy__numpy-cb0d7cd,6.37508487701416
numpy__numpy-cb461ba,6.512195110321045
numpy__numpy-cedba62,-0.8634589910507202
numpy__numpy-e801e7a,6.571516513824463
numpy__numpy-eb21b25,6.420065402984619
numpy__numpy-ec52363,-0.860451877117157
numpy__numpy-ee75c87,6.1988115310668945
numpy__numpy-ef5e545,6.313108921051025
pandas-dev__pandas-061c2e9,6.309738636016846
pandas-dev__pandas-191557d,6.08302116394043
pandas-dev__pandas-1c2ad16,6.03246545791626
pandas-dev__pandas-2278923,-0.8653512597084045
pandas-dev__pandas-233bd83,6.292247772216797
pandas-dev__pandas-235113e,6.446320533752441
pandas-dev__pandas-2421931,6.150938034057617
pandas-dev__pandas-2a08b05,6.35830545425415
pandas-dev__pandas-2cdca01,6.25251579284668
pandas-dev__pandas-2f4c93e,-0.8299226760864258
pandas-dev__pandas-37e9e06,-4.322449684143066
pandas-dev__pandas-438b957,6.336785316467285
pandas-dev__pandas-45f0705,-0.7973564267158508
pandas-dev__pandas-5d82d8b,6.588404655456543
pandas-dev__pandas-609c3b7,-2.3608882427215576
pandas-dev__pandas-65bca65,-0.9228248000144958
pandas-dev__pandas-71c94af,6.371613025665283
pandas-dev__pandas-81b5f1d,6.285472393035889
pandas-dev__pandas-84aca21,6.238955497741699
pandas-dev__pandas-9097263,6.1265950202941895
pandas-dev__pandas-9a6c8f0,6.273005962371826
pandas-dev__pandas-9d6d587,-0.8477800488471985
pandas-dev__pandas-ad3f3f7,6.490814208984375
pandas-dev__pandas-bfaf917,6.109665393829346
pandas-dev__pandas-c34da50,6.3386383056640625
pandas-dev__pandas-c51c2a7,-0.7463140487670898
pandas-dev__pandas-c6cf37a,6.2605791091918945
pandas-dev__pandas-ccca5df,6.356839179992676
pandas-dev__pandas-d377cc9,6.592872619628906
pandas-dev__pandas-e7e3676,6.42265510559082
pandas-dev__pandas-e8961f1,6.539313793182373
pandas-dev__pandas-f1211e7,6.283962726593018
pandas-dev__pandas-f298507,6.4095234870910645
pandas-dev__pandas-fd43d4b,6.3499436378479
pydantic__pydantic-4a09447,-2.8288798332214355
pydantic__pydantic-ac9e6ee,6.414575576782227
pydantic__pydantic-addf1f9,6.614480972290039
pydantic__pydantic-c2647ab,6.425370693206787
python-pillow__Pillow-63f398b,6.214385986328125
python-pillow__Pillow-d8af3fc,6.3394317626953125
python-pillow__Pillow-f854676,-3.1152985095977783
python-pillow__Pillow-fd8ee84,-2.9106063842773438
tornadoweb__tornado-1b464c4,-2.8752541542053223
tornadoweb__tornado-4d4c1e0,6.418918132781982
tornadoweb__tornado-9a18f6c,-3.520151376724243
tornadoweb__tornado-ac13ee5,6.412291526794434
uploadcare__pillow-simd-0514e20,6.246405124664307
uploadcare__pillow-simd-2818b90,6.101707935333252
uploadcare__pillow-simd-6eacce9,6.287781238555908
uploadcare__pillow-simd-7511039,6.333539009094238
uploadcare__pillow-simd-9e60023,6.281951427459717
uploadcare__pillow-simd-b4045cf,6.313590049743652
uploadcare__pillow-simd-d970a39,-0.9731784462928772
