,theta,theta_std
gpt-5.2,-0.6226677894592285,0.3774019
claude-opus-4.5,-0.8134308457374573,0.40008003
gemini-3-pro,-1.5724047422409058,0.28801307
claude-sonnet-4.5,-1.9703856706619263,0.32875085
gpt-5.1,-2.311603546142578,0.33058035
gemini-3-flash,-2.7128467559814453,0.36132467
o3,-2.8040971755981445,0.42319807
claude-opus-4,-3.281761646270752,0.5133384
gpt-5,-3.314401626586914,0.45174778
kimi-k2,-3.463301181793213,0.27835092
qwen3-coder,-3.6609768867492676,0.58008265
gemini-2.5-pro,-4.176623821258545,0.49053237
claude-sonnet-4,-4.206696033477783,0.48633003
glm-4.5,-4.392477989196777,0.63706917
