,b,b_std
abetlen__llama-cpp-python-218d361,5.908652305603027,3.1536112
abetlen__llama-cpp-python-2bc1d97,6.234738826751709,1.9026132
huggingface__datasets-5994036,5.7408952713012695,3.0072703
huggingface__datasets-c5464b3,5.7375311851501465,2.7378278
huggingface__datasets-ef3b5dd,-0.9382028579711914,0.7147955
huggingface__tokenizers-076319d,-0.7048044204711914,0.8740779
huggingface__tokenizers-bfd9cde,5.958906650543213,2.4142926
huggingface__tokenizers-c893204,-2.22156023979187,1.0354681
huggingface__tokenizers-fc76ad4,6.214631080627441,2.4158874
huggingface__transformers-211f93a,5.905174255371094,2.4394014
huggingface__transformers-253f9a3,5.559925556182861,2.664281
huggingface__transformers-63b90a5,-1.0092110633850098,0.61470366
huggingface__transformers-d51b589,6.362676620483398,2.9618888
numpy__numpy-09db9c7,0.7577400207519531,1.1469239
numpy__numpy-11a7e2d,0.5609443187713623,1.1171578
numpy__numpy-19bfa3f,6.277763366699219,2.9691048
numpy__numpy-1b861a2,1.0323001146316528,1.1224926
numpy__numpy-1fcda82,6.65324068069458,2.9082646
numpy__numpy-22ab9aa,6.199883460998535,3.623192
numpy__numpy-248c60e,-1.6832329034805298,0.630525
numpy__numpy-2540554,0.6758594512939453,1.1823834
numpy__numpy-28706af,-0.2986016273498535,0.92941
numpy__numpy-2dfd21e,6.148431777954102,2.3213446
numpy__numpy-330057f,5.766402721405029,2.5414977
numpy__numpy-382b3ff,6.160186290740967,3.8135438
numpy__numpy-567b57d,6.625304698944092,2.222693
numpy__numpy-5f94eb8,6.525353908538818,3.2188506
numpy__numpy-68eead8,-1.9120792150497437,0.7438527
numpy__numpy-728fedc,6.177468299865723,2.4845505
numpy__numpy-780799b,5.462254524230957,2.9888806
numpy__numpy-7853cbc,-2.6261723041534424,0.7247026
numpy__numpy-794f474,6.047333240509033,2.8096588
numpy__numpy-7ff7ec7,-1.4482728242874146,0.9260928
numpy__numpy-83c780d,5.568638324737549,2.494176
numpy__numpy-893db31,6.25844144821167,2.23245
numpy__numpy-8dd6761,6.255192279815674,2.484157
numpy__numpy-905d37e,5.740615367889404,2.350013
numpy__numpy-ac5c664,6.119424343109131,2.4462278
numpy__numpy-b862e4f,-0.31930404901504517,1.0016174
numpy__numpy-ba89ef9,6.160365581512451,2.3937027
numpy__numpy-be52f19,-0.31499457359313965,0.8642359
numpy__numpy-cb0d7cd,5.883789539337158,2.62934
numpy__numpy-cb461ba,0.7602797150611877,1.1336592
numpy__numpy-cedba62,-0.18352653086185455,0.9043491
numpy__numpy-e801e7a,-0.2664233148097992,1.0802175
numpy__numpy-eb21b25,6.163413047790527,2.886363
numpy__numpy-ec52363,-0.18007902801036835,0.7191911
numpy__numpy-ee75c87,1.1235730648040771,1.1677802
numpy__numpy-ef5e545,0.5637626051902771,1.1689397
pandas-dev__pandas-061c2e9,5.606416702270508,3.0137722
pandas-dev__pandas-191557d,-0.1650964766740799,0.6768128
pandas-dev__pandas-1c2ad16,0.9046620726585388,1.1312548
pandas-dev__pandas-2278923,-1.5530143976211548,0.76263946
pandas-dev__pandas-233bd83,5.98282527923584,3.116842
pandas-dev__pandas-235113e,1.2482945919036865,1.2591587
pandas-dev__pandas-2421931,-2.0790927410125732,0.7895483
pandas-dev__pandas-2a08b05,5.897059440612793,2.5347211
pandas-dev__pandas-2cdca01,5.881534576416016,2.3241782
pandas-dev__pandas-2f4c93e,-1.36834716796875,0.60894316
pandas-dev__pandas-37e9e06,-3.879918336868286,0.68133944
pandas-dev__pandas-438b957,-0.2773228585720062,0.9094428
pandas-dev__pandas-45f0705,0.43660661578178406,1.3546891
pandas-dev__pandas-5d82d8b,-1.408928632736206,0.6841277
pandas-dev__pandas-609c3b7,-1.045559048652649,0.66389257
pandas-dev__pandas-65bca65,-0.874670147895813,0.7021098
pandas-dev__pandas-71c94af,0.9916709065437317,1.0077153
pandas-dev__pandas-81b5f1d,6.074173927307129,2.8285182
pandas-dev__pandas-84aca21,6.016711235046387,3.0751889
pandas-dev__pandas-9097263,0.9260151386260986,1.2189595
pandas-dev__pandas-9a6c8f0,-0.9100136160850525,0.65372777
pandas-dev__pandas-9d6d587,-1.1518688201904297,1.029363
pandas-dev__pandas-ad3f3f7,1.0433019399642944,1.2909994
pandas-dev__pandas-bfaf917,6.283939838409424,2.4280925
pandas-dev__pandas-c34da50,-1.6082475185394287,0.7191396
pandas-dev__pandas-c51c2a7,-0.3430745005607605,0.9052299
pandas-dev__pandas-c6cf37a,-0.18685723841190338,0.8542404
pandas-dev__pandas-ccca5df,0.8932735919952393,1.2101182
pandas-dev__pandas-d377cc9,-0.20781582593917847,1.0629946
pandas-dev__pandas-e7e3676,5.94910192489624,2.738666
pandas-dev__pandas-e8961f1,0.5801429748535156,1.1055032
pandas-dev__pandas-f1211e7,-0.26457157731056213,0.8576872
pandas-dev__pandas-f298507,0.950237512588501,0.9993756
pandas-dev__pandas-fd43d4b,5.882059574127197,1.8460244
pydantic__pydantic-4a09447,-2.347154140472412,0.6311913
pydantic__pydantic-ac9e6ee,6.02005672454834,2.5842023
pydantic__pydantic-addf1f9,6.244071960449219,2.6574159
pydantic__pydantic-c2647ab,0.98483806848526,1.1006907
python-pillow__Pillow-63f398b,6.067879676818848,2.5280502
python-pillow__Pillow-d8af3fc,0.6242979168891907,0.8031892
python-pillow__Pillow-f854676,-2.8627114295959473,0.7049259
python-pillow__Pillow-fd8ee84,-2.752392530441284,0.7443548
tornadoweb__tornado-1b464c4,-2.8239493370056152,0.7684514
tornadoweb__tornado-4d4c1e0,6.369678497314453,3.2846398
tornadoweb__tornado-9a18f6c,-3.698140859603882,0.63915515
tornadoweb__tornado-ac13ee5,6.145783424377441,3.053854
uploadcare__pillow-simd-0514e20,1.0897433757781982,1.0384061
uploadcare__pillow-simd-2818b90,0.8397951126098633,1.3932776
uploadcare__pillow-simd-6eacce9,6.103527545928955,2.3777087
uploadcare__pillow-simd-7511039,6.241499423980713,2.0156925
uploadcare__pillow-simd-9e60023,6.394111156463623,3.2500598
uploadcare__pillow-simd-b4045cf,0.9107930660247803,1.3362305
uploadcare__pillow-simd-d970a39,-0.570529580116272,0.74946
