_task_id,solution_discovery_needed,integration_complexity,log_lines_changed,solution_complexity,problem_clarity,atypicality,patch_adds,patch_files_gt2,verification_difficulty,has_code_block,test_patch_files,stmt_words,has_http_link
django__django-11880,2,2,0.3010299956639812,1,4,2,1,0,2,0,1,136,1
django__django-12039,2,3,1.1139433523068367,2,4,2,9,0,2,1,1,155,1
django__django-12193,2,2,0.6989700043360189,1,4,2,1,0,2,1,2,104,1
astropy__astropy-14598,4,3,0.6989700043360189,3,4,3,2,0,3,1,1,308,0
django__django-13297,3,3,0.7781512503836436,3,4,4,2,0,3,0,1,159,0
sympy__sympy-21847,1,1,0.6989700043360189,1,5,1,2,0,2,1,1,134,0
matplotlib__matplotlib-20676,3,3,0.9030899869919436,2,4,3,6,0,2,1,1,221,0
django__django-14155,2,2,1.146128035678238,2,4,2,10,0,2,1,1,76,0
sphinx-doc__sphinx-9591,3,3,0.6020599913279624,2,4,3,2,0,2,1,1,227,1
django__django-11087,3,4,1.4913616938342726,3,4,3,25,0,3,0,2,717,1
django__django-16938,2,2,0.9542425094393248,1,4,3,6,0,2,1,6,318,0
django__django-15569,1,2,0.3010299956639812,1,5,1,1,0,2,1,3,56,1
django__django-13794,3,2,0.8450980400142568,2,4,3,6,0,2,0,2,50,0
django__django-11603,1,2,0.4771212547196624,1,5,1,2,0,2,0,1,62,0
django__django-11551,2,3,1.6334684555795864,3,5,3,21,0,3,1,1,792,1
django__django-16502,4,4,1.4471580313422192,4,4,4,26,0,3,0,1,216,1
sympy__sympy-21596,4,4,1.57978359661681,4,4,4,21,0,3,1,1,106,0
sphinx-doc__sphinx-10449,3,3,1.1139433523068367,3,5,3,10,0,3,1,1,567,1
django__django-15103,1,2,1.255272505103306,2,4,1,10,0,2,0,2,69,0
sympy__sympy-11618,2,2,1.1760912590556811,3,4,2,14,0,2,1,1,35,0
django__django-15695,2,3,0.6020599913279624,2,4,3,3,0,3,1,1,94,0
django__django-13741,2,2,1.2041199826559248,2,5,2,1,0,2,0,1,144,1
django__django-15380,2,3,0.4771212547196624,1,4,3,1,0,2,0,1,143,0
django__django-14315,2,2,0.7781512503836436,2,4,2,2,0,2,1,2,45,1
django__django-11951,1,2,0.6020599913279624,1,5,1,2,0,2,1,1,66,1
django__django-13346,4,4,1.414973347970818,4,4,4,25,0,3,0,1,83,0
scikit-learn__scikit-learn-14894,2,2,1.146128035678238,2,5,2,8,0,2,1,1,189,0
django__django-13809,1,2,1.0,2,4,1,7,0,2,0,2,49,1
sympy__sympy-16450,2,2,0.4771212547196624,1,4,2,1,0,2,1,1,96,0
django__django-14765,1,1,0.9030899869919436,1,5,1,4,0,2,0,1,92,0
matplotlib__matplotlib-21568,2,2,0.9030899869919436,2,4,3,5,0,3,1,1,150,1
sphinx-doc__sphinx-7757,4,3,1.414973347970818,4,4,3,20,0,2,1,1,77,1
django__django-15973,4,3,0.4771212547196624,2,4,3,1,0,3,1,1,412,0
sphinx-doc__sphinx-8621,3,2,0.4771212547196624,2,5,3,1,0,2,1,1,249,1
matplotlib__matplotlib-13989,3,2,0.4771212547196624,1,4,2,1,0,2,1,1,226,1
sphinx-doc__sphinx-9698,2,2,0.4771212547196624,1,5,1,1,0,2,1,1,105,1
sympy__sympy-12096,2,2,0.4771212547196624,1,5,2,1,0,2,1,1,64,1
django__django-15375,2,3,0.6989700043360189,1,5,3,3,0,2,0,1,178,0
pydata__xarray-6938,4,3,1.3979400086720375,3,4,3,13,0,3,1,1,382,1
sympy__sympy-16597,4,4,1.8512583487190752,4,3,4,44,1,3,1,2,43,0
astropy__astropy-7336,2,2,0.4771212547196624,1,5,2,1,0,2,1,2,200,0
django__django-14122,3,3,1.0791812460476249,2,4,3,6,0,3,0,1,62,1
django__django-7530,2,2,0.4771212547196624,1,4,3,1,0,3,0,1,64,1
django__django-11265,4,4,1.0791812460476249,3,4,4,8,0,3,0,1,263,0
psf__requests-1766,2,1,0.6989700043360189,1,5,2,2,0,2,1,1,122,1
matplotlib__matplotlib-25287,1,2,1.2041199826559248,2,5,1,13,0,2,1,1,166,1
pydata__xarray-3151,3,3,1.2041199826559248,2,4,3,7,0,2,1,1,294,1
django__django-16631,3,4,1.5314789170422551,3,4,3,28,0,3,0,1,130,0
sympy__sympy-18199,4,3,1.7075701760979365,4,4,4,47,0,3,0,2,66,0
pydata__xarray-4695,1,2,0.4771212547196624,1,5,2,1,0,2,1,1,432,0
pytest-dev__pytest-5631,2,2,1.3010299956639813,2,4,3,12,0,2,1,1,202,1
sphinx-doc__sphinx-9230,3,2,0.4771212547196624,1,4,2,1,0,2,1,1,124,1
django__django-16667,1,2,0.4771212547196624,1,5,1,2,0,2,0,2,209,1
django__django-14089,1,1,0.6020599913279624,1,5,1,3,0,1,0,1,46,0
django__django-15732,4,4,1.5185139398778875,4,4,4,27,0,3,0,1,85,0
sympy__sympy-13852,3,3,1.4913616938342726,3,4,3,25,0,3,1,1,261,1
django__django-12262,3,3,0.4771212547196624,1,4,3,1,0,2,1,2,144,0
