integration_complexity,solution_complexity,solution_discovery_needed,logical_reasoning_required,atypicality,domain_knowledge_required,verification_difficulty,standard_pattern_available,problem_clarity,solution_hint,solution_prescribed,location_hints_provided,fix_pattern_type,minimal_repro_provided,log_lines_changed,patch_adds,patch_lines_gt20,patch_chars,patch_files_gt2,patch_lines_gt50,test_patch_lines,num_hunks,patch_deletes,num_files_modified,test_patch_chars,patch_files_gt3,test_patch_files,test_patch_hunks,has_code_block,is_django,stmt_lines_gt80,stmt_words,_task_id
2,1,2,2,2,3,2,1,4,2,1,1,1,0,0.3010299956639812,1,0,427,0,0,11,1,0,1,902,0,1,1,0,1,0,136,django__django-11880
3,2,2,2,2,4,2,1,4,2,1,1,0,1,1.1139433523068367,9,0,1268,0,0,40,2,3,1,2267,0,1,2,1,1,0,155,django__django-12039
2,1,2,2,2,3,2,1,4,2,1,1,1,0,0.6989700043360189,1,0,525,0,0,16,1,3,1,1521,0,2,2,1,1,0,104,django__django-12193
3,3,4,4,3,4,3,0,4,0,0,0,1,1,0.6989700043360189,2,0,963,0,0,16,2,2,1,1044,0,1,1,1,0,1,308,astropy__astropy-14598
3,3,3,3,4,4,3,0,4,1,0,1,1,1,0.7781512503836436,2,0,1114,0,0,22,3,3,1,1989,0,1,4,0,1,0,159,django__django-13297
1,1,1,2,1,3,2,1,5,3,1,1,1,1,0.6989700043360189,2,0,1015,0,0,13,2,2,1,1733,0,1,3,1,0,0,134,sympy__sympy-21847
3,2,3,3,3,4,2,0,4,0,0,0,1,1,0.9030899869919436,6,0,838,0,0,29,1,1,1,1432,0,1,1,1,0,0,221,matplotlib__matplotlib-20676
2,2,2,2,2,3,2,1,4,2,1,1,0,0,1.146128035678238,10,0,949,0,0,24,1,3,1,1628,0,1,1,1,1,0,76,django__django-14155
3,2,3,3,3,4,2,1,4,0,0,0,1,1,0.6020599913279624,2,0,540,0,0,6,1,1,1,1514,0,1,1,1,0,1,227,sphinx-doc__sphinx-9591
4,3,3,4,3,4,3,0,4,2,1,1,4,1,1.4913616938342726,25,1,3186,0,0,53,4,5,1,2661,0,2,3,0,1,1,717,django__django-11087
2,1,2,3,3,4,2,1,4,3,1,1,1,1,0.9542425094393248,6,0,1354,0,0,36,2,2,2,5322,0,6,9,1,1,0,318,django__django-16938
2,1,1,2,1,3,2,1,5,3,1,1,0,0,0.3010299956639812,1,0,481,0,0,23,1,0,1,2662,0,3,3,1,1,0,56,django__django-15569
2,2,3,3,3,4,2,1,4,1,0,0,2,0,0.8450980400142568,6,0,610,0,0,22,1,0,1,1741,0,2,3,0,1,0,50,django__django-13794
2,1,1,1,1,3,2,1,5,3,1,1,0,0,0.4771212547196624,2,0,584,0,0,13,2,0,1,1230,0,1,2,0,1,0,62,django__django-11603
3,3,2,4,3,4,3,0,5,3,1,1,1,1,1.6334684555795864,21,1,2499,0,0,21,1,21,1,1382,0,1,2,1,1,0,792,django__django-11551
4,4,4,4,4,5,3,0,4,1,0,0,2,1,1.4471580313422192,26,1,2176,0,0,69,3,1,1,3506,0,1,5,0,1,0,216,django__django-16502
4,4,4,4,4,5,3,0,4,1,0,0,1,1,1.57978359661681,21,1,2659,0,0,21,3,16,1,2120,0,1,2,1,0,0,106,sympy__sympy-21596
3,3,3,3,3,4,3,0,5,0,0,0,0,1,1.1139433523068367,10,0,1798,0,0,3,3,2,1,509,0,1,1,1,0,1,567,sphinx-doc__sphinx-10449
2,2,1,2,1,3,2,1,4,2,1,1,0,0,1.255272505103306,10,0,1606,0,0,11,3,7,2,1296,0,2,2,0,1,0,69,django__django-15103
2,3,2,3,2,3,2,1,4,2,0,0,0,1,1.1760912590556811,14,0,925,0,0,5,1,0,1,430,0,1,1,1,0,0,35,sympy__sympy-11618
3,2,2,3,3,4,3,1,4,1,0,1,0,1,0.6020599913279624,3,0,737,0,0,5,1,0,1,903,0,1,1,1,1,0,94,django__django-15695
2,2,2,2,2,3,2,1,5,3,1,1,3,0,1.2041199826559248,1,0,1209,0,0,1,2,14,1,399,0,1,1,0,1,0,144,django__django-13741
3,1,2,3,3,4,2,0,4,1,0,1,1,0,0.4771212547196624,1,0,827,0,0,20,1,1,1,1319,0,1,1,0,1,0,143,django__django-15380
2,2,2,3,2,3,2,1,4,2,0,1,1,0,0.7781512503836436,2,0,1077,0,0,18,2,3,2,1855,0,2,4,1,1,0,45,django__django-14315
2,1,1,2,1,3,2,1,5,3,1,1,1,0,0.6020599913279624,2,0,901,0,0,9,1,1,1,1029,0,1,2,1,1,0,66,django__django-11951
4,4,4,4,4,5,3,0,4,1,0,0,2,1,1.414973347970818,25,1,1839,0,0,19,2,0,1,1510,0,1,1,0,1,0,83,django__django-13346
2,2,2,2,2,3,2,1,5,2,1,1,0,1,1.146128035678238,8,0,1050,0,0,13,1,5,1,887,0,1,1,1,0,0,189,scikit-learn__scikit-learn-14894
2,2,1,2,1,3,2,1,4,2,1,1,2,0,1.0,7,0,1222,0,0,30,2,2,1,2039,0,2,2,0,1,0,49,django__django-13809
2,1,2,2,2,3,2,1,4,2,1,0,1,1,0.4771212547196624,1,0,511,0,0,7,1,1,1,743,0,1,1,1,0,0,96,sympy__sympy-16450
1,1,1,1,1,3,2,1,5,3,1,1,0,0,0.9030899869919436,4,0,787,0,0,4,1,3,1,478,0,1,1,0,1,0,92,django__django-14765
2,2,2,2,3,4,3,1,4,3,1,1,1,1,0.9030899869919436,5,0,743,0,0,26,1,2,1,2599,0,1,3,1,0,0,150,matplotlib__matplotlib-21568
3,4,4,4,3,4,2,0,4,0,0,0,1,1,1.414973347970818,20,1,1738,0,0,10,1,5,1,1060,0,1,1,1,0,0,77,sphinx-doc__sphinx-7757
3,2,4,3,3,4,3,0,4,0,0,0,1,1,0.4771212547196624,1,0,633,0,0,46,1,1,1,2498,0,1,1,1,1,1,412,django__django-15973
2,2,3,3,3,3,2,1,5,1,0,0,1,1,0.4771212547196624,1,0,501,0,0,18,1,1,1,1118,0,1,2,1,0,0,249,sphinx-doc__sphinx-8621
2,1,3,3,2,3,2,1,4,1,0,1,1,1,0.4771212547196624,1,0,505,0,0,7,1,1,1,495,0,1,1,1,0,0,226,matplotlib__matplotlib-13989
2,1,2,2,1,3,2,1,5,2,0,0,1,1,0.4771212547196624,1,0,638,0,0,2,1,1,1,666,0,1,1,1,0,0,105,sphinx-doc__sphinx-9698
