instance_id,solution_complexity,test_edge_case_coverage,solution_hint,information_completeness,entry_point_clarity,atypicality,fix_localization,integration_complexity,debugging_complexity,error_specificity,test_comprehensiveness,problem_clarity,codebase_scope,logical_reasoning_required,verification_difficulty
django__django-11880,1,1,2,4,5,2,5,2,2,4,2,4,2,2,2
django__django-12039,2,4,3,4,5,3,5,3,2,5,4,5,2,3,2
django__django-12193,1,2,2,4,5,4,5,2,2,4,3,4,2,3,2
astropy__astropy-14598,2,3,1,5,4,4,4,3,4,5,3,5,2,4,3
django__django-13297,2,1,2,5,5,4,4,3,3,5,2,4,2,3,3
sympy__sympy-21847,1,4,1,4,5,3,5,2,2,4,4,5,1,3,2
matplotlib__matplotlib-20676,2,2,1,5,4,3,4,2,3,4,3,5,2,3,3
django__django-14155,1,3,2,4,5,3,5,2,2,4,4,4,2,2,2
sphinx-doc__sphinx-9591,2,1,1,5,4,3,4,3,3,4,2,5,2,3,3
django__django-11087,3,4,2,5,4,4,4,4,4,5,4,5,3,4,4
django__django-16938,2,3,1,4,4,4,4,3,4,5,4,4,3,3,3
django__django-15569,1,2,3,4,5,2,5,2,1,4,3,5,2,2,2
django__django-13794,2,2,1,4,5,2,5,3,2,5,3,4,2,2,2
django__django-11603,1,2,3,4,5,2,5,2,2,4,3,5,2,2,2
django__django-11551,2,2,3,5,5,4,5,3,2,5,2,5,1,4,3
django__django-16502,3,2,2,5,4,3,5,3,2,5,3,5,2,3,3
sympy__sympy-21596,3,4,1,4,4,4,5,3,4,4,4,5,3,4,3
sphinx-doc__sphinx-10449,2,2,1,5,4,3,4,3,3,4,2,5,2,3,2
django__django-15103,2,2,2,3,5,2,4,2,2,3,2,4,2,2,2
sympy__sympy-11618,2,2,2,4,5,2,4,2,2,5,1,5,1,2,2
django__django-15695,1,3,2,4,5,4,5,3,3,5,2,4,2,4,3
django__django-13741,1,2,2,4,5,2,5,2,2,4,2,4,2,2,2
django__django-15380,1,2,1,4,5,4,5,3,3,5,2,4,2,4,3
django__django-14315,1,4,2,4,5,2,5,2,2,4,4,4,2,2,2
django__django-11951,1,3,3,4,5,2,5,2,2,4,2,5,1,2,2
django__django-13346,3,4,1,3,4,4,5,3,4,4,4,4,3,3,4
scikit-learn__scikit-learn-14894,1,3,2,5,5,3,5,2,2,5,2,5,2,3,2
django__django-13809,2,2,2,3,5,2,5,2,2,3,3,4,2,2,2
sympy__sympy-16450,1,2,2,4,5,3,5,2,2,4,2,4,2,3,3
django__django-14765,1,2,3,4,5,2,5,2,1,4,1,5,1,2,2
matplotlib__matplotlib-21568,2,3,1,4,4,4,5,2,4,4,4,4,3,3,4
sphinx-doc__sphinx-7757,2,2,1,4,4,4,5,2,3,4,2,5,2,3,2
django__django-15973,1,2,1,5,4,4,3,3,4,5,3,5,3,4,3
sphinx-doc__sphinx-8621,1,3,2,5,5,3,5,2,2,5,3,5,2,3,2
matplotlib__matplotlib-13989,1,2,1,5,4,3,5,2,2,4,2,5,2,3,2
sphinx-doc__sphinx-9698,1,1,1,4,5,3,5,1,2,4,2,5,2,2,2
sympy__sympy-12096,1,1,2,4,5,3,5,2,2,5,1,5,2,3,2
django__django-15375,2,3,2,5,4,4,5,3,3,5,3,5,2,3,3
pydata__xarray-6938,2,2,1,5,4,4,5,3,4,4,1,4,3,4,3
sympy__sympy-16597,4,4,1,4,4,3,5,5,3,4,4,4,2,3,3
astropy__astropy-7336,1,2,2,5,5,3,5,2,2,5,2,5,2,2,2
django__django-14122,2,2,2,3,4,3,4,4,4,4,2,4,3,4,3
django__django-7530,1,3,2,3,4,3,5,3,2,4,3,4,2,3,3
django__django-11265,3,2,2,5,4,4,4,4,4,5,2,4,3,4,3
