instance_id,codebase_scope,test_edge_case_coverage,integration_complexity,logical_reasoning_required,problem_clarity,codebase_scale,expected_behavior_clarity,environment_setup_complexity,side_effect_risk,similar_issue_likelihood,solution_complexity,test_assertion_complexity,domain_knowledge_required,error_specificity,standard_pattern_available
numpy__numpy-7853cbc,3,3,4,4,3,4.0,3,4.0,3,1,4,3,5,3,0
huggingface__tokenizers-076319d,2,2,4,4,4,5.0,3,4.0,4,1,4,2,5,3,1
huggingface__datasets-ef3b5dd,4,2,5,4,3,4.0,3,2.0,4,1,5,2,5,3,0
numpy__numpy-8dd6761,4,3,5,4,3,4.0,3,4.0,3,1,5,3,5,3,0
numpy__numpy-ac5c664,4,3,5,4,3,4.0,3,4.0,4,1,5,3,5,3,0
huggingface__tokenizers-c893204,2,1,4,5,3,3.0,3,4.0,3,1,4,1,5,3,0
huggingface__datasets-5994036,3,2,4,4,3,4.0,3,2.0,3,1,4,3,4,3,0
pandas-dev__pandas-f298507,3,2,4,4,3,4.0,3,4.0,3,1,3,3,5,3,0
pandas-dev__pandas-45f0705,3,2,4,3,3,4.0,3,4.0,3,1,3,3,4,3,0
numpy__numpy-09db9c7,4,3,5,4,3,4.0,3,4.0,3,1,4,2,5,3,0
python-pillow__Pillow-f854676,1,1,4,4,3,4.0,3,3.0,3,1,3,2,4,3,0
uploadcare__pillow-simd-d970a39,2,2,3,4,3,4.0,3,3.0,2,1,3,2,5,3,0
pandas-dev__pandas-2278923,2,1,4,4,3,4.0,3,4.0,4,1,4,1,5,3,0
numpy__numpy-330057f,2,3,3,4,3,4.0,3,4.0,1,1,3,2,5,3,0
numpy__numpy-b862e4f,4,2,4,4,2,4.0,3,4.0,2,1,4,2,5,3,0
numpy__numpy-893db31,4,2,5,4,3,4.0,3,4.0,3,1,4,2,5,3,0
pandas-dev__pandas-fd43d4b,3,1,4,4,4,4.0,4,4.0,3,1,3,1,4,4,0
pandas-dev__pandas-84aca21,3,4,4,4,4,4.0,3,4.0,3,1,4,3,5,3,0
pandas-dev__pandas-d377cc9,2,1,4,4,4,4.0,3,4.0,3,1,4,1,5,3,0
numpy__numpy-11a7e2d,4,3,4,4,3,4.0,4,4.0,3,1,4,3,5,4,0
uploadcare__pillow-simd-b4045cf,3,2,4,4,3,4.0,3,4.0,3,1,5,3,5,3,0
pandas-dev__pandas-191557d,3,1,3,3,3,5.0,3,4.0,3,1,3,2,4,3,0
uploadcare__pillow-simd-0514e20,1,1,3,4,4,4.0,3,4.0,3,1,5,3,5,3,0
pandas-dev__pandas-ccca5df,4,1,5,4,4,4.0,4,4.0,4,1,5,1,5,4,0
pandas-dev__pandas-e7e3676,3,1,4,4,3,4.0,3,4.0,4,1,4,2,5,3,0
numpy__numpy-248c60e,4,4,5,4,3,4.0,3,4.0,3,1,4,2,5,3,0
numpy__numpy-ec52363,2,4,2,3,3,4.0,3,4.0,2,1,2,3,5,3,0
pandas-dev__pandas-9d6d587,2,2,3,4,4,4.0,3,3.0,3,1,3,1,4,3,0
numpy__numpy-cedba62,1,1,2,4,3,4.0,3,4.0,3,1,3,2,4,3,0
numpy__numpy-905d37e,2,2,3,4,3,4.0,3,4.0,2,1,3,3,5,3,0
numpy__numpy-83c780d,5,1,5,4,3,4.0,3,4.0,4,1,5,2,5,3,0
tornadoweb__tornado-4d4c1e0,5,1,5,4,3,2.0,3,2.0,5,1,5,2,4,3,0
pandas-dev__pandas-1c2ad16,3,1,4,4,3,4.0,3,4.0,3,1,3,2,4,3,0
huggingface__datasets-c5464b3,3,2,4,4,2,4.0,3,3.0,4,1,4,3,4,3,0
numpy__numpy-e801e7a,4,3,5,4,3,4.0,3,4.0,3,1,5,3,5,3,0
numpy__numpy-ba89ef9,3,1,4,4,3,4.0,3,4.0,3,1,4,3,5,3,0
pandas-dev__pandas-2421931,3,1,5,4,3,4.0,3,4.0,4,1,5,2,5,3,0
pandas-dev__pandas-71c94af,3,1,4,4,3,4.0,3,4.0,4,1,3,1,4,3,0
pandas-dev__pandas-ad3f3f7,2,2,3,4,3,4.0,3,4.0,3,1,3,3,5,4,0
numpy__numpy-ef5e545,3,3,4,4,3,5.0,3,4.0,3,1,4,2,5,3,0
numpy__numpy-1b861a2,4,1,5,4,3,4.0,3,4.0,4,1,5,2,5,3,0
numpy__numpy-cb461ba,4,3,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
uploadcare__pillow-simd-9e60023,2,2,4,4,3,4.0,3,3.0,3,1,5,2,5,3,0
numpy__numpy-1fcda82,5,3,5,4,3,4.0,3,4.0,3,1,5,3,5,3,0
numpy__numpy-ee75c87,4,4,5,4,3,4.0,3,4.0,3,1,5,2,5,3,0
huggingface__tokenizers-fc76ad4,3,1,4,4,3,4.0,3,3.0,2,1,3,3,5,2,0
numpy__numpy-780799b,2,3,2,4,4,4.0,3,4.0,2,1,3,2,5,3,0
pandas-dev__pandas-2f4c93e,3,2,4,4,3,4.0,3,4.0,3,1,3,3,5,4,0
pandas-dev__pandas-2a08b05,1,1,2,4,3,4.0,3,4.0,2,1,3,1,4,3,0
pandas-dev__pandas-f1211e7,3,2,3,3,3,4.0,3,4.0,3,1,3,2,4,4,0
numpy__numpy-cb0d7cd,4,3,5,4,2,5.0,3,4.0,3,1,5,2,5,3,0
