instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,entry_point_clarity,change_blast_radius,fix_localization
django__django-11880,2,4,3,2,2,2,1,4,3,4,2,1,4,1,1,2,2,1,1,2,2026-03-07T02:52:19.062937,claude-sonnet-4-6,anthropic,django__django-11880,5,2,5
django__django-12039,3,5,3,2,2,2,1,5,5,5,2,1,5,1,2,4,2,3,2,2,2026-03-07T02:52:18.661655,claude-sonnet-4-6,anthropic,django__django-12039,5,2,5
django__django-12193,2,5,3,2,2,2,1,5,3,4,2,2,4,1,2,3,2,2,1,2,2026-03-07T02:52:19.844913,claude-sonnet-4-6,anthropic,django__django-12193,5,2,5
astropy__astropy-14598,0,5,4,4,3,2,0,4,5,4,4,2,5,1,2,3,2,3,3,3,2026-03-07T02:52:00.575871,claude-sonnet-4-6,anthropic,astropy__astropy-14598,4,2,4
django__django-13297,1,4,4,3,3,2,0,4,5,4,3,2,5,1,2,2,3,1,2,3,2026-03-07T02:52:31.931341,claude-sonnet-4-6,anthropic,django__django-13297,5,2,4
sympy__sympy-21847,1,5,3,3,2,2,0,4,5,4,2,1,4,1,2,4,2,3,1,2,2026-03-07T02:54:40.387620,claude-sonnet-4-6,anthropic,sympy__sympy-21847,5,2,5
matplotlib__matplotlib-20676,1,4,4,3,3,2,0,4,5,4,3,2,5,1,2,4,3,3,2,3,2026-03-07T02:53:24.338788,claude-sonnet-4-6,anthropic,matplotlib__matplotlib-20676,4,2,4
django__django-14155,3,5,3,2,2,2,1,3,3,4,2,1,3,1,3,3,2,3,2,2,2026-03-07T02:52:45.047595,claude-sonnet-4-6,anthropic,django__django-14155,5,2,5
sphinx-doc__sphinx-9591,0,4,4,3,3,3,0,3,5,4,4,3,5,1,2,2,3,1,2,3,2026-03-07T02:54:19.538602,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-9591,4,2,4
django__django-11087,2,4,4,3,3,3,0,5,4,4,3,2,5,1,3,4,3,3,3,4,2026-03-07T02:52:07.341476,claude-sonnet-4-6,anthropic,django__django-11087,4,2,4
django__django-16938,1,4,4,3,3,2,0,5,5,3,3,2,5,1,2,3,3,2,1,3,2026-03-07T02:53:20.059411,claude-sonnet-4-6,anthropic,django__django-16938,4,2,4
django__django-15569,3,5,3,1,1,2,1,4,3,5,1,1,4,1,2,3,2,2,1,2,2026-03-07T02:53:03.693692,claude-sonnet-4-6,anthropic,django__django-15569,5,2,5
django__django-13794,1,4,3,2,2,2,1,5,3,4,2,1,4,1,2,3,2,3,2,2,2026-03-07T02:52:40.688696,claude-sonnet-4-6,anthropic,django__django-13794,5,2,5
django__django-11603,3,5,3,1,1,2,1,3,2,4,1,1,3,1,2,3,2,2,1,2,2026-03-07T02:52:14.084287,claude-sonnet-4-6,anthropic,django__django-11603,5,2,5
django__django-11551,3,5,3,3,2,2,0,5,5,5,2,1,5,1,2,2,3,2,3,2,2026-03-07T02:52:14.367392,claude-sonnet-4-6,anthropic,django__django-11551,5,2,5
django__django-16502,2,5,4,2,2,2,1,4,5,5,2,2,5,1,2,4,4,3,3,3,2026-03-07T02:53:15.217627,claude-sonnet-4-6,anthropic,django__django-16502,4,2,5
sympy__sympy-21596,1,4,5,4,3,2,0,4,5,5,4,3,4,0,3,4,3,4,4,4,2026-03-07T02:54:39.962185,claude-sonnet-4-6,anthropic,sympy__sympy-21596,4,2,5
sphinx-doc__sphinx-10449,1,5,4,3,2,2,0,4,5,5,3,2,5,1,2,2,2,1,2,3,2026-03-07T02:54:07.068970,claude-sonnet-4-6,anthropic,sphinx-doc__sphinx-10449,4,2,4
django__django-15103,2,4,3,2,1,2,1,3,3,4,1,1,3,1,2,2,1,2,2,2,2026-03-07T02:52:56.682514,claude-sonnet-4-6,anthropic,django__django-15103,5,2,4
sympy__sympy-11618,2,5,3,2,2,2,1,5,5,5,2,1,5,1,2,1,1,1,3,2,2026-03-07T02:54:21.295458,claude-sonnet-4-6,anthropic,sympy__sympy-11618,5,2,4
django__django-15695,2,4,4,3,3,2,0,5,5,4,3,2,5,1,2,2,2,2,2,3,2026-03-07T02:53:04.809382,claude-sonnet-4-6,anthropic,django__django-15695,5,2,5
