instance_id,solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,codebase_scope
numpy__numpy-7853cbc,1,3,5,5,4,4,3,0,3
huggingface__tokenizers-076319d,3,4,4,4,4,3,3,1,3
huggingface__datasets-ef3b5dd,2,2,5,5,4,4,4,0,5
numpy__numpy-8dd6761,2,3,5,5,4,4,3,0,4
numpy__numpy-ac5c664,1,3,5,5,4,4,3,0,4
huggingface__tokenizers-c893204,1,3,4,4,4,4,3,0,2
huggingface__datasets-5994036,2,3,3,4,3,3,3,0,3
pandas-dev__pandas-f298507,2,4,4,4,3,3,3,0,4
pandas-dev__pandas-45f0705,1,3,3,4,3,3,3,0,3
numpy__numpy-09db9c7,1,3,5,5,4,4,3,0,4
python-pillow__Pillow-f854676,2,4,3,4,3,3,2,0,2
uploadcare__pillow-simd-d970a39,3,4,4,5,3,3,3,0,2
pandas-dev__pandas-2278923,1,3,4,4,4,3,3,0,3
numpy__numpy-330057f,2,3,4,5,4,4,3,0,3
numpy__numpy-b862e4f,2,3,4,5,4,4,3,0,4
numpy__numpy-893db31,2,3,4,5,4,4,3,0,4
pandas-dev__pandas-fd43d4b,2,4,3,4,3,3,3,0,4
pandas-dev__pandas-84aca21,2,4,4,4,4,3,3,0,3
pandas-dev__pandas-d377cc9,0,4,4,4,4,3,3,0,3
numpy__numpy-11a7e2d,3,4,4,5,3,4,3,0,4
uploadcare__pillow-simd-b4045cf,2,3,5,5,4,4,3,0,3
pandas-dev__pandas-191557d,1,3,3,4,3,3,2,1,3
uploadcare__pillow-simd-0514e20,3,4,5,5,4,4,3,1,1
pandas-dev__pandas-ccca5df,2,3,4,5,4,3,3,0,4
pandas-dev__pandas-e7e3676,2,3,4,5,4,4,3,0,4
numpy__numpy-248c60e,2,3,4,5,3,4,2,0,4
numpy__numpy-ec52363,1,3,3,5,3,3,3,0,2
pandas-dev__pandas-9d6d587,1,4,3,4,3,3,2,0,2
numpy__numpy-cedba62,3,4,4,4,4,3,2,0,2
numpy__numpy-905d37e,1,4,4,5,4,4,3,0,2
numpy__numpy-83c780d,1,3,5,5,4,4,3,0,4
tornadoweb__tornado-4d4c1e0,2,2,5,5,4,4,4,0,5
pandas-dev__pandas-1c2ad16,1,3,3,4,3,3,3,0,4
huggingface__datasets-c5464b3,1,2,4,4,4,4,4,0,3
numpy__numpy-e801e7a,1,3,4,5,4,4,3,0,4
numpy__numpy-ba89ef9,1,3,5,5,4,4,3,0,4
pandas-dev__pandas-2421931,1,3,5,5,4,4,4,0,4
pandas-dev__pandas-71c94af,1,3,3,4,3,3,3,0,3
pandas-dev__pandas-ad3f3f7,1,3,4,4,4,3,3,0,3
numpy__numpy-ef5e545,2,4,4,5,3,4,2,0,4
numpy__numpy-1b861a2,1,3,5,5,4,4,3,0,4
numpy__numpy-cb461ba,1,3,5,5,4,4,3,0,4
uploadcare__pillow-simd-9e60023,3,4,5,5,4,4,3,1,2
numpy__numpy-1fcda82,2,3,5,5,4,4,3,0,5
numpy__numpy-ee75c87,1,3,5,5,4,4,3,0,4
huggingface__tokenizers-fc76ad4,1,3,4,4,4,3,3,1,3
numpy__numpy-780799b,3,4,4,5,4,4,3,0,2
pandas-dev__pandas-2f4c93e,2,3,4,5,4,4,3,0,3
pandas-dev__pandas-2a08b05,1,3,3,4,3,3,3,0,2
pandas-dev__pandas-f1211e7,1,4,3,4,3,3,2,0,3
numpy__numpy-cb0d7cd,2,3,5,5,4,4,3,0,4
abetlen__llama-cpp-python-218d361,1,2,5,5,4,4,4,0,5
numpy__numpy-382b3ff,3,4,3,5,3,4,4,0,2
numpy__numpy-5f94eb8,3,4,5,5,4,4,3,0,4
uploadcare__pillow-simd-7511039,2,3,5,5,4,4,3,0,2
numpy__numpy-be52f19,2,3,4,5,4,4,3,0,4
numpy__numpy-728fedc,1,3,5,5,4,4,3,0,4
pandas-dev__pandas-5d82d8b,2,4,2,4,3,2,2,1,2
tornadoweb__tornado-9a18f6c,1,4,4,5,4,3,2,1,1
pandas-dev__pandas-65bca65,1,4,2,4,3,2,2,1,3
numpy__numpy-22ab9aa,1,3,5,5,4,4,3,0,5
huggingface__transformers-d51b589,2,3,4,5,4,4,3,0,2
pandas-dev__pandas-81b5f1d,2,3,3,4,4,3,3,0,3
numpy__numpy-eb21b25,1,3,5,5,4,4,3,0,4
pandas-dev__pandas-061c2e9,1,3,4,4,4,3,3,0,4
pandas-dev__pandas-233bd83,1,4,4,5,4,3,3,0,4
numpy__numpy-794f474,2,3,5,5,4,4,3,0,4
python-pillow__Pillow-fd8ee84,2,4,1,3,2,2,2,1,2
pydantic__pydantic-addf1f9,2,4,4,4,4,3,3,1,3
numpy__numpy-19bfa3f,1,3,5,5,4,4,3,0,4
pandas-dev__pandas-c34da50,1,3,3,4,3,3,3,0,3
pandas-dev__pandas-c51c2a7,2,4,3,4,3,2,3,1,3
pandas-dev__pandas-37e9e06,1,3,2,4,2,3,2,1,3
pydantic__pydantic-c2647ab,2,3,4,4,4,3,3,0,4
pydantic__pydantic-4a09447,2,3,3,4,3,3,3,0,2
huggingface__transformers-253f9a3,2,3,3,4,3,2,3,1,3
huggingface__transformers-211f93a,1,3,3,4,3,3,3,0,3
huggingface__tokenizers-bfd9cde,3,4,3,4,3,3,2,0,3
pandas-dev__pandas-e8961f1,1,4,4,5,4,4,3,0,4
pandas-dev__pandas-2cdca01,2,4,3,4,3,2,2,1,2
uploadcare__pillow-simd-2818b90,3,4,5,5,4,4,3,0,2
huggingface__transformers-63b90a5,1,4,3,3,3,2,2,1,2
numpy__numpy-7ff7ec7,3,4,2,3,3,2,3,1,2
pandas-dev__pandas-bfaf917,2,4,3,4,3,3,2,1,2
numpy__numpy-68eead8,2,3,3,5,4,4,4,0,2
abetlen__llama-cpp-python-2bc1d97,1,2,4,5,3,4,4,0,5
python-pillow__Pillow-63f398b,0,4,3,4,4,3,3,0,2
pandas-dev__pandas-235113e,2,4,2,3,2,2,2,1,2
pydantic__pydantic-ac9e6ee,1,3,5,5,4,4,3,0,4
numpy__numpy-2540554,2,4,4,5,4,4,3,0,2
pandas-dev__pandas-c6cf37a,2,3,3,4,3,3,3,0,3
pandas-dev__pandas-438b957,1,3,4,4,4,3,3,0,3
uploadcare__pillow-simd-6eacce9,2,3,5,5,5,4,3,0,3
tornadoweb__tornado-ac13ee5,2,3,4,4,4,3,4,1,5
numpy__numpy-567b57d,2,3,5,5,4,4,3,0,4
numpy__numpy-2dfd21e,1,3,5,5,4,4,3,0,4
numpy__numpy-28706af,1,3,5,5,4,4,3,0,4
pandas-dev__pandas-9a6c8f0,2,4,3,4,3,3,3,0,3
tornadoweb__tornado-1b464c4,1,3,4,4,4,3,3,0,3
pandas-dev__pandas-9097263,2,4,4,5,3,4,2,0,3
pandas-dev__pandas-609c3b7,1,3,3,4,3,3,2,1,3
python-pillow__Pillow-d8af3fc,1,3,4,5,4,3,3,0,4
