instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
numpy__numpy-7853cbc,1,3,5,4,5,4,0,3,5,3,4,3,4,1,3,3,3,3,4,4,2026-03-07T02:05:32.490018,claude-sonnet-4-6,anthropic,numpy__numpy-7853cbc
huggingface__tokenizers-076319d,3,4,5,4,4,4,1,3,5,3,3,2,4,1,4,3,2,2,4,4,2026-03-07T02:07:44.586038,claude-sonnet-4-6,anthropic,huggingface__tokenizers-076319d
huggingface__datasets-ef3b5dd,2,3,5,4,4,4,0,3,5,3,3,4,3,1,4,2,2,2,5,5,2026-03-07T02:02:52.100759,claude-sonnet-4-6,anthropic,huggingface__datasets-ef3b5dd
numpy__numpy-8dd6761,1,3,5,4,5,4,0,3,5,3,4,4,3,1,3,2,3,3,5,5,2026-03-07T02:05:33.557275,claude-sonnet-4-6,anthropic,numpy__numpy-8dd6761
numpy__numpy-ac5c664,1,3,5,4,5,4,0,3,5,3,4,4,4,1,4,3,3,3,5,5,2026-03-07T02:05:33.506914,claude-sonnet-4-6,anthropic,numpy__numpy-ac5c664
huggingface__tokenizers-c893204,1,3,5,5,5,4,0,3,5,3,4,2,4,1,3,3,1,1,4,4,2026-03-07T02:07:53.758597,claude-sonnet-4-6,anthropic,huggingface__tokenizers-c893204
huggingface__datasets-5994036,1,3,4,4,3,3,0,3,5,3,2,3,4,1,3,3,3,2,4,4,2026-03-07T02:05:33.101645,claude-sonnet-4-6,anthropic,huggingface__datasets-5994036
pandas-dev__pandas-f298507,1,3,5,4,4,3,0,3,5,3,3,3,4,1,3,3,3,2,3,4,2026-03-07T02:05:32.123924,claude-sonnet-4-6,anthropic,pandas-dev__pandas-f298507
pandas-dev__pandas-45f0705,1,3,4,3,3,3,0,3,5,3,3,3,4,1,3,3,3,2,3,4,2026-03-07T02:05:36.790390,claude-sonnet-4-6,anthropic,pandas-dev__pandas-45f0705
numpy__numpy-09db9c7,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,3,2,3,4,5,2026-03-07T02:05:33.117195,claude-sonnet-4-6,anthropic,numpy__numpy-09db9c7
python-pillow__Pillow-f854676,1,3,4,4,4,3,0,3,5,3,3,1,4,1,3,2,2,1,3,4,2026-03-07T02:07:39.002395,claude-sonnet-4-6,anthropic,python-pillow__Pillow-f854676
uploadcare__pillow-simd-d970a39,2,3,5,4,5,3,0,3,5,3,2,2,4,1,2,3,2,2,3,3,2026-03-07T02:05:38.962679,claude-sonnet-4-6,anthropic,uploadcare__pillow-simd-d970a39
pandas-dev__pandas-2278923,1,3,5,4,4,4,0,3,5,3,4,2,4,1,4,2,1,1,4,4,2026-03-07T02:05:37.554056,claude-sonnet-4-6,anthropic,pandas-dev__pandas-2278923
numpy__numpy-330057f,2,3,5,4,5,3,0,3,5,3,4,2,4,1,1,3,2,3,3,3,2026-03-07T02:05:34.112764,claude-sonnet-4-6,anthropic,numpy__numpy-330057f
numpy__numpy-b862e4f,1,2,5,4,5,4,0,3,5,3,4,4,4,1,2,3,2,2,4,4,2026-03-07T02:05:31.947990,claude-sonnet-4-6,anthropic,numpy__numpy-b862e4f
numpy__numpy-893db31,1,3,5,4,5,4,0,3,5,3,4,4,4,1,3,2,2,2,4,5,2026-03-07T02:05:33.309088,claude-sonnet-4-6,anthropic,numpy__numpy-893db31
pandas-dev__pandas-fd43d4b,2,4,4,4,3,3,0,4,5,4,3,3,4,1,3,2,1,1,3,4,2026-03-07T02:07:39.343882,claude-sonnet-4-6,anthropic,pandas-dev__pandas-fd43d4b
pandas-dev__pandas-84aca21,3,4,5,4,4,3,0,3,5,3,3,3,4,1,3,4,3,4,4,4,2026-03-07T02:07:39.344589,claude-sonnet-4-6,anthropic,pandas-dev__pandas-84aca21
pandas-dev__pandas-d377cc9,1,4,5,4,4,3,0,3,5,3,4,2,4,1,3,2,1,1,4,4,2026-03-07T02:05:37.074334,claude-sonnet-4-6,anthropic,pandas-dev__pandas-d377cc9
