instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
numpy__numpy-7853cbc,2,4,5,4,4,3,0,3,5,3,2,1,4,1,3,4,3,3,4,4,2026-03-07T23:24:52.341819,claude-opus-4-6,anthropic,numpy__numpy-7853cbc
huggingface__tokenizers-076319d,3,4,4,4,3,3,1,3,5,3,2,2,4,1,4,3,4,3,4,4,2026-03-07T23:25:19.355669,claude-opus-4-6,anthropic,huggingface__tokenizers-076319d
huggingface__datasets-ef3b5dd,3,3,4,4,4,4,0,3,4,3,4,5,4,1,4,3,2,2,5,5,2026-03-07T23:24:52.053868,claude-opus-4-6,anthropic,huggingface__datasets-ef3b5dd
numpy__numpy-8dd6761,2,3,5,4,4,4,0,3,5,3,2,4,4,1,2,3,3,3,4,4,2026-03-07T23:24:59.173978,claude-opus-4-6,anthropic,numpy__numpy-8dd6761
numpy__numpy-ac5c664,3,4,5,4,4,4,0,3,5,3,2,4,4,1,3,4,3,3,5,4,2026-03-07T23:24:52.245582,claude-opus-4-6,anthropic,numpy__numpy-ac5c664
huggingface__tokenizers-c893204,1,4,4,4,4,4,0,3,5,3,3,1,4,1,3,3,2,2,4,3,2026-03-07T23:25:18.861478,claude-opus-4-6,anthropic,huggingface__tokenizers-c893204
huggingface__datasets-5994036,1,4,4,4,3,3,0,3,5,3,2,3,4,1,3,3,3,1,3,4,2026-03-07T23:24:51.846179,claude-opus-4-6,anthropic,huggingface__datasets-5994036
pandas-dev__pandas-f298507,2,4,4,3,3,3,0,3,5,3,2,4,5,1,3,3,4,2,4,4,2026-03-07T23:25:05.006652,claude-opus-4-6,anthropic,pandas-dev__pandas-f298507
pandas-dev__pandas-45f0705,1,3,4,3,3,3,0,3,5,3,2,3,4,1,3,3,4,2,3,3,2026-03-07T23:25:05.545491,claude-opus-4-6,anthropic,pandas-dev__pandas-45f0705
numpy__numpy-09db9c7,3,4,5,4,4,3,0,3,5,3,2,4,4,1,3,4,2,4,4,4,2026-03-07T23:24:58.386040,claude-opus-4-6,anthropic,numpy__numpy-09db9c7
python-pillow__Pillow-f854676,2,4,4,3,3,3,0,3,5,3,2,1,4,1,3,2,2,1,3,4,2026-03-07T23:25:12.231570,claude-opus-4-6,anthropic,python-pillow__Pillow-f854676
uploadcare__pillow-simd-d970a39,3,4,5,3,3,3,1,3,4,3,2,1,5,1,2,3,2,2,3,3,2026-03-07T23:25:17.394098,claude-opus-4-6,anthropic,uploadcare__pillow-simd-d970a39
pandas-dev__pandas-2278923,2,4,4,4,3,3,0,4,5,3,3,2,5,1,3,2,2,1,4,4,2026-03-07T23:25:12.791676,claude-opus-4-6,anthropic,pandas-dev__pandas-2278923
numpy__numpy-330057f,3,4,5,4,4,3,0,3,5,3,3,2,4,1,1,4,4,4,3,3,2026-03-07T23:24:59.925269,claude-opus-4-6,anthropic,numpy__numpy-330057f
numpy__numpy-b862e4f,3,4,5,3,4,3,0,4,5,3,2,3,5,1,3,2,3,2,3,4,2026-03-07T23:24:52.075873,claude-opus-4-6,anthropic,numpy__numpy-b862e4f
numpy__numpy-893db31,3,4,5,4,4,3,0,3,5,3,2,4,4,1,3,3,2,2,4,4,2026-03-07T23:24:57.876249,claude-opus-4-6,anthropic,numpy__numpy-893db31
pandas-dev__pandas-fd43d4b,3,4,4,3,3,3,0,4,5,3,2,3,5,1,3,2,2,1,3,4,2026-03-07T23:25:12.659946,claude-opus-4-6,anthropic,pandas-dev__pandas-fd43d4b
pandas-dev__pandas-84aca21,2,4,4,4,3,3,0,3,5,3,2,3,5,1,3,4,3,4,3,3,2026-03-07T23:25:12.185622,claude-opus-4-6,anthropic,pandas-dev__pandas-84aca21
pandas-dev__pandas-d377cc9,1,4,4,4,3,3,0,3,5,3,3,2,5,1,3,2,1,1,4,4,2026-03-07T23:25:05.789102,claude-opus-4-6,anthropic,pandas-dev__pandas-d377cc9
numpy__numpy-11a7e2d,3,4,5,4,4,3,0,4,5,4,2,3,5,1,3,3,4,3,4,4,2026-03-07T23:24:51.926329,claude-opus-4-6,anthropic,numpy__numpy-11a7e2d
uploadcare__pillow-simd-b4045cf,3,4,5,4,4,4,0,3,5,3,2,2,5,1,3,3,4,2,5,4,2026-03-07T23:25:17.953661,claude-opus-4-6,anthropic,uploadcare__pillow-simd-b4045cf
pandas-dev__pandas-191557d,1,4,4,3,3,3,0,3,5,3,2,2,4,1,3,2,2,1,3,3,2026-03-07T23:25:11.306800,claude-opus-4-6,anthropic,pandas-dev__pandas-191557d
uploadcare__pillow-simd-0514e20,3,4,5,4,4,4,1,3,5,3,1,1,5,1,3,2,4,2,5,2,2026-03-07T23:25:17.894068,claude-opus-4-6,anthropic,uploadcare__pillow-simd-0514e20
pandas-dev__pandas-ccca5df,3,4,5,4,3,3,1,3,5,3,2,5,5,1,4,2,1,1,5,5,2026-03-07T23:25:05.866030,claude-opus-4-6,anthropic,pandas-dev__pandas-ccca5df
pandas-dev__pandas-e7e3676,2,4,5,4,4,4,0,3,5,3,3,3,4,1,4,2,2,1,4,4,2026-03-07T23:25:04.951166,claude-opus-4-6,anthropic,pandas-dev__pandas-e7e3676
numpy__numpy-248c60e,3,4,5,3,4,3,0,3,5,3,2,4,5,1,3,4,4,4,4,5,2026-03-07T23:24:57.955114,claude-opus-4-6,anthropic,numpy__numpy-248c60e
numpy__numpy-ec52363,1,4,5,3,4,3,0,3,5,3,2,2,5,1,2,4,4,4,2,3,2026-03-07T23:24:59.391815,claude-opus-4-6,anthropic,numpy__numpy-ec52363
pandas-dev__pandas-9d6d587,1,4,4,3,3,3,0,3,5,3,2,1,4,1,2,4,3,3,2,3,2026-03-07T23:25:11.499676,claude-opus-4-6,anthropic,pandas-dev__pandas-9d6d587
numpy__numpy-cedba62,3,4,4,4,3,3,1,3,5,3,2,1,5,1,3,2,2,1,3,2,2026-03-07T23:24:52.382535,claude-opus-4-6,anthropic,numpy__numpy-cedba62
numpy__numpy-905d37e,1,4,5,4,4,3,0,3,5,3,2,1,5,1,1,4,3,2,3,3,2026-03-07T23:24:58.990751,claude-opus-4-6,anthropic,numpy__numpy-905d37e
numpy__numpy-83c780d,3,4,5,4,4,3,0,3,5,3,2,4,4,1,3,3,3,2,5,5,2026-03-07T23:24:53.415799,claude-opus-4-6,anthropic,numpy__numpy-83c780d
tornadoweb__tornado-4d4c1e0,3,3,4,4,4,4,0,3,4,2,3,5,4,1,4,2,2,1,4,5,2026-03-07T23:25:20.979394,claude-opus-4-6,anthropic,tornadoweb__tornado-4d4c1e0
pandas-dev__pandas-1c2ad16,1,3,4,4,3,3,0,3,5,3,3,3,4,1,3,2,3,1,3,4,2026-03-07T23:25:09.485203,claude-opus-4-6,anthropic,pandas-dev__pandas-1c2ad16
huggingface__datasets-c5464b3,1,3,4,4,4,4,0,3,4,2,4,2,4,0,4,3,4,2,4,4,2026-03-07T23:24:52.198184,claude-opus-4-6,anthropic,huggingface__datasets-c5464b3
