instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id
django__django-11880,2,4,3,2,2,2,1,4,3,4,1,1,4,1,1,2,2,1,1,2,2026-03-08T00:21:22.810471,claude-opus-4-6,anthropic,django__django-11880
django__django-12039,3,5,4,2,2,2,1,5,5,5,1,1,5,1,2,4,2,3,2,3,2026-03-08T00:21:25.409100,claude-opus-4-6,anthropic,django__django-12039
django__django-12193,3,5,4,2,2,2,1,5,3,5,1,1,4,1,1,3,2,2,1,2,2026-03-08T00:21:25.890050,claude-opus-4-6,anthropic,django__django-12193
astropy__astropy-14598,0,5,4,4,4,2,0,5,5,4,3,1,5,1,2,3,2,3,3,4,2026-03-08T00:20:50.805244,claude-opus-4-6,anthropic,astropy__astropy-14598
django__django-13297,1,4,4,3,3,3,0,4,5,4,3,2,4,1,3,2,3,1,2,3,2026-03-08T00:21:45.056396,claude-opus-4-6,anthropic,django__django-13297
sympy__sympy-21847,1,5,3,3,2,2,0,4,5,5,2,1,4,1,2,4,3,3,1,1,2026-03-08T00:25:15.214890,claude-opus-4-6,anthropic,sympy__sympy-21847
matplotlib__matplotlib-20676,1,4,4,3,3,3,0,4,5,5,2,1,5,1,2,4,3,3,2,3,2026-03-08T00:23:09.710895,claude-opus-4-6,anthropic,matplotlib__matplotlib-20676
django__django-14155,3,4,3,3,2,2,1,3,3,3,2,1,3,1,2,4,3,3,2,2,2026-03-08T00:22:07.353675,claude-opus-4-6,anthropic,django__django-14155
sphinx-doc__sphinx-9591,0,4,4,3,3,3,0,4,5,4,3,2,5,1,2,2,4,1,2,3,2026-03-08T00:24:42.247600,claude-opus-4-6,anthropic,sphinx-doc__sphinx-9591
django__django-11087,2,4,4,3,3,3,0,5,4,4,3,2,5,1,2,3,4,3,3,4,2026-03-08T00:21:01.257487,claude-opus-4-6,anthropic,django__django-11087
django__django-16938,1,4,4,4,3,3,0,5,5,3,3,2,5,1,2,4,3,3,1,2,2026-03-08T00:23:02.639881,claude-opus-4-6,anthropic,django__django-16938
django__django-15569,3,5,3,2,1,3,1,4,3,5,1,2,4,1,2,3,3,2,1,2,2026-03-08T00:22:38.236303,claude-opus-4-6,anthropic,django__django-15569
django__django-13794,1,4,3,2,2,2,1,4,3,4,2,1,3,1,2,3,2,3,2,3,2026-03-08T00:21:57.624702,claude-opus-4-6,anthropic,django__django-13794
django__django-11603,3,5,4,1,1,2,1,3,3,5,1,1,4,1,2,3,2,2,1,2,2026-03-08T00:21:14.374411,claude-opus-4-6,anthropic,django__django-11603
django__django-11551,3,5,4,4,3,3,0,5,4,5,1,1,5,1,2,2,3,2,3,3,2026-03-08T00:21:14.279304,claude-opus-4-6,anthropic,django__django-11551
django__django-16502,2,5,4,2,2,2,1,5,5,5,2,1,5,1,2,3,4,2,4,4,2026-03-08T00:22:54.029893,claude-opus-4-6,anthropic,django__django-16502
sympy__sympy-21596,1,4,4,4,3,2,0,5,5,5,3,2,4,0,3,4,3,4,4,4,2026-03-08T00:25:15.116556,claude-opus-4-6,anthropic,sympy__sympy-21596
sphinx-doc__sphinx-10449,1,5,4,3,2,3,0,4,5,4,3,2,5,1,2,2,3,2,3,3,2026-03-08T00:24:19.117303,claude-opus-4-6,anthropic,sphinx-doc__sphinx-10449
django__django-15103,2,4,3,2,1,2,1,3,3,4,1,2,3,1,2,2,2,1,2,2,2026-03-08T00:22:30.487262,claude-opus-4-6,anthropic,django__django-15103
sympy__sympy-11618,2,5,3,2,2,2,1,5,5,5,1,1,4,1,3,1,1,1,3,2,2026-03-08T00:24:41.937032,claude-opus-4-6,anthropic,sympy__sympy-11618
django__django-15695,1,4,4,4,3,3,0,5,5,4,3,1,4,1,2,2,3,2,2,3,2026-03-08T00:22:40.443492,claude-opus-4-6,anthropic,django__django-15695
django__django-13741,3,5,3,2,1,2,1,3,3,5,1,1,4,1,2,1,1,1,2,3,2026-03-08T00:21:56.219964,claude-opus-4-6,anthropic,django__django-13741
django__django-15380,2,4,4,3,3,3,0,5,4,4,2,1,5,1,2,2,3,2,1,3,2026-03-08T00:22:33.794740,claude-opus-4-6,anthropic,django__django-15380
django__django-14315,3,5,3,2,1,2,1,4,3,4,1,1,4,1,2,4,4,3,2,2,2026-03-08T00:22:09.367037,claude-opus-4-6,anthropic,django__django-14315
django__django-11951,3,5,3,1,1,2,1,4,3,5,1,1,5,1,2,2,3,2,1,2,2026-03-08T00:21:24.864432,claude-opus-4-6,anthropic,django__django-11951
django__django-13346,1,3,5,4,4,4,0,3,4,4,4,2,3,1,2,4,3,4,4,4,2026-03-08T00:21:46.102306,claude-opus-4-6,anthropic,django__django-13346
scikit-learn__scikit-learn-14894,2,5,3,2,2,2,1,5,5,4,1,1,5,1,1,2,2,2,2,2,2026-03-08T00:24:11.434579,claude-opus-4-6,anthropic,scikit-learn__scikit-learn-14894
django__django-13809,2,4,4,2,2,3,1,3,3,4,2,2,3,1,2,3,4,2,1,2,2026-03-08T00:21:57.840698,claude-opus-4-6,anthropic,django__django-13809
sympy__sympy-16450,2,4,3,2,2,2,1,5,5,4,1,1,4,1,2,2,2,1,1,2,2026-03-08T00:25:00.834199,claude-opus-4-6,anthropic,sympy__sympy-16450
django__django-14765,3,5,3,1,2,2,1,5,4,5,1,1,5,1,1,1,1,1,1,1,2026-03-08T00:22:18.040652,claude-opus-4-6,anthropic,django__django-14765
matplotlib__matplotlib-21568,0,3,4,4,4,4,0,3,5,4,3,2,4,1,2,4,3,3,2,2,2026-03-08T00:23:11.482064,claude-opus-4-6,anthropic,matplotlib__matplotlib-21568
