task_id,beta
astropy__astropy-12907,-0.51132774
astropy__astropy-13033,4.1460943
astropy__astropy-13236,2.4366999
astropy__astropy-13398,6.9396996
astropy__astropy-13453,0.49478605
astropy__astropy-13579,-0.783255
astropy__astropy-13977,6.937833
astropy__astropy-14096,-1.0829462
astropy__astropy-14182,4.1434436
astropy__astropy-14309,-2.9983733
astropy__astropy-14365,3.005728
astropy__astropy-14369,2.099678
astropy__astropy-14508,-0.05036855
astropy__astropy-14539,-0.9375667
astropy__astropy-14598,4.1237416
astropy__astropy-14995,-1.6895134
astropy__astropy-7166,-1.0825694
astropy__astropy-7336,-2.2398026
astropy__astropy-7606,3.0019028
astropy__astropy-7671,-1.5490617
astropy__astropy-8707,4.1520777
astropy__astropy-8872,3.4280202
django__django-10097,0.75895137
django__django-10554,6.9311786
django__django-10880,-1.0812255
django__django-10914,-1.6872065
django__django-10973,-1.2642603
django__django-10999,6.9553432
django__django-11066,-3.4197788
django__django-11087,6.9436665
django__django-11095,-2.089323
django__django-11099,-3.4276161
django__django-11119,-3.423187
django__django-11133,-2.4572196
django__django-11138,4.1317286
django__django-11141,2.0994685
django__django-11149,1.0759547
django__django-11163,-2.9955943
django__django-11179,-1.6746901
django__django-11206,1.2635306
django__django-11211,-0.7703723
django__django-11239,1.0083326
django__django-11265,0.84103197
django__django-11276,-1.2589208
django__django-11292,-1.3313063
django__django-11299,0.6071316
django__django-11333,0.41751856
django__django-11400,6.967898
django__django-11433,2.7012715
django__django-11451,-1.0678308
django__django-11477,3.4282126
django__django-11490,1.0081159
django__django-11532,0.2768442
django__django-11551,-2.460648
django__django-11555,0.7711772
django__django-11603,-2.2583444
django__django-11728,3.435249
django__django-11734,4.151237
django__django-11740,0.2865719
django__django-11749,-1.1652284
django__django-11790,1.5456269
django__django-11815,-0.5614219
django__django-11820,4.131226
django__django-11848,1.1585007
django__django-11880,-2.9990516
django__django-11885,4.1670136
django__django-11951,-1.5569526
django__django-11964,0.7885865
django__django-11999,-1.4572172
django__django-12039,0.03460827
django__django-12050,-1.9313568
django__django-12125,0.41646498
django__django-12143,-3.4385703
django__django-12155,-4.1298656
django__django-12193,-0.34590316
django__django-12209,-1.4558481
django__django-12262,-0.17666702
django__django-12273,1.6615726
django__django-12276,-1.4730042
django__django-12304,-0.15037319
django__django-12308,2.0845528
django__django-12325,1.9424391
django__django-12406,6.93362
django__django-12419,-3.0149865
django__django-12663,0.56088364
django__django-12708,-0.36292496
django__django-12713,-1.2481716
django__django-12741,-0.47973666
django__django-12754,0.6262209
django__django-12774,0.3611959
django__django-12858,-0.48460016
django__django-12965,0.8367231
django__django-13012,-0.40671885
django__django-13023,0.15354113
django__django-13028,-0.9117501
django__django-13033,-0.16793448
django__django-13089,-2.451929
django__django-13109,-3.010358
django__django-13112,0.7613872
django__django-13121,0.42617252
django__django-13128,0.6325477
django__django-13158,-0.10321315
django__django-13195,6.937907
django__django-13212,6.941489
django__django-13279,-0.2941545
django__django-13297,0.762082
django__django-13315,-0.2754314
django__django-13343,-0.63637877
django__django-13344,6.953637
django__django-13346,0.75604814
django__django-13363,-2.2600152
django__django-13401,-0.35316882
django__django-13406,0.28120455
django__django-13410,-2.6936278
django__django-13417,-1.5654666
django__django-13449,0.3575971
django__django-13512,0.9879526
django__django-13513,6.9258165
django__django-13516,-1.6710172
django__django-13551,0.9956096
django__django-13568,0.9194362
django__django-13569,-0.7682579
django__django-13590,-0.5448242
django__django-13658,-4.1655574
django__django-13670,-2.460795
django__django-13741,-2.7047005
django__django-13786,-2.0807478
django__django-13794,2.6928153
django__django-13807,1.205131
django__django-13809,-0.8433946
django__django-13810,-0.8588036
django__django-13820,-2.4505796
django__django-13821,-1.9362606
django__django-13837,-1.1548233
django__django-13925,0.6302074
django__django-13933,-1.3567047
django__django-13964,0.35523093
django__django-14007,-0.42137977
django__django-14011,6.9486384
django__django-14017,-0.03513026
django__django-14034,6.9476533
django__django-14053,-1.0122391
django__django-14089,-3.4354804
django__django-14122,-0.36703545
django__django-14140,0.92812705
django__django-14155,6.9264035
django__django-14170,6.965718
