task_id,beta
astropy__astropy-12907,-0.4054651
astropy__astropy-13033,4.158883
astropy__astropy-13236,2.4849067
astropy__astropy-13398,6.906755
astropy__astropy-13453,0.5355182
astropy__astropy-13579,-0.6701577
astropy__astropy-13977,6.906755
astropy__astropy-14096,-0.95977587
astropy__astropy-14182,4.158883
astropy__astropy-14309,-3.028522
astropy__astropy-14365,3.028522
astropy__astropy-14369,2.114533
astropy__astropy-14508,0.030771658
astropy__astropy-14539,-0.8109302
astropy__astropy-14598,4.158883
astropy__astropy-14995,-1.704748
astropy__astropy-7166,-1.1192316
astropy__astropy-7336,-2.285778
astropy__astropy-7606,3.028522
astropy__astropy-7671,-1.5910888
astropy__astropy-8707,4.158883
astropy__astropy-8872,3.4499876
django__django-10097,0.8109302
django__django-10554,6.906755
django__django-10880,-1.1192316
django__django-10914,-1.704748
django__django-10973,-1.1192316
django__django-10999,6.906755
django__django-11066,-3.4499876
django__django-11087,6.906755
django__django-11095,-2.114533
django__django-11099,-3.4499876
django__django-11119,-3.4499876
django__django-11133,-2.4849067
django__django-11138,4.158883
django__django-11141,2.114533
django__django-11149,1.1192316
django__django-11163,-3.028522
django__django-11179,-1.704748
django__django-11206,1.1192316
django__django-11211,-0.6701577
django__django-11239,1.0379877
django__django-11265,0.8842024
django__django-11276,-1.2927684
django__django-11292,-1.3862944
django__django-11299,0.6701577
django__django-11333,0.47000363
django__django-11400,6.906755
django__django-11433,2.7245796
django__django-11451,-1.1192316
django__django-11477,3.4499876
django__django-11490,1.0379877
django__django-11532,0.34174928
django__django-11551,-2.4849067
django__django-11555,0.8109302
django__django-11603,-2.285778
django__django-11728,3.4499876
django__django-11734,4.158883
django__django-11740,0.34174928
django__django-11749,-1.0379877
django__django-11790,1.3862944
django__django-11815,-0.47000363
django__django-11820,4.158883
django__django-11848,1.2039728
django__django-11880,-3.028522
django__django-11885,4.158883
django__django-11951,-1.5910888
django__django-11964,0.8109302
django__django-11999,-1.4853853
django__django-12039,0.09237332
django__django-12050,-1.9636097
django__django-12125,0.47000363
django__django-12143,-3.4499876
django__django-12155,-4.158883
django__django-12193,-0.2787134
django__django-12209,-1.4853853
django__django-12262,-0.09237332
django__django-12273,1.704748
django__django-12276,-1.4853853
django__django-12304,-0.09237332
django__django-12308,2.114533
django__django-12325,1.9636097
django__django-12406,6.906755
django__django-12419,-3.028522
django__django-12663,0.6021754
django__django-12708,-0.2787134
django__django-12713,-1.2927684
django__django-12741,-0.4054651
django__django-12754,0.6701577
django__django-12774,0.4054651
django__django-12858,-0.4054651
django__django-12965,0.8842024
django__django-13012,-0.34174928
django__django-13023,0.2162231
django__django-13028,-0.95977587
django__django-13033,-0.09237332
django__django-13089,-2.4849067
django__django-13109,-3.028522
django__django-13112,0.8109302
django__django-13121,0.47000363
django__django-13128,0.6701577
django__django-13158,-0.030771658
django__django-13195,6.906755
django__django-13212,6.906755
django__django-13279,-0.2162231
django__django-13297,0.8109302
django__django-13315,-0.2162231
django__django-13343,-0.6701577
django__django-13344,6.906755
django__django-13346,0.8109302
django__django-13363,-2.285778
django__django-13401,-0.4054651
django__django-13406,0.34174928
django__django-13410,-2.7245796
django__django-13417,-1.3862944
django__django-13449,0.2787134
django__django-13512,1.0379877
django__django-13513,6.906755
django__django-13516,-1.704748
django__django-13551,0.8842024
django__django-13568,0.95977587
django__django-13569,-0.6701577
django__django-13590,-0.6021754
django__django-13658,-4.158883
django__django-13670,-2.114533
django__django-13741,-2.7245796
django__django-13786,-1.9636097
django__django-13794,2.7245796
django__django-13807,1.2039728
django__django-13809,-0.8842024
django__django-13810,-0.7396672
django__django-13820,-2.4849067
django__django-13821,-1.9636097
django__django-13837,-1.1192316
django__django-13925,0.6701577
django__django-13933,-1.3862944
django__django-13964,0.4054651
django__django-14007,-0.34174928
django__django-14011,6.906755
django__django-14017,0.030771658
django__django-14034,6.906755
django__django-14053,-0.8842024
django__django-14089,-3.4499876
django__django-14122,-0.2787134
django__django-14140,0.95977587
django__django-14155,6.906755
django__django-14170,6.906755
django__django-14238,-1.4853853
django__django-14311,0.7396672
django__django-14315,3.4499876
django__django-14349,-1.5910888
django__django-14351,0.6701577
django__django-14373,-6.906755
django__django-14376,1.9636097
django__django-14404,1.1192316
django__django-14434,-0.5355182
django__django-14493,-1.1192316
django__django-14500,-0.8842024
django__django-14534,3.028522
django__django-14539,-1.3862944
django__django-14559,-0.7396672
django__django-14580,0.47000363
django__django-14608,-0.7396672
django__django-14631,0.8842024
django__django-14672,-2.285778
django__django-14725,3.4499876
django__django-14752,-3.028522
django__django-14765,-2.4849067
django__django-14771,0.15415068
django__django-14787,-1.2927684
django__django-14792,6.906755
django__django-14855,-4.158883
django__django-14915,-2.7245796
django__django-14999,-0.15415068
django__django-15022,-0.09237332
django__django-15037,0.4054651
django__django-15098,4.158883
django__django-15103,-0.4054651
