task_id,beta
astropy__astropy-12907,-0.4080339
astropy__astropy-13033,4.1613426
astropy__astropy-13236,2.4834626
astropy__astropy-13398,6.95808
astropy__astropy-13453,0.53874004
astropy__astropy-13579,-0.67758626
astropy__astropy-13977,6.9512334
astropy__astropy-14096,-0.9708241
astropy__astropy-14182,4.162566
astropy__astropy-14309,-3.026947
astropy__astropy-14365,3.0260026
astropy__astropy-14369,2.1191828
astropy__astropy-14508,0.021995826
astropy__astropy-14539,-0.8208342
astropy__astropy-14598,4.1706343
astropy__astropy-14995,-1.720453
astropy__astropy-7166,-1.1190825
astropy__astropy-7336,-2.2900054
astropy__astropy-7606,3.024711
astropy__astropy-7671,-1.6005359
astropy__astropy-8707,4.189595
astropy__astropy-8872,3.4478369
django__django-10097,0.81012106
django__django-10554,6.957134
django__django-10880,-1.1228954
django__django-10914,-1.7101942
django__django-10973,-1.1336676
django__django-10999,6.966685
django__django-11066,-3.44832
django__django-11087,6.9470043
django__django-11095,-2.1223307
django__django-11099,-3.4662035
django__django-11119,-3.4581969
django__django-11133,-2.4958367
django__django-11138,4.1780634
django__django-11141,2.1137788
django__django-11149,1.1231679
django__django-11163,-3.0347621
django__django-11179,-1.7130479
django__django-11206,1.1291566
django__django-11211,-0.68002236
django__django-11239,1.0418646
django__django-11265,0.8840675
django__django-11276,-1.3023627
django__django-11292,-1.3937424
django__django-11299,0.6680311
django__django-11333,0.46482554
django__django-11400,6.9684305
django__django-11433,2.7238975
django__django-11451,-1.1169966
django__django-11477,3.458158
django__django-11490,1.0437332
django__django-11532,0.33840474
django__django-11551,-2.4946766
django__django-11555,0.80711204
django__django-11603,-2.2899566
django__django-11728,3.4514222
django__django-11734,4.16079
django__django-11740,0.34322062
django__django-11749,-1.0448506
django__django-11790,1.4016268
django__django-11815,-0.47458664
django__django-11820,4.20907
django__django-11848,1.2049941
django__django-11880,-3.0523157
django__django-11885,4.1765018
django__django-11951,-1.5935233
django__django-11964,0.81330496
django__django-11999,-1.494142
django__django-12039,0.07459988
django__django-12050,-1.9764256
django__django-12125,0.46543306
django__django-12143,-3.4561272
django__django-12155,-4.194972
django__django-12193,-0.29163897
django__django-12209,-1.4945927
django__django-12262,-0.1065444
django__django-12273,1.6985625
django__django-12276,-1.4862815
django__django-12304,-0.1081894
django__django-12308,2.1193814
django__django-12325,1.959364
django__django-12406,6.9626937
django__django-12419,-3.0292945
django__django-12663,0.615229
django__django-12708,-0.28680405
django__django-12713,-1.3012774
django__django-12741,-0.4136222
django__django-12754,0.67521226
django__django-12774,0.40430135
django__django-12858,-0.40914777
django__django-12965,0.8845589
django__django-13012,-0.34245124
django__django-13023,0.2211605
django__django-13028,-0.9670775
django__django-13033,-0.08994209
django__django-13089,-2.4882848
django__django-13109,-3.0352116
django__django-13112,0.8120999
django__django-13121,0.46842828
django__django-13128,0.66895306
django__django-13158,-0.039398998
django__django-13195,6.975057
django__django-13212,6.979454
django__django-13279,-0.22376284
django__django-13297,0.8057679
django__django-13315,-0.2262367
django__django-13343,-0.66865695
django__django-13344,6.9521623
django__django-13346,0.806659
django__django-13363,-2.2911701
django__django-13401,-0.4147498
django__django-13406,0.33106646
django__django-13410,-2.729921
django__django-13417,-1.3995936
django__django-13449,0.2792213
django__django-13512,1.043858
django__django-13513,6.952033
django__django-13516,-1.6995491
django__django-13551,0.8869512
django__django-13568,0.95158696
django__django-13569,-0.67168856
django__django-13590,-0.60002285
django__django-13658,-4.171299
django__django-13670,-2.1302667
django__django-13741,-2.7396977
django__django-13786,-1.9760513
django__django-13794,2.7260795
django__django-13807,1.2117398
django__django-13809,-0.8827769
django__django-13810,-0.7411314
django__django-13820,-2.4862502
django__django-13821,-1.9623545
django__django-13837,-1.1285673
django__django-13925,0.6700409
django__django-13933,-1.3808699
django__django-13964,0.40253013
django__django-14007,-0.34166837
django__django-14011,6.970147
django__django-14017,0.015732743
django__django-14034,6.9608183
django__django-14053,-0.88899225
django__django-14089,-3.4586897
django__django-14122,-0.2945684
django__django-14140,0.9560815
django__django-14155,6.963025
django__django-14170,6.958169
django__django-14238,-1.487918
django__django-14311,0.7361314
django__django-14315,3.462074
django__django-14349,-1.5993758
django__django-14351,0.68044627
django__django-14373,-6.958649
django__django-14376,1.9544706
django__django-14404,1.1174318
django__django-14434,-0.53073245
django__django-14493,-1.1359177
django__django-14500,-0.8915211
django__django-14534,3.0252879
django__django-14539,-1.4023608
django__django-14559,-0.74536794
django__django-14580,0.47344166
django__django-14608,-0.7553316
django__django-14631,0.88309693
django__django-14672,-2.2961235
django__django-14725,3.452867
django__django-14752,-3.0333493
django__django-14765,-2.5106235
django__django-14771,0.15567012
django__django-14787,-1.310103
django__django-14792,6.9627814
django__django-14855,-4.194193
django__django-14915,-2.7270477
django__django-14999,-0.17032368
django__django-15022,-0.09409929
django__django-15037,0.41048434
django__django-15098,4.1859107
django__django-15103,-0.41610292
django__django-15104,-4.207491
django__django-15127,1.6084328
django__django-15128,0.15229495
django__django-15161,0.34295332
django__django-15252,6.9599824
django__django-15268,0.5994076
django__django-15277,-3.4507563
django__django-15278,-0.88896644
django__django-15280,4.171567
django__django-15315,-1.8451688
django__django-15368,-2.491439
django__django-15375,0.6681858
django__django-15380,-1.0395193
django__django-15382,-0.16880718
django__django-15467,-4.182966
django__django-15499,-1.4959905
django__django-15503,2.280854
django__django-15525,0.01039498
django__django-15554,2.1124306
django__django-15561,-1.1244992
django__django-15563,2.121112
django__django-15569,-2.4908586
django__django-15572,-1.1318469
django__django-15629,6.9805355
django__django-15695,3.4537566
django__django-15731,-2.2932057
django__django-15732,2.4918118
django__django-15741,-2.287934
django__django-15814,-0.7339385
django__django-15851,-1.8400296
django__django-15863,-0.96490455
django__django-15916,0.8795925
django__django-15930,-0.04031267
django__django-15957,6.9654145
django__django-15973,6.945787
django__django-15987,-0.9003298
django__django-16032,0.282041
django__django-16082,-0.28279564
django__django-16100,-0.53911483
django__django-16116,-0.88013107
django__django-16136,-0.8117111
django__django-16139,-3.030833
django__django-16145,-1.7096187
django__django-16255,-3.4563608
django__django-16256,6.9583774
django__django-16263,6.962246
django__django-16315,0.9484913
django__django-16333,-3.0286243
django__django-16429,-3.0313437
django__django-16454,1.2102572
django__django-16485,-1.9700035
django__django-16493,-1.6182518
django__django-16502,6.980665
django__django-16527,-6.960397
django__django-16560,1.7053989
django__django-16569,-3.4498637
django__django-16595,-2.4886847
django__django-16612,-1.3978077
django__django-16631,6.9713964
django__django-16642,-0.42254978
django__django-16661,0.2192481
