task_id,beta
astropy__astropy-12907,-0.481249
astropy__astropy-13033,4.14864
astropy__astropy-13236,2.464138
astropy__astropy-13398,6.902529
astropy__astropy-13453,0.50011444
astropy__astropy-13579,-0.7609651
astropy__astropy-13977,6.9215035
astropy__astropy-14096,-1.0928289
astropy__astropy-14182,4.153189
astropy__astropy-14309,-2.9969678
astropy__astropy-14365,3.0380416
astropy__astropy-14369,2.1116405
astropy__astropy-14508,-0.008310109
astropy__astropy-14539,-0.925761
astropy__astropy-14598,4.151466
astropy__astropy-14995,-1.6810306
astropy__astropy-7166,-1.0866107
astropy__astropy-7336,-2.244811
astropy__astropy-7606,3.017607
astropy__astropy-7671,-1.541963
astropy__astropy-8707,4.1481056
astropy__astropy-8872,3.4210043
django__django-10097,0.75894535
django__django-10554,6.932671
django__django-10880,-1.088506
django__django-10914,-1.6668913
django__django-10973,-1.2689362
django__django-10999,6.929804
django__django-11066,-3.4090803
django__django-11087,6.908663
django__django-11095,-2.0985377
django__django-11099,-3.4099417
django__django-11119,-3.4251287
django__django-11133,-2.4372318
django__django-11138,4.1276817
django__django-11141,2.0768676
django__django-11149,1.0706856
django__django-11163,-2.9887545
django__django-11179,-1.6843978
django__django-11206,1.2467079
django__django-11211,-0.7652734
django__django-11239,1.010849
django__django-11265,0.8292394
django__django-11276,-1.2491292
django__django-11292,-1.3548511
django__django-11299,0.6120191
django__django-11333,0.43169546
django__django-11400,6.9423647
django__django-11433,2.6972973
django__django-11451,-1.0625954
django__django-11477,3.4310915
django__django-11490,1.0014496
django__django-11532,0.3003093
django__django-11551,-2.4505515
django__django-11555,0.74766976
django__django-11603,-2.2499287
django__django-11728,3.4322553
django__django-11734,4.115526
django__django-11740,0.28218195
django__django-11749,-1.1595646
django__django-11790,1.564536
django__django-11815,-0.5559733
django__django-11820,4.139844
django__django-11848,1.1637022
django__django-11880,-2.993916
django__django-11885,4.147882
django__django-11951,-1.575842
django__django-11964,0.78962094
django__django-11999,-1.4468067
django__django-12039,0.03649016
django__django-12050,-1.9233893
django__django-12125,0.40200728
django__django-12143,-3.4128187
django__django-12155,-4.1191716
django__django-12193,-0.3380359
django__django-12209,-1.4451507
django__django-12262,-0.16202565
django__django-12273,1.6645311
django__django-12276,-1.4725833
django__django-12304,-0.16077875
django__django-12308,2.071529
django__django-12325,1.9372063
django__django-12406,6.915193
django__django-12419,-2.9802706
django__django-12663,0.56847465
django__django-12708,-0.35162538
django__django-12713,-1.2547171
django__django-12741,-0.4972695
django__django-12754,0.62113094
django__django-12774,0.36749732
django__django-12858,-0.47687218
django__django-12965,0.8545942
django__django-13012,-0.39668146
django__django-13023,0.16723792
django__django-13028,-0.9229951
django__django-13033,-0.15595123
django__django-13089,-2.4390194
django__django-13109,-2.9941418
django__django-13112,0.76244915
django__django-13121,0.40727353
django__django-13128,0.63655233
django__django-13158,-0.10066681
django__django-13195,6.92371
django__django-13212,6.9050612
django__django-13279,-0.29886705
django__django-13297,0.7625302
django__django-13315,-0.27990636
django__django-13343,-0.6255701
django__django-13344,6.9222984
django__django-13346,0.75991535
django__django-13363,-2.2528214
django__django-13401,-0.35641125
django__django-13406,0.28109983
django__django-13410,-2.69011
django__django-13417,-1.5583174
django__django-13449,0.35063523
django__django-13512,0.9883657
django__django-13513,6.9281363
django__django-13516,-1.6742368
django__django-13551,1.0043918
django__django-13568,0.93431264
django__django-13569,-0.78335196
django__django-13590,-0.5577959
django__django-13658,-4.1388526
django__django-13670,-2.4445908
django__django-13741,-2.685298
django__django-13786,-2.07944
django__django-13794,2.7189195
django__django-13807,1.1780664
django__django-13809,-0.8530419
django__django-13810,-0.8623437
django__django-13820,-2.4476755
django__django-13821,-1.936062
django__django-13837,-1.1687161
django__django-13925,0.63907117
django__django-13933,-1.3495469
django__django-13964,0.34543493
django__django-14007,-0.4156027
django__django-14011,6.909996
django__django-14017,-0.02193078
django__django-14034,6.934484
django__django-14053,-0.99249023
django__django-14089,-3.414466
django__django-14122,-0.3562967
django__django-14140,0.9461064
django__django-14155,6.9299355
django__django-14170,6.928678
django__django-14238,-1.6638381
django__django-14311,0.7056812
django__django-14315,3.4432259
django__django-14349,-1.5747931
django__django-14351,0.6007366
django__django-14373,-6.900585
django__django-14376,1.933932
django__django-14404,1.1017729
django__django-14434,-0.4614565
django__django-14493,-1.2438134
django__django-14500,-0.8532978
django__django-14534,3.0149236
django__django-14539,-1.5543622
django__django-14559,-0.83005476
django__django-14580,0.42955062
django__django-14608,-0.8355279
django__django-14631,0.83780694
django__django-14672,-2.263095
django__django-14725,3.4215577
django__django-14752,-3.0014112
django__django-14765,-3.0039942
django__django-14771,0.08991387
django__django-14787,-1.4680135
django__django-14792,6.929427
django__django-14855,-4.119632
django__django-14915,-2.6862576
django__django-14999,-0.21117176
django__django-15022,-0.15880805
django__django-15037,0.35858545
django__django-15098,4.126291
django__django-15103,-0.5056502
django__django-15104,-4.1298194
django__django-15127,1.8146949
django__django-15128,0.09685145
django__django-15161,0.4137927
django__django-15252,6.940494
django__django-15268,0.56077135
django__django-15277,-3.415038
django__django-15278,-0.8583042
django__django-15280,4.1386924
django__django-15315,-2.0743375
django__django-15368,-2.4419913
django__django-15375,0.6354182
django__django-15380,-0.9961825
django__django-15382,-0.22735731
django__django-15467,-4.117614
django__django-15499,-1.4459057
django__django-15503,2.2601767
django__django-15525,-0.035936806
django__django-15554,2.0834627
django__django-15561,-1.0759735
django__django-15563,2.1002214
django__django-15569,-2.4477637
django__django-15572,-1.2413354
django__django-15629,6.916859
django__django-15695,3.4303043
django__django-15731,-2.2553327
django__django-15732,2.4826393
django__django-15741,-2.2469094
django__django-15814,-0.85744536
django__django-15851,-2.0855863
django__django-15863,-1.0146203
django__django-15916,0.86836004
django__django-15930,-0.08681311
django__django-15957,6.924599
django__django-15973,6.9508567
django__django-15987,-0.9878135
django__django-16032,0.21603183
django__django-16082,-0.21918358
django__django-16100,-0.5506562
django__django-16116,-0.9142069
django__django-16136,-0.76186323
django__django-16139,-2.9874196
django__django-16145,-1.6562514
django__django-16255,-3.4067342
django__django-16256,6.9344463
django__django-16263,6.919324
django__django-16315,0.91411805
django__django-16333,-2.9967551
