task_id,beta
astropy__astropy-12907,-0.47682187
astropy__astropy-13033,4.153537
astropy__astropy-13236,2.4613917
astropy__astropy-13398,6.9417896
astropy__astropy-13453,0.49470928
astropy__astropy-13579,-0.7623952
astropy__astropy-13977,6.931062
astropy__astropy-14096,-1.0915599
astropy__astropy-14182,4.1354814
astropy__astropy-14309,-2.9898415
astropy__astropy-14365,3.0389132
astropy__astropy-14369,2.0888832
astropy__astropy-14508,-0.014286723
astropy__astropy-14539,-0.91856253
astropy__astropy-14598,4.1356115
astropy__astropy-14995,-1.6981826
astropy__astropy-7166,-1.0972251
astropy__astropy-7336,-2.2443793
astropy__astropy-7606,3.0151045
astropy__astropy-7671,-1.5397795
astropy__astropy-8707,4.1309175
astropy__astropy-8872,3.4274054
django__django-10097,0.7527726
django__django-10554,6.9218135
django__django-10880,-1.0717329
django__django-10914,-1.6729718
django__django-10973,-1.2586803
django__django-10999,6.9185214
django__django-11066,-3.4115999
django__django-11087,6.916289
django__django-11095,-2.0996397
django__django-11099,-3.4046247
django__django-11119,-3.426752
django__django-11133,-2.4435437
django__django-11138,4.117339
django__django-11141,2.0862608
django__django-11149,1.0705361
django__django-11163,-2.9947367
django__django-11179,-1.6787186
django__django-11206,1.2486557
django__django-11211,-0.78219414
django__django-11239,1.0017554
django__django-11265,0.8392681
django__django-11276,-1.255902
django__django-11292,-1.3569297
django__django-11299,0.60921603
django__django-11333,0.4418922
django__django-11400,6.925221
django__django-11433,2.6929514
django__django-11451,-1.0626882
django__django-11477,3.43184
django__django-11490,1.0110646
django__django-11532,0.2921599
django__django-11551,-2.4462564
django__django-11555,0.7531179
django__django-11603,-2.2606769
django__django-11728,3.4386091
django__django-11734,4.12158
django__django-11740,0.27028808
django__django-11749,-1.1618867
django__django-11790,1.5613164
django__django-11815,-0.5681004
django__django-11820,4.1287365
django__django-11848,1.1683091
django__django-11880,-3.0087888
django__django-11885,4.133307
django__django-11951,-1.5686685
django__django-11964,0.78448373
django__django-11999,-1.4424827
django__django-12039,0.041445874
django__django-12050,-1.9288758
django__django-12125,0.39742592
django__django-12143,-3.4289277
django__django-12155,-4.1266217
django__django-12193,-0.3199784
django__django-12209,-1.4475819
django__django-12262,-0.16858687
django__django-12273,1.6591941
django__django-12276,-1.4536779
django__django-12304,-0.16235168
django__django-12308,2.0644226
django__django-12325,1.9326049
django__django-12406,6.9244175
django__django-12419,-2.9833875
django__django-12663,0.56883913
django__django-12708,-0.36131233
django__django-12713,-1.2503132
django__django-12741,-0.50013065
django__django-12754,0.6128143
django__django-12774,0.36910382
django__django-12858,-0.48385173
django__django-12965,0.8410868
django__django-13012,-0.40426153
django__django-13023,0.15523422
django__django-13028,-0.91538984
django__django-13033,-0.16891803
django__django-13089,-2.4402268
django__django-13109,-2.9964597
django__django-13112,0.7738666
django__django-13121,0.41800615
django__django-13128,0.6293039
django__django-13158,-0.093712725
django__django-13195,6.899581
django__django-13212,6.916115
django__django-13279,-0.29172972
django__django-13297,0.7586756
django__django-13315,-0.285284
django__django-13343,-0.6197965
django__django-13344,6.9238954
django__django-13346,0.75724745
django__django-13363,-2.254049
django__django-13401,-0.35414615
django__django-13406,0.28023562
django__django-13410,-2.6877813
django__django-13417,-1.5606886
django__django-13449,0.3595667
django__django-13512,0.98914427
django__django-13513,6.9150424
django__django-13516,-1.671332
django__django-13551,1.0001281
django__django-13568,0.9452114
django__django-13569,-0.78707594
django__django-13590,-0.5536089
django__django-13658,-4.1334014
django__django-13670,-2.4589534
django__django-13741,-2.6966097
django__django-13786,-2.0753744
django__django-13794,2.6920786
django__django-13807,1.1672821
django__django-13809,-0.84703773
django__django-13810,-0.8632298
django__django-13820,-2.4464948
django__django-13821,-1.9341
django__django-13837,-1.1702836
django__django-13925,0.63936806
django__django-13933,-1.3574699
django__django-13964,0.36285892
django__django-14007,-0.42439467
django__django-14011,6.9163218
django__django-14017,-0.032121368
django__django-14034,6.9288626
django__django-14053,-0.98581296
django__django-14089,-3.4282432
django__django-14122,-0.36036673
django__django-14140,0.96065056
django__django-14155,6.919243
django__django-14170,6.919481
django__django-14238,-1.6663065
django__django-14311,0.69670963
django__django-14315,3.4282193
django__django-14349,-1.5681821
django__django-14351,0.6020387
django__django-14373,-6.9149423
django__django-14376,1.9374481
django__django-14404,1.1037655
django__django-14434,-0.4749179
django__django-14493,-1.2442429
django__django-14500,-0.85076725
django__django-14534,3.0175276
django__django-14539,-1.5611942
django__django-14559,-0.8348818
django__django-14580,0.4289316
django__django-14608,-0.8247619
django__django-14631,0.86032254
django__django-14672,-2.2511764
django__django-14725,3.441751
django__django-14752,-3.0118234
django__django-14765,-2.9948878
django__django-14771,0.09595429
django__django-14787,-1.4745617
django__django-14792,6.919283
django__django-14855,-4.139597
django__django-14915,-2.6777391
django__django-14999,-0.2172397
django__django-15022,-0.15757741
django__django-15037,0.3602028
django__django-15098,4.121836
django__django-15103,-0.49007246
django__django-15104,-4.1359463
django__django-15127,1.8236016
django__django-15128,0.09546311
django__django-15161,0.41080523
django__django-15252,6.939025
django__django-15268,0.566285
django__django-15277,-3.4267933
