task_id,beta
astropy__astropy-12907,-0.49222526
astropy__astropy-13033,4.1422334
astropy__astropy-13236,2.447431
astropy__astropy-13398,6.955233
astropy__astropy-13453,0.48965538
astropy__astropy-13579,-0.75898236
astropy__astropy-13977,6.931512
astropy__astropy-14096,-1.0783137
astropy__astropy-14182,4.136664
astropy__astropy-14309,-2.9989445
astropy__astropy-14365,3.0030735
astropy__astropy-14369,2.0787787
astropy__astropy-14508,-0.021811223
astropy__astropy-14539,-0.92655927
astropy__astropy-14598,4.132303
astropy__astropy-14995,-1.6633973
astropy__astropy-7166,-1.0772451
astropy__astropy-7336,-2.2436655
astropy__astropy-7606,2.9979062
astropy__astropy-7671,-1.555824
astropy__astropy-8707,4.1636615
astropy__astropy-8872,3.4301643
django__django-10097,0.7581028
django__django-10554,6.944281
django__django-10880,-1.0796293
django__django-10914,-1.6722128
django__django-10973,-1.2608072
django__django-10999,6.9231586
django__django-11066,-3.4154203
django__django-11087,6.938493
django__django-11095,-2.0848515
django__django-11099,-3.4167085
django__django-11119,-3.4049044
django__django-11133,-2.4492
django__django-11138,4.1229
django__django-11141,2.0820017
django__django-11149,1.0681853
django__django-11163,-3.0010414
django__django-11179,-1.6599575
django__django-11206,1.2682687
django__django-11211,-0.7633888
django__django-11239,0.98937434
django__django-11265,0.83929795
django__django-11276,-1.2590597
django__django-11292,-1.3517023
django__django-11299,0.6093352
django__django-11333,0.4221787
django__django-11400,6.9325194
django__django-11433,2.6920214
django__django-11451,-1.0711616
django__django-11477,3.4125602
django__django-11490,0.99820626
django__django-11532,0.28245082
django__django-11551,-2.4541066
django__django-11555,0.7608333
django__django-11603,-2.2531793
django__django-11728,3.4244683
django__django-11734,4.1532893
django__django-11740,0.27532977
django__django-11749,-1.1535345
django__django-11790,1.537458
django__django-11815,-0.5539704
django__django-11820,4.1259527
django__django-11848,1.161173
django__django-11880,-3.0070384
django__django-11885,4.1277804
django__django-11951,-1.5579028
django__django-11964,0.7671231
django__django-11999,-1.4453514
django__django-12039,0.037424665
django__django-12050,-1.9262155
django__django-12125,0.4049976
django__django-12143,-3.4156191
django__django-12155,-4.120962
django__django-12193,-0.34230402
django__django-12209,-1.4573369
django__django-12262,-0.16779688
django__django-12273,1.6598893
django__django-12276,-1.4546317
django__django-12304,-0.17208824
django__django-12308,2.0786037
django__django-12325,1.9243209
django__django-12406,6.9289274
django__django-12419,-2.9876363
django__django-12663,0.5596454
django__django-12708,-0.35815832
django__django-12713,-1.2578408
django__django-12741,-0.4981007
django__django-12754,0.60227793
django__django-12774,0.36022326
django__django-12858,-0.49154744
django__django-12965,0.84762
django__django-13012,-0.41160855
django__django-13023,0.13849673
django__django-13028,-0.9279581
django__django-13033,-0.15479802
django__django-13089,-2.4478421
django__django-13109,-2.9899006
django__django-13112,0.76932114
django__django-13121,0.42324653
django__django-13128,0.6198969
django__django-13158,-0.09246281
django__django-13195,6.941822
django__django-13212,6.956612
django__django-13279,-0.29083472
django__django-13297,0.75491637
django__django-13315,-0.28980494
django__django-13343,-0.625119
django__django-13344,6.9320297
django__django-13346,0.7649517
django__django-13363,-2.254143
django__django-13401,-0.34573764
django__django-13406,0.2861437
django__django-13410,-2.6846268
django__django-13417,-1.5556333
django__django-13449,0.3606497
django__django-13512,0.991475
django__django-13513,6.9141445
django__django-13516,-1.6735826
django__django-13551,0.98480386
django__django-13568,0.9190827
django__django-13569,-0.7709583
django__django-13590,-0.56115466
django__django-13658,-4.158581
django__django-13670,-2.4542701
django__django-13741,-2.6976814
django__django-13786,-2.0732114
django__django-13794,2.6842284
django__django-13807,1.1589744
django__django-13809,-0.84215194
django__django-13810,-0.8534531
django__django-13820,-2.4447865
django__django-13821,-1.9301592
django__django-13837,-1.1617337
django__django-13925,0.62957865
django__django-13933,-1.35194
django__django-13964,0.35887703
django__django-14007,-0.41844255
django__django-14011,6.921278
django__django-14017,-0.040537603
django__django-14034,6.9516697
django__django-14053,-0.99135745
django__django-14089,-3.456714
django__django-14122,-0.35737538
django__django-14140,0.92552495
django__django-14155,6.936467
django__django-14170,6.9175663
django__django-14238,-1.6672271
django__django-14311,0.69270724
django__django-14315,3.4251878
django__django-14349,-1.5642987
django__django-14351,0.6174854
django__django-14373,-6.9361706
django__django-14376,1.9277724
django__django-14404,1.0791554
django__django-14434,-0.47316125
django__django-14493,-1.2493806
django__django-14500,-0.8406105
django__django-14534,3.0037417
django__django-14539,-1.556873
django__django-14559,-0.8358162
django__django-14580,0.417705
django__django-14608,-0.83732283
django__django-14631,0.8276745
django__django-14672,-2.2576334
django__django-14725,3.4234343
django__django-14752,-3.0046287
django__django-14765,-3.0000603
django__django-14771,0.08945829
django__django-14787,-1.4500072
django__django-14792,6.960173
django__django-14855,-4.1271176
django__django-14915,-2.6890435
django__django-14999,-0.21880765
django__django-15022,-0.16241366
django__django-15037,0.358663
django__django-15098,4.1440244
django__django-15103,-0.4937907
django__django-15104,-4.1308475
django__django-15127,1.7980548
django__django-15128,0.10101955
django__django-15161,0.41367692
django__django-15252,6.9370418
django__django-15268,0.55381423
django__django-15277,-3.4155304
django__django-15278,-0.8481403
django__django-15280,4.1323795
django__django-15315,-2.0761588
django__django-15368,-2.4541724
django__django-15375,0.62351066
django__django-15380,-1.0001189
django__django-15382,-0.21643151
django__django-15467,-4.1325297
django__django-15499,-1.4508581
django__django-15503,2.2582908
django__django-15525,-0.030051023
django__django-15554,2.0688982
