agent_id,theta
20240402_sweagent_claude3opus,-1.7245535
20240402_sweagent_gpt4,-1.2873963
20240612_MASAI_gpt4o,-0.7324123
20240620_sweagent_claude3.5sonnet,-0.71545976
20240721_amazon-q-developer-agent-20240719-dev,-0.47262496
20240728_sweagent_gpt4o,-1.2222474
20240820_epam-ai-run-gpt-4o,-1.1837608
20240820_honeycomb,-0.42841163
20240918_lingma-agent_lingma-swe-gpt-72b,-1.1378847
20240918_lingma-agent_lingma-swe-gpt-7b,-2.223529
20241002_lingma-agent_lingma-swe-gpt-72b,-0.93492544
20241002_lingma-agent_lingma-swe-gpt-7b,-1.548609
20241007_nfactorial,-0.7887369
20241016_composio_swekit,-0.34552974
20241016_epam-ai-run-gpt-4o,-1.024276
20241025_composio_swekit,-0.01507814
20241028_agentless-1.5_gpt4o,-0.4415092
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.101841114
20241029_epam-ai-run-claude-3-5-sonnet,-0.44439697
20241030_nfactorial,-0.33389774
20241105_nfactorial,-0.009198478
20241106_navie-2-gpt4o-sonnet,-0.06345671
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.1268334
20241108_devlo,0.17828141
20241113_nebius-search-open-weight-models-11-24,-0.39237365
20241125_enginelabs,0.028743165
20241125_marscode-agent-dev,0.0008272078
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.05409413
20241212_epam-ai-run-claude-3-5-sonnet,0.21823783
20241213_devlo,0.3343915
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.5886515
20250110_blackboxai_agent_v1.1,0.5492117
20250110_learn_by_interact_claude3.5,0.46334842
20250117_wandb_programmer_o1_crosscheck5,0.6405932
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.25575593
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.051904123
20250203_openhands_4x_scaled,0.4685922
20250226_swerl_llama3_70b,-0.2803256
20250228_epam-ai-run-claude-3-5-sonnet,0.5546298
20250410_cortexa,0.36836034
20250415_openhands,0.65103716
20250503_patchpilot-v1.1-o4-mini,0.7019918
20250511_sweagent_lm_32b,-0.44567946
20250515_Refact_Agent,0.86287737
20250516_cortexa_o3,0.82817847
20250519_devlo,0.90355194
20250519_trae,0.874718
20250520_openhands_devstral_small,-0.14212835
20250522_sweagent_claude-4-sonnet-20250514,0.6675916
20250524_openhands_claude_4_sonnet,0.87258315
20250527_amazon.nova-premier-v1.0,-0.34527767
20250528_patchpilot_Co-PatcheR,-0.112382226
20250603_Refact_Agent_claude-4-sonnet,1.0826932
20250611_moatless_claude-4-sonnet-20250514,0.94615495
20250612_trae,1.1457155
20250616_Skywork-SWE-32B,-0.5432504
20250616_Skywork-SWE-32B+TTS_Bo8,-0.16848014
20250627_agentless_MCTS-Refine-7B,-1.2084376
20250710_bloop,0.90989965
20250716_openhands_kimi_k2,0.6240712
20250728_zai_glm4-5,0.57138956
20250804_codesweep_sweagent_kimi_k2_instruct,0.10746562
20250804_epam-ai-run-claude-4-sonnet,1.2366432
