agent_id,theta
20240402_sweagent_claude3opus,-1.673185
20240402_sweagent_gpt4,-1.2425065
20240612_MASAI_gpt4o,-0.7263327
20240620_sweagent_claude3.5sonnet,-0.681171
20240721_amazon-q-developer-agent-20240719-dev,-0.45572695
20240728_sweagent_gpt4o,-1.1970524
20240820_epam-ai-run-gpt-4o,-1.1526796
20240820_honeycomb,-0.38052616
20240918_lingma-agent_lingma-swe-gpt-72b,-1.0986123
20240918_lingma-agent_lingma-swe-gpt-7b,-2.1751974
20241002_lingma-agent_lingma-swe-gpt-72b,-0.90511745
20241002_lingma-agent_lingma-swe-gpt-7b,-1.5028557
20241007_nfactorial,-0.7722157
20241016_composio_swekit,-0.38052616
20241016_epam-ai-run-gpt-4o,-0.9946226
20241025_composio_swekit,-0.056014642
20241028_agentless-1.5_gpt4o,-0.45572695
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.120144315
20241029_epam-ai-run-claude-3-5-sonnet,-0.42216
20241030_nfactorial,-0.33921573
20241105_nfactorial,-0.032002732
20241106_navie-2-gpt4o-sonnet,-0.1121173
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.15229367
20241108_devlo,0.16839682
20241113_nebius-search-open-weight-models-11-24,-0.38052616
20241125_enginelabs,0.072031125
20241125_marscode-agent-dev,0.0
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.8377921
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.032002732
20241212_epam-ai-run-claude-3-5-sonnet,0.21684574
20241213_devlo,0.330989
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.4980459
20250110_blackboxai_agent_v1.1,0.5236463
20250110_learn_by_interact_claude3.5,0.41380543
20250117_wandb_programmer_o1_crosscheck5,0.6015026
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.23304908
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.064021856
20250203_openhands_4x_scaled,0.43891305
20250226_swerl_llama3_70b,-0.3557036
20250228_epam-ai-run-claude-3-5-sonnet,0.5236463
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.71724474
20250410_cortexa,0.330989
20250415_openhands,0.6543942
20250503_patchpilot-v1.1-o4-mini,0.6015026
20250511_sweagent_lm_32b,-0.39713866
20250515_Refact_Agent,0.8664189
20250516_cortexa_o3,0.76297826
20250519_devlo,0.8568399
20250519_trae,0.87603545
20250520_openhands_devstral_small,-0.1281752
20250522_sweagent_claude-4-sonnet-20250514,0.69014865
20250524_openhands_claude_4_sonnet,0.8664189
20250527_amazon.nova-premier-v1.0,-0.3063742
20250528_patchpilot_Co-PatcheR,-0.16034265
20250603_Refact_Agent_claude-4-sonnet,1.0668635
20250611_moatless_claude-4-sonnet-20250514,0.8856903
20250612_trae,1.1093075
20250616_Skywork-SWE-32B,-0.48954824
20250616_Skywork-SWE-32B+TTS_Bo8,-0.120144315
20250627_agentless_MCTS-Refine-7B,-1.1970524
20250710_bloop,0.90511745
20250716_openhands_kimi_k2,0.63666856
20250728_zai_glm4-5,0.5840553
20250804_codesweep_sweagent_kimi_k2_instruct,0.1362102
20250804_epam-ai-run-claude-4-sonnet,1.1970524
