agent_id,theta
20240402_sweagent_claude3opus,-1.7566625
20240402_sweagent_gpt4,-1.3054849
20240612_MASAI_gpt4o,-0.7659386
20240620_sweagent_claude3.5sonnet,-0.71564204
20240721_amazon-q-developer-agent-20240719-dev,-0.48200253
20240728_sweagent_gpt4o,-1.2408063
20240820_epam-ai-run-gpt-4o,-1.2172047
20240820_honeycomb,-0.3927813
20240918_lingma-agent_lingma-swe-gpt-72b,-1.1598561
20240918_lingma-agent_lingma-swe-gpt-7b,-2.2638247
20241002_lingma-agent_lingma-swe-gpt-72b,-0.95205766
20241002_lingma-agent_lingma-swe-gpt-7b,-1.5694501
20241007_nfactorial,-0.81208605
20241016_composio_swekit,-0.3884959
20241016_epam-ai-run-gpt-4o,-1.041506
20241025_composio_swekit,-0.047968168
20241028_agentless-1.5_gpt4o,-0.48176104
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.14303738
20241029_epam-ai-run-claude-3-5-sonnet,-0.4414272
20241030_nfactorial,-0.35359514
20241105_nfactorial,-0.016643014
20241106_navie-2-gpt4o-sonnet,-0.10952816
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.15004894
20241108_devlo,0.19744249
20241113_nebius-search-open-weight-models-11-24,-0.39892095
20241125_enginelabs,0.09446632
20241125_marscode-agent-dev,0.013381443
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.83559555
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.043437764
20241212_epam-ai-run-claude-3-5-sonnet,0.23827876
20241213_devlo,0.37112343
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.58896416
20250110_blackboxai_agent_v1.1,0.52227354
20250110_learn_by_interact_claude3.5,0.4544289
20250117_wandb_programmer_o1_crosscheck5,0.6589185
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.23203073
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.08745012
20250203_openhands_4x_scaled,0.4957968
20250226_swerl_llama3_70b,-0.37347546
20250228_epam-ai-run-claude-3-5-sonnet,0.58098924
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.71536463
20250410_cortexa,0.37724325
20250415_openhands,0.7236558
20250503_patchpilot-v1.1-o4-mini,0.67289364
20250511_sweagent_lm_32b,-0.411882
20250515_Refact_Agent,0.9527968
20250516_cortexa_o3,0.83723694
20250519_devlo,0.93891877
20250519_trae,0.9606786
20250520_openhands_devstral_small,-0.13099287
20250522_sweagent_claude-4-sonnet-20250514,0.75248086
20250524_openhands_claude_4_sonnet,0.9404838
20250527_amazon.nova-premier-v1.0,-0.32748032
20250528_patchpilot_Co-PatcheR,-0.16833916
20250603_Refact_Agent_claude-4-sonnet,1.1607395
20250611_moatless_claude-4-sonnet-20250514,0.96471274
20250612_trae,1.2031991
20250616_Skywork-SWE-32B,-0.5068677
20250616_Skywork-SWE-32B+TTS_Bo8,-0.109875135
20250627_agentless_MCTS-Refine-7B,-1.2413297
20250710_bloop,0.9836005
20250716_openhands_kimi_k2,0.69496197
20250728_zai_glm4-5,0.6383983
20250804_codesweep_sweagent_kimi_k2_instruct,0.15698667
20250804_epam-ai-run-claude-4-sonnet,1.2952905
