agent_id,theta
20240402_sweagent_claude3opus,-1.756681
20240402_sweagent_gpt4,-1.30512
20240612_MASAI_gpt4o,-0.7660024
20240620_sweagent_claude3.5sonnet,-0.7152722
20240721_amazon-q-developer-agent-20240719-dev,-0.48211432
20240728_sweagent_gpt4o,-1.240718
20240820_epam-ai-run-gpt-4o,-1.2170959
20240820_honeycomb,-0.39268127
20240918_lingma-agent_lingma-swe-gpt-72b,-1.1597753
20240918_lingma-agent_lingma-swe-gpt-7b,-2.2636323
20241002_lingma-agent_lingma-swe-gpt-72b,-0.95186114
20241002_lingma-agent_lingma-swe-gpt-7b,-1.5688852
20241007_nfactorial,-0.81189156
20241016_composio_swekit,-0.38825944
20241016_epam-ai-run-gpt-4o,-1.0412463
20241025_composio_swekit,-0.047629144
20241028_agentless-1.5_gpt4o,-0.48212385
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.14320882
20241029_epam-ai-run-claude-3-5-sonnet,-0.4412568
20241030_nfactorial,-0.3534349
20241105_nfactorial,-0.016911553
20241106_navie-2-gpt4o-sonnet,-0.10849477
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.15015803
20241108_devlo,0.1978039
20241113_nebius-search-open-weight-models-11-24,-0.3991292
20241125_enginelabs,0.09447234
20241125_marscode-agent-dev,0.013369344
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.8356007
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.043209612
20241212_epam-ai-run-claude-3-5-sonnet,0.23786621
20241213_devlo,0.37115633
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.5886672
20250110_blackboxai_agent_v1.1,0.52227646
20250110_learn_by_interact_claude3.5,0.45449936
20250117_wandb_programmer_o1_crosscheck5,0.65855426
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.23209627
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.08719434
20250203_openhands_4x_scaled,0.4961052
20250226_swerl_llama3_70b,-0.37401512
20250228_epam-ai-run-claude-3-5-sonnet,0.5808347
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.71536845
20250410_cortexa,0.37694693
20250415_openhands,0.72350514
20250503_patchpilot-v1.1-o4-mini,0.6727428
20250511_sweagent_lm_32b,-0.4110522
20250515_Refact_Agent,0.9526991
20250516_cortexa_o3,0.8364765
20250519_devlo,0.93878657
20250519_trae,0.959691
20250520_openhands_devstral_small,-0.13111527
20250522_sweagent_claude-4-sonnet-20250514,0.75189334
20250524_openhands_claude_4_sonnet,0.94086033
20250527_amazon.nova-premier-v1.0,-0.3274837
20250528_patchpilot_Co-PatcheR,-0.1681816
20250603_Refact_Agent_claude-4-sonnet,1.1606832
20250611_moatless_claude-4-sonnet-20250514,0.9650552
20250612_trae,1.2029251
20250616_Skywork-SWE-32B,-0.5069988
20250616_Skywork-SWE-32B+TTS_Bo8,-0.11001552
20250627_agentless_MCTS-Refine-7B,-1.2409797
20250710_bloop,0.98357195
20250716_openhands_kimi_k2,0.69513255
20250728_zai_glm4-5,0.6382453
20250804_codesweep_sweagent_kimi_k2_instruct,0.15683496
20250804_epam-ai-run-claude-4-sonnet,1.295405
