agent_id,theta
20240402_sweagent_claude3opus,-1.6924429
20240402_sweagent_gpt4,-1.2540659
20240612_MASAI_gpt4o,-0.69482595
20240620_sweagent_claude3.5sonnet,-0.6621696
20240721_amazon-q-developer-agent-20240719-dev,-0.45430496
20240728_sweagent_gpt4o,-1.1781102
20240820_epam-ai-run-gpt-4o,-1.177502
20240820_honeycomb,-0.40983284
20240918_lingma-agent_lingma-swe-gpt-72b,-1.1219785
20240918_lingma-agent_lingma-swe-gpt-7b,-2.1720824
20241002_lingma-agent_lingma-swe-gpt-72b,-0.9167899
20241002_lingma-agent_lingma-swe-gpt-7b,-1.5341995
20241007_nfactorial,-0.7443076
20241016_composio_swekit,-0.39912322
20241016_epam-ai-run-gpt-4o,-1.0099822
20241025_composio_swekit,-0.108942464
20241028_agentless-1.5_gpt4o,-0.45474735
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.06586975
20241029_epam-ai-run-claude-3-5-sonnet,-0.44585726
20241030_nfactorial,-0.34765917
20241105_nfactorial,-0.012485997
20241106_navie-2-gpt4o-sonnet,-0.08163143
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.15078098
20241108_devlo,0.16154644
20241113_nebius-search-open-weight-models-11-24,-0.37618396
20241125_enginelabs,0.0030531322
20241125_marscode-agent-dev,-0.046742946
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.051935907
20241212_epam-ai-run-claude-3-5-sonnet,0.18737084
20241213_devlo,0.34177437
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.5308382
20250110_blackboxai_agent_v1.1,0.5472078
20250110_learn_by_interact_claude3.5,0.45656484
20250117_wandb_programmer_o1_crosscheck5,0.65444934
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.26485896
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.040558062
20250203_openhands_4x_scaled,0.44618028
20250226_swerl_llama3_70b,-0.3157945
20250228_epam-ai-run-claude-3-5-sonnet,0.571819
20250410_cortexa,0.32962054
20250415_openhands,0.6471201
20250503_patchpilot-v1.1-o4-mini,0.6440531
20250511_sweagent_lm_32b,-0.42668563
20250515_Refact_Agent,0.8402835
20250516_cortexa_o3,0.78519857
20250519_devlo,0.90666616
20250519_trae,0.81604415
20250520_openhands_devstral_small,-0.16578972
20250522_sweagent_claude-4-sonnet-20250514,0.692331
20250524_openhands_claude_4_sonnet,0.8488438
20250527_amazon.nova-premier-v1.0,-0.3559828
20250528_patchpilot_Co-PatcheR,-0.18046331
20250603_Refact_Agent_claude-4-sonnet,1.0262066
20250611_moatless_claude-4-sonnet-20250514,0.9529869
20250612_trae,1.0925673
20250616_Skywork-SWE-32B,-0.55258983
20250616_Skywork-SWE-32B+TTS_Bo8,-0.18194559
20250627_agentless_MCTS-Refine-7B,-1.224234
20250710_bloop,0.91471606
20250716_openhands_kimi_k2,0.6042696
20250728_zai_glm4-5,0.5697162
20250804_codesweep_sweagent_kimi_k2_instruct,0.072725825
20250804_epam-ai-run-claude-4-sonnet,1.2138925
