,theta,theta_std
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",3.2188310623168945,0.3858155
ante_gemini-3-pro-preview_at_google,3.1782658100128174,0.37179968
codex_gpt-5_2_at_openai,3.17352032661438,0.32679966
factory_droid_gpt-5_2_at_openai,2.913628578186035,0.37739125
junie_gemini-3-flash-preview_at_gemini,2.673868179321289,0.37423965
factory_droid_claude-opus-4-5-20251101_at_anthropic,2.5374655723571777,0.43892267
ii-agent-simple_gemini-3-pro-preview_at_gemini,2.4858219623565674,0.3699301
letta-code_gemini-3-pro-preview_at_google,2.419863700866699,0.45322046
codex_gpt-5_1-codex-max_at_openai,2.412182569503784,0.35467565
terminus-2_gpt-5_2_at_openai,2.3998701572418213,0.35439345
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",2.366985321044922,0.2938753
codex_gpt-5_1-codex_at_openai,2.2394320964813232,0.26819438
terminus-2_claude-opus-4-5-20251101_at_anthropic,2.0878803730010986,0.29583627
factory_droid_gemini-3-pro-preview_at_google,2.078519105911255,0.36660713
openhands_claude-opus-4-5-20251101_at_anthropic,1.9696273803710938,0.4244524
letta-code_claude-opus-4-5_at_anthropic,1.9601719379425049,0.32357168
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",1.9146074056625366,0.35533765
goose_claude-opus-4-5_at_anthropic,1.834008812904358,0.34354904
letta-code_gpt-5_1-codex_at_openai,1.741626262664795,0.33641988
gemini-cli_gemini-3-flash-preview_at_google,1.5593565702438354,0.2967776
terminus-2_gemini-3-pro-preview_at_gemini,1.46963632106781,0.2627128
claude-code_claude-opus-4-5-20251101_at_anthropic,1.4098892211914062,0.4428348
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",1.0440006256103516,0.28648823
terminus-2_gpt-5_1_at_openai,1.0310999155044556,0.31076914
openhands_gpt-5_at_openai,1.0291589498519897,0.31502593
codex_gpt-5_1-codex-mini_at_openai,1.015940546989441,0.29955888
terminus-2_gpt-5-codex_at_openai,0.8645837306976318,0.31835705
terminus-2_gpt-5_1-codex_at_openai,0.8501595854759216,0.2082232
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.8092424869537354,0.2924344
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.7894700765609741,0.35984755
codex_gpt-5-codex_at_openai,0.6945112943649292,0.3287291
mini-swe-agent_gpt-5-codex_at_openai,0.6407357454299927,0.38889897
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.5648852586746216,0.25042406
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.5470575094223022,0.33767754
terminus-2_gemini-2_5-pro_at_gemini,0.5024413466453552,0.40370995
terminus-2_gpt-5_at_openai,0.4857403635978699,0.3497637
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.41394975781440735,0.32241613
goose_claude-sonnet-4-5_at_anthropic,0.26788216829299927,0.2967769
openhands_claude-opus-4-1-20250805_at_anthropic,0.2201724350452423,0.2812088
mini-swe-agent_gpt-5_at_openai,0.2165396362543106,0.32606718
goose_claude-haiku-4-5_at_anthropic,0.21399544179439545,0.34272206
spoox-m_gpt-5-mini_at_openai,0.12051400542259216,0.32328606
claude-code_minimax-m2_1_at_minimax,0.1051468625664711,0.3745488
claude-code_claude-opus-4-1-20250805_at_anthropic,0.07352231442928314,0.27480033
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.04684377834200859,0.3160032
codex_gpt-5-mini_at_openai,-0.02410096675157547,0.27082795
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,-0.17818154394626617,0.4225989
openhands_grok-4-0709_at_xai,-0.22994303703308105,0.30265427
terminus-2_minimax-m2_1_at_openai,-0.23769572377204895,0.3678968
mini-swe-agent_grok-4-0709_at_xai,-0.3585893511772156,0.2246956
openhands_gpt-5-mini_at_openai,-0.3817172646522522,0.2230152
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,-0.45251354575157166,0.24631783
terminus-2_grok-4-0709_at_xai,-0.5024078488349915,0.31620932
terminus-2_claude-haiku-4-5-20251001_at_anthropic,-0.517677366733551,0.378408
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.5520195364952087,0.34042254
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,-0.6603536009788513,0.304741
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,-0.6605204939842224,0.2985337
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.691101610660553,0.3062499
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,-0.727704644203186,0.238128
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.729992151260376,0.338473
mini-swe-agent_grok-code-fast-1_at_xai,-0.7515695095062256,0.33663106
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.7907775044441223,0.23892531
final_claude-4_5-sonnet_at_anthropic,-0.8200669288635254,0.27456176
gemini-cli_gemini-2_5-pro_at_gemini,-0.8778321743011475,0.27222827
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,-0.8810843229293823,0.23822531
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,-0.8819191455841064,0.30563328
mini-swe-agent_gpt-5-mini_at_openai,-1.092155933380127,0.30640814
terminus-2_gpt-5-mini_at_openai,-1.172638177871704,0.40174857
terminus-2_openai/gpt-oss-120b_at_together_ai,-1.1758321523666382,0.32975876
openhands_claude-haiku-4-5-20251001_at_anthropic,-1.2428678274154663,0.33008277
openhands_gemini-2_5-pro_at_gemini,-1.2987724542617798,0.42239046
mini-swe-agent_gemini-2_5-flash_at_gemini,-1.311773657798767,0.25424725
openhands_gemini-2_5-flash_at_gemini,-1.5385029315948486,0.3038884
terminus-2_gemini-2_5-flash_at_gemini,-1.608450174331665,0.29072237
terminus-2_grok-code-fast-1_at_xai,-1.7592793703079224,0.32897568
gemini-cli_gemini-2_5-flash_at_gemini,-1.9832185506820679,0.27792707
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-2.2129428386688232,0.29643425
codex_gpt-5-nano_at_openai,-2.3306353092193604,0.31268913
openhands_gpt-5-nano_at_openai,-2.680966377258301,0.3602082
mini-swe-agent_gpt-5-nano_at_openai,-3.053379774093628,0.35558438
terminus-2_gpt-5-nano_at_openai,-3.180018901824951,0.4351017
terminus-2_openai/gpt-oss-20b_at_together_ai,-3.6165151596069336,0.29892284
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-4.5188493728637695,0.49303982
