,b,b_std
adaptive-rejection-sampler,-0.9308346509933472,0.28295752
bn-fit-modify,-1.1930396556854248,0.3007003
break-filter-js-from-html,0.633270263671875,0.3179078
build-cython-ext,0.15248888731002808,0.2658105
build-pmars,-3.1451568603515625,0.39814103
build-pov-ray,-1.6096501350402832,0.3205468
caffe-cifar-10,2.9891581535339355,0.39984894
cancel-async-tasks,-1.2905608415603638,0.3330518
chess-best-move,2.882664203643799,0.4717157
circuit-fibsqrt,0.9713711142539978,0.26539472
cobol-modernization,-4.431161403656006,0.55935085
code-from-image,-2.6285510063171387,0.4088987
compile-compcert,-0.5599653720855713,0.28846484
configure-git-webserver,-1.8072868585586548,0.23741616
constraints-scheduling,-5.416018009185791,0.597626
count-dataset-tokens,-0.4933808743953705,0.3169179
crack-7z-hash,-1.933494210243225,0.33670706
custom-memory-heap-crash,-2.687472105026245,0.39143866
db-wal-recovery,1.9589300155639648,0.27997077
distribution-search,-2.2207589149475098,0.40006238
dna-assembly,3.0276246070861816,0.44284803
dna-insert,3.07177996635437,0.3412189
extract-elf,-1.7805198431015015,0.30127114
extract-moves-from-video,4.582005500793457,0.5107856
feal-differential-cryptanalysis,0.26996976137161255,0.30661583
feal-linear-cryptanalysis,0.8325172066688538,0.296313
filter-js-from-html,5.61827278137207,0.7774768
financial-document-processor,1.0484822988510132,0.24035653
fix-code-vulnerability,-1.7474199533462524,0.34864953
fix-git,-4.806164741516113,0.34704396
fix-ocaml-gc,-1.6166571378707886,0.25419864
gcode-to-text,3.352674722671509,0.46281293
git-leak-recovery,-4.0206828117370605,0.5348209
git-multibranch,-3.0328752994537354,0.41752797
gpt2-codegolf,5.831298351287842,0.67499614
hf-model-inference,-2.804128646850586,0.3892447
install-windows-3.11,3.9785449504852295,0.5446269
kv-store-grpc,-0.6000943779945374,0.2589356
large-scale-text-editing,-1.5347381830215454,0.3218224
largest-eigenval,-0.4048137068748474,0.26871824
llm-inference-batching-scheduler,0.5173925757408142,0.28644007
log-summary-date-ranges,-1.8378506898880005,0.3120433
mailman,-1.0200541019439697,0.26565272
make-doom-for-mips,6.592010021209717,1.0909411
make-mips-interpreter,3.243018627166748,0.3633713
mcmc-sampling-stan,-1.4648568630218506,0.36247048
merge-diff-arc-agi-task,-2.4992713928222656,0.30598348
model-extraction-relu-logits,0.9684612154960632,0.24274181
modernize-scientific-stack,-4.674825668334961,0.6829732
mteb-leaderboard,2.50195050239563,0.264627
mteb-retrieve,2.680643081665039,0.37576047
multi-source-data-merger,-4.844344139099121,0.5862538
nginx-request-logging,-4.315711975097656,0.59647286
openssl-selfsigned-cert,-2.478879451751709,0.3004712
overfull-hbox,0.006114434450864792,0.23626697
password-recovery,-0.19991397857666016,0.27153313
path-tracing,1.9804385900497437,0.28768957
path-tracing-reverse,2.309640884399414,0.31625742
polyglot-c-py,2.250002145767212,0.3041538
polyglot-rust-c,2.5946953296661377,0.37985575
portfolio-optimization,-3.6804921627044678,0.5734746
protein-assembly,1.5105465650558472,0.30066052
prove-plus-comm,-4.8018598556518555,0.7282743
pypi-server,-2.658245325088501,0.36600167
pytorch-model-cli,-0.90318763256073,0.23313273
pytorch-model-recovery,-0.8344835638999939,0.2914871
qemu-alpine-ssh,0.23884612321853638,0.19117035
qemu-startup,-2.621370315551758,0.3606148
query-optimize,-0.6937124133110046,0.32004106
raman-fitting,5.555356502532959,0.72154725
regex-chess,3.619035243988037,0.46416682
regex-log,-2.644763231277466,0.38017938
reshard-c4-data,-0.21223177015781403,0.25736508
rstan-to-pystan,-0.32380881905555725,0.32240713
sam-cell-seg,4.274989604949951,0.47720027
sanitize-git-repo,0.11893555521965027,0.2902238
schemelike-metacircular-eval,0.30745863914489746,0.28365
sparql-university,-0.1324663758277893,0.21669756
sqlite-db-truncate,0.12509632110595703,0.23853423
sqlite-with-gcov,-2.2738053798675537,0.2812559
torch-pipeline-parallelism,3.497302770614624,0.42958525
torch-tensor-parallelism,2.8602793216705322,0.44704506
train-fasttext,3.5879387855529785,0.46662697
tune-mjcf,-1.3645886182785034,0.38554525
video-processing,3.385392189025879,0.4078852
vulnerable-secret,-2.5965185165405273,0.35955948
winning-avg-corewars,0.20782198011875153,0.26459414
write-compressor,1.8026771545410156,0.2914072
