total_actions,total_edits,search_ratio,navigate_ratio,edit_ratio,execute_ratio,test_ratio,create_ratio,error_rate,exploration_ratio,exploitation_ratio,avg_edit_size,max_edit_size,edit_concentration,starts_with_search,starts_with_navigate,test_after_edit,task_id,resolved
15,1,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.2,0.0,0.33333333333333337,0.2,0.13333333333333333,1.0,1,1.0,0,0,0,pylint-dev__pylint-7080,False
66,26,0.16666666666666666,0.21212121212121213,0.3939393939393939,0.18181818181818182,0.0,0.0,0.7727272727272727,0.3787878787878788,0.3939393939393939,22.192307692307693,47,0.3076923076923077,1,0,10,django__django-11734,False
36,9,0.027777777777777776,0.08333333333333333,0.25,0.4722222222222222,0.027777777777777776,0.1111111111111111,0.5,0.1111111111111111,0.3611111111111111,6.333333333333333,29,0.4444444444444444,0,0,9,astropy__astropy-14508,True
8,2,0.0,0.25,0.25,0.25,0.0,0.125,0.875,0.25,0.375,31.5,62,1.0,0,0,2,scikit-learn__scikit-learn-26323,False
57,22,0.12280701754385964,0.22807017543859648,0.38596491228070173,0.19298245614035087,0.0,0.05263157894736842,0.8421052631578947,0.3508771929824561,0.43859649122807015,41.18181818181818,75,0.3181818181818182,0,0,10,django__django-14034,False
19,2,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.0,0.0,0.368421052631579,0.631578947368421,0.10526315789473684,10.5,14,0.5,1,0,2,django__django-13741,True
29,12,0.06896551724137931,0.0,0.41379310344827586,0.3793103448275862,0.0,0.034482758620689655,0.8275862068965517,0.06896551724137931,0.4482758620689655,43.833333333333336,100,0.3333333333333333,0,0,11,django__django-13417,False
46,4,0.021739130434782608,0.0,0.15217391304347827,0.21739130434782608,0.43478260869565216,0.08695652173913043,0.17391304347826086,0.021739130434782608,0.2391304347826087,1.0,1,0.25,0,0,5,django__django-12125,False
16,4,0.0,0.3125,0.25,0.1875,0.0,0.0625,0.75,0.3125,0.3125,20.5,31,0.5,0,0,3,scikit-learn__scikit-learn-25973,False
13,4,0.0,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.0,0.07692307692307693,0.8461538461538461,0.3076923076923077,0.38461538461538464,10.25,20,0.5,0,0,2,django__django-11532,False
35,16,0.14285714285714285,0.14285714285714285,0.45714285714285713,0.17142857142857143,0.0,0.05714285714285714,0.4571428571428572,0.2857142857142857,0.5142857142857142,11.5625,20,0.375,0,0,6,pytest-dev__pytest-7571,True
26,8,0.23076923076923078,0.15384615384615385,0.34615384615384615,0.15384615384615385,0.0,0.07692307692307693,0.42307692307692313,0.38461538461538464,0.4230769230769231,6.625,19,0.375,0,0,3,sympy__sympy-16766,True
8,3,0.0,0.0,0.375,0.375,0.0,0.125,0.625,0.0,0.5,11.333333333333334,31,0.6666666666666666,0,0,3,matplotlib__matplotlib-25479,False
33,8,0.3333333333333333,0.2727272727272727,0.24242424242424243,0.0,0.0,0.0,0.5454545454545454,0.6060606060606061,0.24242424242424243,3.25,8,0.625,1,0,0,django__django-11292,False
23,3,0.30434782608695654,0.30434782608695654,0.17391304347826086,0.13043478260869565,0.0,0.043478260869565216,0.4782608695652174,0.6086956521739131,0.21739130434782608,17.333333333333332,39,1.0,0,0,2,pydata__xarray-3677,True
21,1,0.2857142857142857,0.23809523809523808,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.0,0.33333333333333337,0.5238095238095238,0.047619047619047616,2.0,2,1.0,1,0,0,django__django-16100,False
12,2,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333337,0.5,0.25,2.0,3,1.0,1,0,1,astropy__astropy-7166,True
51,13,0.23529411764705882,0.23529411764705882,0.2549019607843137,0.17647058823529413,0.0,0.0196078431372549,0.5098039215686274,0.47058823529411764,0.27450980392156865,30.307692307692307,46,0.38461538461538464,0,0,2,astropy__astropy-14995,True
31,10,0.12903225806451613,0.12903225806451613,0.3225806451612903,0.2903225806451613,0.03225806451612903,0.0,0.5806451612903225,0.25806451612903225,0.3225806451612903,14.3,25,0.3,1,0,7,django__django-11400,False
61,25,0.08196721311475409,0.04918032786885246,0.4098360655737705,0.22950819672131148,0.08196721311475409,0.13114754098360656,0.6557377049180328,0.13114754098360656,0.5409836065573771,36.6,95,0.24,0,0,14,django__django-13401,False
29,8,0.27586206896551724,0.13793103448275862,0.27586206896551724,0.20689655172413793,0.0,0.06896551724137931,0.48275862068965514,0.41379310344827586,0.3448275862068966,18.0,50,0.625,1,0,5,django__django-13551,False
51,18,0.1568627450980392,0.2549019607843137,0.35294117647058826,0.19607843137254902,0.0,0.0196078431372549,0.8235294117647058,0.4117647058823529,0.37254901960784315,3.5,7,0.2777777777777778,0,0,9,matplotlib__matplotlib-20859,False
49,8,0.2857142857142857,0.42857142857142855,0.16326530612244897,0.08163265306122448,0.0,0.02040816326530612,0.5306122448979591,0.7142857142857143,0.1836734693877551,49.375,96,0.625,0,0,2,pydata__xarray-4687,True
40,7,0.05,0.0,0.275,0.55,0.025,0.025,0.625,0.05,0.3,12.571428571428571,28,0.42857142857142855,0,0,7,astropy__astropy-14539,False
