,theta,theta_std
20251124_mini-v1.16.0_claude-opus-4-5-20251101,2.8220043182373047,0.17356546
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,2.6818079948425293,0.1865176
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,2.491774797439575,0.16835651
20250929_mini-v1.13.3_sonnet-4-5-20250929,2.2835495471954346,0.13731457
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,2.066777229309082,0.106310606
20250802_mini-v1.0.0_claude-4-opus-20250514,1.9278430938720703,0.12040241
20251124_mini-v1.16.0_gpt-5.1-codex,1.7934989929199219,0.16884486
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,1.7793362140655518,0.15780735
20250807_mini-v1.7.0_gpt-5,1.7557892799377441,0.16611174
20250726_mini-v1.0.0_claude-sonnet-4-20250514,1.6858272552490234,0.14674427
20251210_mini-v1.17.2_kimi-k2-thinking,1.4457449913024902,0.12136456
20251124_mini-v1.17.0_minimax-m2,1.2182894945144653,0.14328234
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,1.1742655038833618,0.14573446
20250807_mini-v1.7.0_gpt-5-mini,1.1316791772842407,0.15681478
20250726_mini-v1.0.0_o3-2025-04-16,1.0494955778121948,0.11611448
20251209_mini-v1.17.2_devstral-small-2512,0.7782446146011353,0.14118679
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,0.749749481678009,0.12258076
20250822_mini-v1.9.1_glm-4.5,0.6440255641937256,0.15588678
20251201_mini-v1.17.1_glm-4.6,0.6411542892456055,0.12739632
20250726_mini-v1.0.0_gemini-2.5-pro,0.6036970019340515,0.08369087
20251209_mini-v1.17.2_devstral-2512,0.5902737975120544,0.14402415
20250726_mini-v1.0.0_o4-mini-2025-04-16,-0.12524256110191345,0.1249503
20250807_mini-v1.7.0_kimi-k2-instruct,-0.18145452439785004,0.12165792
20250807_mini-v1.7.0_gpt-5-nano,-0.9267371296882629,0.106254
20250807_mini-v1.7.0_gpt-oss-120b,-1.613914132118225,0.15477128
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,-2.0991082191467285,0.122775115
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,-3.3930492401123047,0.21312019
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,-3.5304641723632812,0.17624122
20250726_mini-v1.0.0_gemini-2.5-flash,-9.660286903381348,1.6124744
20250720_mini-v0.0.0-gpt-4o-2024-11-20,-9.70138931274414,0.8679203
20250726_mini-v1.0.0_gpt-4.1-2025-04-14,-9.738407135009766,1.7506067
20250720_mini-v0.0.0_gpt-4.1-mini-2025-04-14,-9.881150245666504,1.5988766
20250726_mini-v1.0.0_gemini-2.0-flash,-9.917093276977539,0.9306616
20250720_mini-v0.0.0-Llama-4-Scout-17B-Instruct,-10.01723575592041,1.1417618
