,b,b_std
astropy__astropy-12907,-1.88325035572052,0.62120914
astropy__astropy-13033,5.937057971954346,1.2059492
astropy__astropy-13236,3.052489995956421,0.5047569
astropy__astropy-13398,6.084024429321289,1.4055192
astropy__astropy-13453,-0.7753233909606934,0.6378509
astropy__astropy-13579,-0.6448423862457275,0.38619384
astropy__astropy-13977,6.191595077514648,1.302331
astropy__astropy-14096,-1.1644495725631714,0.6545101
astropy__astropy-14182,3.4537432193756104,0.69992614
astropy__astropy-14309,-3.1684792041778564,0.79117155
astropy__astropy-14365,3.2043793201446533,0.62561935
astropy__astropy-14369,2.878122329711914,0.5138385
astropy__astropy-14508,-0.5432397723197937,0.42696613
astropy__astropy-14539,-1.4265611171722412,0.5257007
astropy__astropy-14598,6.2204694747924805,1.1237136
astropy__astropy-14995,-2.4377777576446533,0.7179999
astropy__astropy-7166,-1.6869752407073975,0.53095675
astropy__astropy-7336,-2.871629476547241,0.89523876
astropy__astropy-7606,6.132611274719238,1.051573
astropy__astropy-7671,-2.267860174179077,0.6770914
astropy__astropy-8707,5.905976295471191,1.1409465
astropy__astropy-8872,6.10647439956665,1.1368726
django__django-10097,1.5934752225875854,0.3965729
django__django-10554,6.324671745300293,1.2448018
django__django-10880,-1.4393372535705566,0.698535
django__django-10914,-1.9223909378051758,0.5652348
django__django-10973,-0.2628929018974304,0.39647195
django__django-10999,5.9795942306518555,1.2878819
django__django-11066,-2.908766746520996,0.73444784
django__django-11087,6.058906555175781,1.3334565
django__django-11095,-1.9108071327209473,0.7512097
django__django-11099,-2.608623504638672,0.6024231
django__django-11119,-2.7222423553466797,0.7480236
django__django-11133,-2.2855734825134277,0.5690847
django__django-11138,4.004113674163818,0.621953
django__django-11141,4.830604076385498,0.5763382
django__django-11149,2.3356895446777344,0.60782826
django__django-11163,-2.8221189975738525,0.72696793
django__django-11179,-1.0627312660217285,0.6665551
django__django-11206,0.9696992039680481,0.3897786
django__django-11211,0.14783914387226105,0.446535
django__django-11239,-0.8734476566314697,0.48374608
django__django-11265,4.939953327178955,0.9411757
django__django-11276,-0.6987614631652832,0.6753223
django__django-11292,-1.2549638748168945,0.5510725
django__django-11299,-1.4980580806732178,0.50095224
django__django-11333,0.9537476897239685,0.5115919
django__django-11400,6.26415491104126,1.1805875
django__django-11433,1.816742181777954,0.5017682
django__django-11451,-0.6461794972419739,0.4542747
django__django-11477,3.6302638053894043,0.67689985
django__django-11490,0.9429234266281128,0.4891738
django__django-11532,2.012141466140747,0.42599463
django__django-11551,-2.202549934387207,0.7697372
django__django-11555,0.3725982904434204,0.4249803
django__django-11603,-1.2606288194656372,0.5907514
django__django-11728,2.671701431274414,0.5773606
django__django-11734,4.514558792114258,0.7375377
django__django-11740,0.33428165316581726,0.47141582
django__django-11749,-1.5162433385849,0.5686096
django__django-11790,3.0440673828125,0.44615805
django__django-11815,-0.31532856822013855,0.47454545
django__django-11820,6.476446628570557,1.4442191
django__django-11848,1.4212180376052856,0.49196112
django__django-11880,-1.7013450860977173,0.71260554
django__django-11885,2.9472198486328125,0.57874966
django__django-11951,-1.1144280433654785,0.58746547
django__django-11964,2.7434353828430176,0.48591366
django__django-11999,-3.0135483741760254,0.7445301
django__django-12039,0.3684227764606476,0.5981544
django__django-12050,-1.8589941263198853,0.6951785
django__django-12125,0.8782380223274231,0.4363425
django__django-12143,-1.3391820192337036,0.61544615
django__django-12155,-2.3901207447052,0.7524724
django__django-12193,2.556513547897339,0.5531431
django__django-12209,-2.1602911949157715,0.71679366
django__django-12262,-0.9287890791893005,0.54332745
django__django-12273,4.9233856201171875,0.9201456
django__django-12276,-0.4541488587856293,0.62816596
django__django-12304,0.13776133954524994,0.5899774
django__django-12308,3.0893208980560303,0.7689586
django__django-12325,3.349714517593384,0.59424114
django__django-12406,4.810067653656006,0.72936165
django__django-12419,-3.6770474910736084,0.8048177
django__django-12663,1.7315185070037842,0.3717242
django__django-12708,-0.40745654702186584,0.6071682
django__django-12713,-1.6091331243515015,0.4603612
django__django-12741,-1.1575955152511597,0.5561823
django__django-12754,1.1479995250701904,0.480737
django__django-12774,0.5769464373588562,0.32207474
django__django-12858,-0.4840395152568817,0.50168556
django__django-12965,1.1886299848556519,0.36273068
django__django-13012,-1.4178729057312012,0.8760827
django__django-13023,0.6965543627738953,0.441468
django__django-13028,-3.1008388996124268,0.76914346
django__django-13033,-0.2661440670490265,0.44204873
django__django-13089,-1.6525914669036865,0.6458343
django__django-13109,0.2579875886440277,0.46255815
django__django-13112,1.7294247150421143,0.42805246
django__django-13121,-0.19715580344200134,0.44682038
django__django-13128,-0.03315979242324829,0.50504327
django__django-13158,0.9240298271179199,0.40329754
django__django-13195,4.591272354125977,0.84241635
django__django-13212,6.559704780578613,1.310988
django__django-13279,-1.4030578136444092,0.57044
django__django-13297,0.7248274683952332,0.5348729
django__django-13315,-0.0036253200378268957,0.59237343
django__django-13343,-1.253340244293213,0.59923685
django__django-13344,4.562051296234131,0.76993984
django__django-13346,0.6117364764213562,0.40964136
django__django-13363,-1.8009836673736572,0.62771106
django__django-13401,0.577980101108551,0.5356787
django__django-13406,1.1887977123260498,0.45353615
django__django-13410,-2.1308553218841553,0.46772772
django__django-13417,-1.2594122886657715,0.5706937
django__django-13449,-0.24070999026298523,0.49936798
django__django-13512,1.7739211320877075,0.4920117
django__django-13513,6.162357330322266,1.3068963
django__django-13516,-1.161911129951477,0.49680698
django__django-13551,0.7722203135490417,0.4803456
django__django-13568,1.7439522743225098,0.38187462
django__django-13569,-0.13385224342346191,0.5624072
django__django-13590,-1.0741443634033203,0.7081608
django__django-13658,-3.83335280418396,0.825063
django__django-13670,-3.9627912044525146,0.90004075
django__django-13741,-0.7689681053161621,0.61609465
django__django-13786,-0.19498059153556824,0.4874136
django__django-13794,6.2144246101379395,1.3085688
django__django-13807,1.3863952159881592,0.38500333
django__django-13809,-0.27625781297683716,0.42092597
django__django-13810,0.10441788285970688,0.46453524
django__django-13820,-2.9544270038604736,0.6198428
django__django-13821,-0.9669288396835327,0.55654067
django__django-13837,-1.0593693256378174,0.45112592
django__django-13925,0.5700461268424988,0.37930986
django__django-13933,-1.1966408491134644,0.66402996
django__django-13964,1.2306665182113647,0.4593056
django__django-14007,-0.3815937042236328,0.47632438
django__django-14011,6.178133964538574,1.586467
django__django-14017,-0.6189496517181396,0.55700505
django__django-14034,6.22634220123291,1.4085965
django__django-14053,0.382720410823822,0.4982174
django__django-14089,-1.0314786434173584,0.55238456
django__django-14122,0.19518360495567322,0.3797974
django__django-14140,1.9156299829483032,0.41897193
django__django-14155,5.94913387298584,0.88757557
django__django-14170,6.156351566314697,1.3670249
django__django-14238,-2.2364697456359863,0.74890196
django__django-14311,0.3484322428703308,0.42499983
django__django-14315,6.214285373687744,1.1866035
django__django-14349,-0.2882850170135498,0.4858466
django__django-14351,1.119084358215332,0.5338515
django__django-14373,-3.8855624198913574,0.9823106
django__django-14376,2.1116738319396973,0.5443744
django__django-14404,2.586663007736206,0.40098742
django__django-14434,-0.9561341404914856,0.42662463
django__django-14493,-0.584344744682312,0.4736069
django__django-14500,-1.1862915754318237,0.6077676
django__django-14534,2.984752655029297,0.49789917
django__django-14539,-0.8476277589797974,0.78107715
django__django-14559,-0.2615848779678345,0.47723094
django__django-14580,-1.5389083623886108,0.55357826
django__django-14608,-2.0487289428710938,0.85069954
django__django-14631,1.065424919128418,0.48545125
django__django-14672,-1.2821075916290283,0.6694299
django__django-14725,3.33591890335083,0.54614913
django__django-14752,-1.8205827474594116,0.6277292
django__django-14765,-2.4939076900482178,0.7898009
django__django-14771,1.245636224746704,0.41569963
django__django-14787,-0.5465821623802185,0.45372334
django__django-14792,6.506103038787842,1.5104218
django__django-14855,-1.8095362186431885,0.67981464
django__django-14915,-2.4044039249420166,0.9112874
django__django-14999,-0.14292776584625244,0.38552326
django__django-15022,1.3187006711959839,0.46219993
django__django-15037,0.38011449575424194,0.4455202
django__django-15098,5.929500102996826,1.3153603
django__django-15103,-1.8170607089996338,0.63744164
django__django-15104,-1.71544349193573,0.566559
django__django-15127,3.4837145805358887,0.49303102
django__django-15128,1.419046401977539,0.4076151
django__django-15161,-0.24359601736068726,0.4539074
django__django-15252,5.801217555999756,1.3552862
django__django-15268,0.09590698778629303,0.4762103
django__django-15277,-2.1166322231292725,0.8258179
django__django-15278,-0.7233390212059021,0.54857856
django__django-15280,2.540066719055176,0.5855016
django__django-15315,-0.9115280508995056,0.6289432
django__django-15368,-5.01355504989624,1.1497726
django__django-15375,-0.12137734889984131,0.60998553
django__django-15380,-0.8654422163963318,0.61879987
django__django-15382,-0.4860013723373413,0.5733884
django__django-15467,-2.159522533416748,0.68985415
django__django-15499,-0.7144825458526611,0.5859748
django__django-15503,3.0270323753356934,0.58416903
django__django-15525,-0.47165125608444214,0.48547348
django__django-15554,2.4694571495056152,0.55821866
django__django-15561,-0.13486848771572113,0.60121465
django__django-15563,3.366401195526123,0.55058295
django__django-15569,-2.9012300968170166,0.72996783
django__django-15572,-1.5456825494766235,0.7020165
django__django-15629,6.269740104675293,1.0578575
django__django-15695,6.100560665130615,1.1610533
django__django-15731,-1.7987525463104248,0.557929
django__django-15732,3.8288025856018066,0.6708066
django__django-15741,-1.4719483852386475,0.6649749
django__django-15814,-1.1497704982757568,0.5139929
django__django-15851,-2.4950778484344482,0.73685765
django__django-15863,-1.296858549118042,0.602832
django__django-15916,2.1142048835754395,0.5988996
django__django-15930,-0.8919559717178345,0.5174454
django__django-15957,4.535889625549316,0.9255695
django__django-15973,3.4654955863952637,0.48147675
django__django-15987,-1.4590373039245605,0.5385823
django__django-16032,0.3706616163253784,0.3886276
django__django-16082,-0.8788366913795471,0.4551274
django__django-16100,0.4840106666088104,0.35368836
django__django-16116,-1.8822675943374634,0.7086292
django__django-16136,-0.5361683964729309,0.4849712
django__django-16139,-1.4929896593093872,0.58415663
django__django-16145,-0.9711290001869202,0.5743553
django__django-16255,-2.8436193466186523,0.8174781
django__django-16256,6.322479724884033,1.1772442
django__django-16263,6.386928081512451,0.9900091
django__django-16315,0.7317155599594116,0.4419159
django__django-16333,-1.0973199605941772,0.695302
django__django-16429,-2.0352048873901367,0.66287434
django__django-16454,1.1374322175979614,0.35489422
django__django-16485,-2.298905849456787,0.56259227
django__django-16493,-1.427039384841919,0.6843685
django__django-16502,6.139045238494873,1.4180801
django__django-16527,-2.8960952758789062,0.6835948
django__django-16560,2.2101223468780518,0.42912668
django__django-16569,-2.9750254154205322,0.847167
django__django-16595,-0.7103251814842224,0.555785
django__django-16612,-1.2380850315093994,0.6948105
django__django-16631,5.9320969581604,1.3077608
django__django-16642,1.237757682800293,0.49078888
django__django-16661,0.07783918082714081,0.41107026
django__django-16662,-1.9475377798080444,0.7509614
django__django-16667,6.197568416595459,1.218586
django__django-16801,-1.7974070310592651,0.6772993
django__django-16819,-1.288987398147583,0.6010779
django__django-16877,1.1260976791381836,0.44043583
django__django-16899,-0.7005339860916138,0.400499
django__django-16901,-0.7856062054634094,0.5891347
django__django-16938,1.8335548639297485,0.46172762
django__django-16950,3.2750017642974854,0.66959184
django__django-17029,-3.768524169921875,1.0527692
django__django-17084,1.0100544691085815,0.41664818
django__django-17087,-1.0819592475891113,0.74105406
django__django-7530,-3.6181533336639404,0.8536136
django__django-9296,-1.858712911605835,0.745371
matplotlib__matplotlib-13989,-3.124443292617798,0.8607083
matplotlib__matplotlib-14623,-0.6718138456344604,0.5187095
matplotlib__matplotlib-20488,-0.10815294831991196,0.57114565
matplotlib__matplotlib-20676,2.8113443851470947,0.4354392
matplotlib__matplotlib-20826,1.6099687814712524,0.51039827
matplotlib__matplotlib-20859,-1.8962020874023438,0.9124481
matplotlib__matplotlib-21568,4.731505393981934,0.9304061
matplotlib__matplotlib-22719,-2.3269262313842773,0.6610681
matplotlib__matplotlib-22865,0.5448631644248962,0.5459712
matplotlib__matplotlib-22871,1.288359522819519,0.4535325
matplotlib__matplotlib-23299,4.5934343338012695,1.0011169
matplotlib__matplotlib-23314,-0.7211039066314697,0.60795593
matplotlib__matplotlib-23412,-1.7122972011566162,0.5688924
matplotlib__matplotlib-23476,5.929209232330322,1.239518
matplotlib__matplotlib-24026,-3.0127220153808594,0.8023746
matplotlib__matplotlib-24149,-2.2267279624938965,0.62040716
matplotlib__matplotlib-24177,2.845930814743042,0.5209144
matplotlib__matplotlib-24570,-0.40390485525131226,0.358983
matplotlib__matplotlib-24627,-0.11110952496528625,0.4327657
matplotlib__matplotlib-24637,-1.2387586832046509,0.4286474
matplotlib__matplotlib-24870,6.216855049133301,1.5389798
matplotlib__matplotlib-24970,-0.7891983389854431,0.4161883
matplotlib__matplotlib-25122,-1.755666971206665,0.79479456
matplotlib__matplotlib-25287,-2.6681714057922363,0.76128507
matplotlib__matplotlib-25311,0.3802851438522339,0.41505316
matplotlib__matplotlib-25332,0.487936407327652,0.38612506
matplotlib__matplotlib-25479,6.142123699188232,1.1188341
matplotlib__matplotlib-25775,0.9753667116165161,0.51149255
matplotlib__matplotlib-25960,4.086523056030273,0.55103964
