,theta,theta_std
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,1.9969911575317383,0.1675415
20251124_mini-v1.16.0_claude-opus-4-5-20251101,1.932269811630249,0.18600371
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,1.5678887367248535,0.16617307
20250929_mini-v1.13.3_sonnet-4-5-20250929,1.3786520957946777,0.13587698
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,1.3392060995101929,0.1656813
20250802_mini-v1.0.0_claude-4-opus-20250514,1.157602071762085,0.14653838
20251124_mini-v1.16.0_gpt-5.1-codex,1.0518205165863037,0.14343466
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,0.9311851859092712,0.15619397
20250807_mini-v1.7.0_gpt-5,0.7792529463768005,0.13924412
20250726_mini-v1.0.0_claude-sonnet-4-20250514,0.759789228439331,0.17766583
20251210_mini-v1.17.2_kimi-k2-thinking,0.605333149433136,0.13009253
20250807_mini-v1.7.0_gpt-5-mini,0.38251107931137085,0.13270207
20251124_mini-v1.17.0_minimax-m2,0.36993032693862915,0.1423697
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,0.3057921230792999,0.19227692
20250726_mini-v1.0.0_o3-2025-04-16,0.1851108819246292,0.14270543
20251209_mini-v1.17.2_devstral-small-2512,0.0034516816958785057,0.1321202
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,-0.04682031273841858,0.15694413
20251209_mini-v1.17.2_devstral-2512,-0.1050710678100586,0.14657892
20251201_mini-v1.17.1_glm-4.6,-0.1485736221075058,0.140893
20250822_mini-v1.9.1_glm-4.5,-0.21814662218093872,0.1481549
20250726_mini-v1.0.0_gemini-2.5-pro,-0.23031234741210938,0.09465642
20250726_mini-v1.0.0_o4-mini-2025-04-16,-0.9198675751686096,0.11173715
20250807_mini-v1.7.0_kimi-k2-instruct,-1.0288993120193481,0.11813247
20250807_mini-v1.7.0_gpt-5-nano,-1.6809871196746826,0.11527615
20250807_mini-v1.7.0_gpt-oss-120b,-2.414011001586914,0.13187225
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,-4.408596992492676,0.1736179
