,b,b_std
astropy__astropy-12907,-2.541869878768921,0.63465804
astropy__astropy-13033,5.182523727416992,1.0396523
astropy__astropy-13236,2.5979363918304443,0.5045983
astropy__astropy-13398,5.047204494476318,1.4554541
astropy__astropy-13453,-1.4171451330184937,0.4738073
astropy__astropy-13579,-1.736652135848999,0.59454846
astropy__astropy-13977,5.0395684242248535,1.1145562
astropy__astropy-14096,-1.7423099279403687,0.57694966
astropy__astropy-14182,2.7088541984558105,0.52417237
astropy__astropy-14309,-3.9278035163879395,0.7451196
astropy__astropy-14365,2.236013412475586,0.4938272
astropy__astropy-14369,2.08670973777771,0.38035777
astropy__astropy-14508,-1.1603586673736572,0.40359455
astropy__astropy-14539,-2.453611135482788,0.7603521
astropy__astropy-14598,4.749513626098633,1.5470825
astropy__astropy-14995,-4.111027240753174,0.5047926
astropy__astropy-7166,-2.534695863723755,0.85648805
astropy__astropy-7336,-3.941666603088379,0.6900725
astropy__astropy-7606,4.911128044128418,1.0948824
astropy__astropy-7671,-3.021852493286133,0.95328605
astropy__astropy-8707,4.746775150299072,1.1081567
astropy__astropy-8872,4.63995361328125,1.2140584
django__django-10097,0.8021562099456787,0.48265755
django__django-10554,4.974193096160889,1.4339995
django__django-10880,-2.537996292114258,0.5787437
django__django-10914,-2.5782415866851807,0.7047425
django__django-10973,-0.7961812615394592,0.41674706
django__django-10999,4.9998250007629395,1.1494231
django__django-11066,-4.285629749298096,0.9776563
django__django-11087,5.397403240203857,1.1076719
django__django-11095,-3.1184558868408203,0.84314936
django__django-11099,-3.9657669067382812,1.1413491
django__django-11119,-3.115769386291504,1.0121313
django__django-11133,-3.37648868560791,0.88997245
django__django-11138,3.0878100395202637,0.6388588
django__django-11141,4.013945579528809,0.88848466
django__django-11149,1.4510055780410767,0.67333436
django__django-11163,-2.9864468574523926,0.9892205
django__django-11179,-1.912699580192566,0.46596625
django__django-11206,0.09907100349664688,0.48117703
django__django-11211,-0.6332846879959106,0.41916677
django__django-11239,-1.672139048576355,0.47600114
django__django-11265,3.8985259532928467,0.75101495
django__django-11276,-1.7434169054031372,0.55486196
django__django-11292,-2.5267622470855713,0.5970329
django__django-11299,-2.098207712173462,0.5366796
django__django-11333,0.44348347187042236,0.49003974
django__django-11400,5.326057434082031,1.1920941
django__django-11433,0.9256727695465088,0.49589756
django__django-11451,-1.6735559701919556,0.67256886
django__django-11477,2.7469983100891113,0.6849678
django__django-11490,0.18005892634391785,0.5733011
django__django-11532,1.0884032249450684,0.50167847
django__django-11551,-3.159867763519287,1.0142204
django__django-11555,-0.48299816250801086,0.40293124
django__django-11603,-2.17057466506958,0.66021097
django__django-11728,1.81796395778656,0.49235955
django__django-11734,3.769227981567383,0.8248482
django__django-11740,-0.6878429651260376,0.42557245
django__django-11749,-1.5796462297439575,0.7322744
django__django-11790,2.0233583450317383,0.50826854
django__django-11815,-1.3256444931030273,0.5647205
django__django-11820,5.064175128936768,0.8902829
django__django-11848,0.9946197867393494,0.5627045
django__django-11880,-2.4162204265594482,0.7324277
django__django-11885,2.2564697265625,0.594473
django__django-11951,-1.732113242149353,0.5588027
django__django-11964,2.0445733070373535,0.5531073
django__django-11999,-3.100980281829834,0.8360542
django__django-12039,-0.45759427547454834,0.5352783
django__django-12050,-2.758392572402954,1.0224663
django__django-12125,-0.055991675704717636,0.44194233
django__django-12143,-2.2344810962677,0.60810244
django__django-12155,-2.991286277770996,0.6506926
django__django-12193,1.5751408338546753,0.50270593
django__django-12209,-2.5213279724121094,0.66250986
django__django-12262,-1.6279340982437134,0.4720435
django__django-12273,3.8235607147216797,0.88526034
django__django-12276,-1.455432415008545,0.5573033
django__django-12304,-1.0717060565948486,0.4183377
