,theta,theta_std
20250915_JoyCode,4.8982648849487305,0.92913854
20250819_ACoder,4.316862106323242,1.2262834
20241016_composio_swekit,4.249076843261719,1.4533737
20250715_qodo_command,4.1899943351745605,1.2732201
20250710_bloop,4.184695243835449,0.40023267
20250522_tools_claude-4-opus,4.072951316833496,1.0633208
20250405_amazon-q-developer-agent-20250405-dev,4.0184550285339355,0.8664607
20250519_trae,3.9931344985961914,0.9850039
20250902_atlassian-rovo-dev,3.9711804389953613,0.9369633
20250519_devlo,3.9037606716156006,1.3129175
20250731_harness_ai,3.8918559551239014,1.2461761
20250522_tools_claude-4-sonnet,3.8180978298187256,1.1468712
20250528_patchpilot_Co-PatcheR,3.7986338138580322,0.5777055
20250522_sweagent_claude-4-sonnet-20250514,3.7843470573425293,1.2170255
20250610_augment_agent_v1,3.768479824066162,1.2488277
20250224_tools_claude-3-7-sonnet,3.7360360622406006,1.0111941
20250316_augment_agent_v0,3.6972503662109375,0.87859803
20250514_aime_coder,3.6720380783081055,0.9638454
20250410_cortexa,3.6717469692230225,1.0940799
20241212_google_jules_gemini_2.0_flash_experimental,3.6237120628356934,1.1264234
20241208_gru,3.6108431816101074,1.2287033
20250524_openhands_claude_4_sonnet,3.5962038040161133,0.71763724
20251021_SalesforceAIResearch_SAGE_bash_only,3.581254482269287,0.861511
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,3.575472354888916,1.0313827
20241223_emergent,3.548227548599243,1.2452947
20241108_devlo,3.481595516204834,1.1638602
20250612_trae,3.4163777828216553,0.55715483
20250405_swe-rizzo_claude37,3.317972421646118,0.9929807
20250716_openhands_kimi_k2,3.256249189376831,0.921949
20241213_devlo,3.249178886413574,1.2918011
20250807_openhands_gpt5,3.231719970703125,0.6444532
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,3.12485408782959,0.6309716
20250728_zai_glm4-5,3.0950839519500732,0.8027053
20250415_openhands,3.0799520015716553,1.0355849
20250603_Refact_Agent_claude-4-sonnet,3.0670878887176514,0.5868421
20251015_Prometheus_v1.2.1_gpt5,2.9972476959228516,0.62084323
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,2.945146322250366,1.0947363
20250929_Prometheus_v1.2_gpt5,2.9259912967681885,0.7591092
20251014_Lingxi_kimi_k2,2.79176926612854,0.71449494
20250928_trae_doubao_seed_code,2.7434895038604736,0.60355437
20250804_epam-ai-run-claude-4-sonnet,2.7364354133605957,0.58651346
20250616_Skywork-SWE-32B+TTS_Bo8,2.6749887466430664,1.4369371
20241025_composio_swekit,2.58001708984375,1.0988022
20250430_zencoder_ai,2.5568058490753174,0.6747337
20250515_Refact_Agent,2.531630039215088,0.6673409
20251103_SalesforceAIResearch_SAGE_OpenHands,2.416802406311035,0.33430332
20250117_wandb_programmer_o1_crosscheck5,2.3563120365142822,0.69418716
20251120_livesweagent_gemini-3-pro-preview,2.3106579780578613,0.45928043
20250930_zai_glm4-6,2.112926483154297,0.6039258
20241125_marscode-agent-dev,2.0758936405181885,0.65548575
20250203_openhands_4x_scaled,2.029656410217285,0.7019053
20250611_moatless_claude-4-sonnet-20250514,1.9919211864471436,0.35168475
