,a,b,a_std,b_std
django__django-15467,12.452072363772292,-3.410681962966919,0.4677021,0.29836893
pylint-dev__pylint-4970,7.001852387204418,-1.556471824645996,0.36786142,0.43760237
django__django-12708,9.833746663044394,-1.8981895446777344,0.42819583,0.3846361
pytest-dev__pytest-6197,9.802503718722201,-0.6045088768005371,0.43883824,0.39770895
django__django-15128,7.932684604416987,-1.296956181526184,0.40364146,0.29304138
django__django-12155,3.418176225689798,-3.917118787765503,0.19118893,0.5671191
django__django-11490,10.20384525553884,-1.3336786031723022,0.46422037,0.4786889
mwaskom__seaborn-3069,10.267595249773812,-0.8297839164733887,0.49859756,0.3940908
sympy__sympy-11618,12.776821310243456,-2.1200389862060547,0.3029952,0.2865387
sympy__sympy-16450,4.1561351037350915,-2.1649038791656494,0.20237675,0.3566383
sympy__sympy-13878,8.63166338539184,-0.7894043922424316,0.2740859,0.28014708
django__django-15375,5.87272077350604,-0.11287689954042435,0.30642414,0.26589507
pytest-dev__pytest-7324,8.091420788489856,-0.4786017835140228,0.32330334,0.39369464
django__django-13670,5.55161059143025,-3.609326124191284,0.29111043,0.52268076
django__django-12713,7.370194035650647,-2.075423240661621,0.32226762,0.30355236
matplotlib__matplotlib-23476,6.204165631534028,0.058626770973205566,0.42210093,0.48698315
django__django-15569,10.162549782146383,-3.2533793449401855,0.44412288,0.2975016
sympy__sympy-14531,6.179694991528644,-2.146641969680786,0.30017132,0.4336851
django__django-15368,7.134028313338187,-2.6740121841430664,0.29425454,0.45340466
astropy__astropy-13033,4.371893639357198,0.360309898853302,0.32232654,0.56659335
pydata__xarray-3095,11.664025386304239,-1.2152692079544067,0.3618082,0.2903622
sphinx-doc__sphinx-9320,6.859356562185235,-2.281874895095825,0.24968506,0.31649658
django__django-15277,11.606671331798841,-2.871290922164917,0.34724516,0.34087673
sympy__sympy-18763,4.556011926358201,-2.032651901245117,0.24976502,0.41947606
django__django-13343,7.178886723354214,-1.7204450368881226,0.33139974,0.31559795
django__django-15037,6.254879405832698,-1.0956342220306396,0.3487563,0.35474062
sphinx-doc__sphinx-11510,7.109053814552529,2.707179307937622,0.55202395,0.73012155
sympy__sympy-22714,12.013079420368754,-2.282850503921509,0.3994106,0.29635468
django__django-17084,5.63510123048065,-0.3300975263118744,0.30074698,0.35220647
django__django-16662,6.021168184086041,-2.240478992462158,0.29054382,0.32552007
django__django-13512,10.605532603888504,-1.2102351188659668,0.28517562,0.2867177
django__django-13121,11.22740171831034,-1.0717471837997437,0.39170462,0.36036336
django__django-12663,9.272965518592702,-0.8873016238212585,0.40829155,0.31894878
sphinx-doc__sphinx-7889,7.465470652873995,-1.7197593450546265,0.31091052,0.3076385
sphinx-doc__sphinx-10466,10.282781531273274,-2.7710208892822266,0.38827732,0.33473325
django__django-16938,10.996219551154425,-0.6644370555877686,0.43436947,0.39212283
pydata__xarray-3993,11.079328044830246,-0.6396030783653259,0.34385973,0.3405178
django__django-12419,11.976862637391529,-3.0232961177825928,0.3928401,0.408629
django__django-10880,11.819135691759406,-2.1386220455169678,0.36277932,0.324676
sympy__sympy-20154,7.639863932725238,-1.9612115621566772,0.2875159,0.31755605
pydata__xarray-6599,7.231749140784577,-1.6753567457199097,0.3204268,0.31138855
sympy__sympy-12481,7.032699177015698,-1.952483057975769,0.26068628,0.27875262
django__django-16145,10.85007726497121,-2.4151360988616943,0.44274807,0.4525459
sphinx-doc__sphinx-10614,5.906909742505286,0.06803102791309357,0.2721482,0.51941097
psf__requests-6028,7.539043734835292,-0.28956395387649536,0.547455,0.7265164
django__django-15732,6.142633846325241,0.053042586892843246,0.18408883,0.30283964
django__django-13786,11.280100454782346,-3.44931697845459,0.39000818,0.36401385
astropy__astropy-8872,2.3784865366801036,-1.319329857826233,0.2912689,0.62649846
django__django-14122,10.28009247098438,-1.3282078504562378,0.35085008,0.23223613
django__django-12965,14.198482053665101,-0.8178662061691284,0.49649137,0.36015108
django__django-15863,13.151965644471632,-2.010605812072754,0.35697684,0.34906864
astropy__astropy-8707,2.5920869639616733,-1.2070698738098145,0.18675846,0.7714814
sphinx-doc__sphinx-9230,6.416949611071108,0.10297141969203949,0.32385945,0.35210198
sympy__sympy-15017,11.178535925645063,-0.7689902186393738,0.36945403,0.4249986
django__django-11211,6.988904207028572,-1.6427007913589478,0.3108346,0.35510162
sympy__sympy-19954,12.558639803210937,-2.374385356903076,0.36205924,0.36114806
django__django-14580,12.403700812158087,-1.1535383462905884,0.34254938,0.35819748
matplotlib__matplotlib-26342,6.714743938511886,-1.7401400804519653,0.33502114,0.24213448
psf__requests-2931,4.746440560164192,-0.879327118396759,0.21713443,0.36865622
django__django-11532,6.044121900860453,-2.389113664627075,0.38588935,0.32371122
scikit-learn__scikit-learn-25232,2.6211873391912373,-1.4983769655227661,0.18457556,0.46370637
django__django-15957,9.925262597186475,0.44628608226776123,0.4943801,0.6746455
django__django-10999,9.01119749302082,0.62468022108078,0.42580488,0.9725584
django__django-13089,8.942666464760894,-3.6618897914886475,0.5358402,0.42413762
pytest-dev__pytest-7982,3.06288739054886,-3.2893362045288086,0.23347685,0.36799932
matplotlib__matplotlib-25960,6.95863108542779,-0.0009520325111225247,0.3553211,0.2224047
django__django-16661,10.034149970990468,-1.7572799921035767,0.3130327,0.34157294
scikit-learn__scikit-learn-25102,4.84231049624548,-0.7694970369338989,0.26519865,0.2728738
astropy__astropy-7606,1.7246159151863045,-1.5936232805252075,0.18021592,0.79106003
sympy__sympy-21612,9.030541266889951,-0.34196609258651733,0.4018915,0.52314556
psf__requests-1724,5.08712055705427,-2.809586524963379,0.29151088,0.44746304
django__django-16263,11.774227790498912,0.7248896360397339,0.3426603,0.78071725
django__django-13406,11.971252881144341,-0.5957076549530029,0.29006618,0.32781667
pydata__xarray-6938,7.299184937988767,0.8907081484794617,0.17645332,0.5339481
astropy__astropy-14539,15.593349825126884,-1.8445438146591187,0.36718348,0.33997068
sphinx-doc__sphinx-9258,4.0347883504715805,0.047077782452106476,0.29037428,0.3031988
psf__requests-1921,6.58326708985213,-2.145698070526123,0.387798,0.33078212
django__django-13297,13.6689012660479,-1.1456058025360107,0.3373322,0.33762395
django__django-14792,9.878422384720741,0.76451575756073,0.4908844,0.52933615
pydata__xarray-4687,9.79356838992619,-0.12880568206310272,0.4414497,0.35207176
sympy__sympy-13031,3.413975669535581,-0.46160513162612915,0.22948001,0.39794758
astropy__astropy-14598,6.862676405640174,0.8806614875793457,0.46593204,0.45297605
scikit-learn__scikit-learn-26194,6.5846461043082565,0.15471939742565155,0.3692271,0.43285948
django__django-14404,6.294440126880156,-0.21954627335071564,0.2894153,0.2841516
