,theta1,theta1_std,theta2,theta2_std,theta_avg
20231010_rag_swellama7b,1.1788862,0.35609818,2.3242018,0.11864599,1.751544
20231010_rag_gpt35,0.025585491,0.47042528,2.8454244,0.2500377,1.4355049
20231010_rag_swellama13b,0.14579114,0.3724977,2.2967823,0.14161001,1.2212867
20250627_agentless_MCTS-Refine-7B,2.2808719,0.23417874,0.03085799,0.044700753,1.155865
20240402_rag_gpt4,0.3746977,0.3001864,1.7459049,0.07699829,1.0603013
20231010_rag_claude2,-0.10840993,0.31185853,1.5920911,0.059638,0.7418406
20240402_rag_claude3opus,0.021886958,0.18569008,1.329155,0.0514437,0.67552096
20241029_epam-ai-run-claude-3-5-sonnet,1.2095654,0.24233618,-0.19038792,0.061043542,0.5095887
20241007_nfactorial,1.055826,0.20257127,-0.11068765,0.07305036,0.47256914
20240509_amazon-q-developer-agent-20240430-dev,0.15796103,0.155211,0.6422199,0.02575802,0.40009046
20250527_amazon.nova-premier-v1.0,1.0618714,0.26913476,-0.36632675,0.06722929,0.34777233
20240617_factory_code_droid,0.2103368,0.12605165,0.4125258,0.023885226,0.3114313
20240615_appmap-navie_gpt4o,-0.017000351,0.1635716,0.6355361,0.03091238,0.30926785
20241001_nfactorial,0.55090266,0.30660638,0.034305222,0.07599149,0.29260394
20240721_amazon-q-developer-agent-20240719-dev,0.09781356,0.12548175,0.36684483,0.02434071,0.23232919
20240612_MASAI_gpt4o,0.36586213,0.22566004,-0.008002629,0.05220742,0.17892975
20250214_agentless_lite_o3_mini,0.78157306,0.3273337,-0.439736,0.063578464,0.17091852
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.64223987,0.21886817,-0.33054796,0.0393438,0.15584596
20240918_lingma-agent_lingma-swe-gpt-7b,-0.114138335,0.34877956,0.41599032,0.071281545,0.150926
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.40550622,0.2675564,-0.1334635,0.066986546,0.13602136
20241106_navie-2-gpt4o-sonnet,0.9055974,0.37099314,-0.63409054,0.08599174,0.13575342
20241016_epam-ai-run-gpt-4o,0.41539627,0.25462732,-0.2051138,0.076001875,0.10514124
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.84088147,0.40008405,-0.6476998,0.11702939,0.09659085
20241030_nfactorial,1.0256742,0.3327693,-0.85005254,0.14163935,0.087810844
20240402_sweagent_claude3opus,-0.7563464,0.18065172,0.91933364,0.036025584,0.081493616
20241002_lingma-agent_lingma-swe-gpt-7b,-0.31515452,0.25436324,0.46287614,0.038344473,0.07386081
20240918_lingma-agent_lingma-swe-gpt-72b,0.22204511,0.36911124,-0.09662752,0.08972341,0.062708795
20250804_codesweep_sweagent_kimi_k2_instruct,0.44961882,0.28184688,-0.35009235,0.07632352,0.049763232
20240402_sweagent_gpt4,-0.5995016,0.15041268,0.69745064,0.028113944,0.048974514
20240628_autocoderover-v20240620,-0.30937985,0.15919258,0.34345126,0.029554995,0.017035708
20241105_nfactorial,0.5469902,0.2746308,-0.5272787,0.07006707,0.009855747
20250110_learn_by_interact_claude3.5,0.15822248,0.14844112,-0.14408058,0.028968843,0.007070951
20240820_honeycomb,-0.05625977,0.19409838,0.0018660594,0.042273216,-0.027196854
20250118_codeshellagent_gemini_2.0_flash_experimental,0.07586056,0.256565,-0.30903563,0.067081414,-0.116587535
20250806_SWE-Exp_DeepSeek-V3,-0.12448279,0.33064783,-0.15642719,0.051697943,-0.140455
20241023_emergent,1.0415547,0.49772197,-1.3366529,0.1995065,-0.1475491
20240920_solver,0.4170436,0.47648057,-0.72007275,0.14064586,-0.15151457
20250520_openhands_devstral_small,0.1615213,0.32829338,-0.5165021,0.10120238,-0.17749038
20241002_lingma-agent_lingma-swe-gpt-72b,-0.04992901,0.2864802,-0.30769643,0.08041876,-0.17881273
20250120_Bracket,0.08653419,0.278987,-0.44554546,0.06213074,-0.17950565
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.53969157,0.44443387,-0.90673935,0.13622634,-0.1835239
20250516_cortexa_o3,-0.20638941,0.11429568,-0.21508576,0.026244225,-0.21073759
20240820_epam-ai-run-gpt-4o,-0.41843233,0.2881102,-0.063484706,0.06625468,-0.24095851
20250725_sweagent_devstral_small_2507,-0.11898042,0.34722942,-0.42311835,0.096627384,-0.27104938
20240620_sweagent_claude3.5sonnet,-0.28903976,0.3365879,-0.28258058,0.058534145,-0.28581017
20250616_Skywork-SWE-32B,-0.19319952,0.425541,-0.39286152,0.06566557,-0.2930305
20241125_enginelabs,-0.104823746,0.35949257,-0.51820815,0.083621144,-0.31151596
20250225_sweagent_claude-3-7-sonnet,0.41532657,0.30105948,-1.053439,0.20684025,-0.3190562
20250112_ugaiforge,-0.21225546,0.27501872,-0.43922436,0.09186967,-0.32573992
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,-0.012270538,0.47337183,-0.66694534,0.110566914,-0.33960792
20251103_sonar-foundation-agent_claude-sonnet-4-5,0.73222655,0.48965082,-1.414917,0.19421142,-0.34134522
20240728_sweagent_gpt4o,-0.9260842,0.21987548,0.24325441,0.038761694,-0.3414149
20250924_artemis_agent_v2,-0.04825297,0.29237005,-0.63580257,0.075891115,-0.34202778
20250503_patchpilot-v1.1-o4-mini,0.024113255,0.27751642,-0.7282273,0.104311705,-0.35205704
20241212_epam-ai-run-claude-3-5-sonnet,-0.048291337,0.33148664,-0.6774235,0.07701339,-0.3628574
