,a1,a1_std,a2,a2_std,b,b_std
django__django-15467,-0.04877429,1.1955608,-6.9684052,1.0245669,-7.8208814,1.073492
pylint-dev__pylint-4970,0.504199,0.9379316,-5.2482095,1.7155086,-0.93226093,0.8622126
django__django-12708,0.09969739,0.91140157,-6.9634886,1.0791274,-3.0484157,0.8340228
pytest-dev__pytest-6197,-0.34819806,0.7484874,-6.521015,1.5497453,1.7236086,1.0332983
django__django-15128,0.18241851,1.0036013,-5.3083906,1.0554701,-0.6457747,0.6603321
django__django-12155,1.3797178,0.73368,-1.9955549,0.5452318,-3.3488216,0.50604326
django__django-11490,-0.2998099,0.8514081,-6.47583,1.305033,-1.4166234,1.0745926
mwaskom__seaborn-3069,0.34417975,0.87729,-7.0767074,1.3852448,1.1927482,0.9303456
sympy__sympy-11618,0.4511056,0.9154438,-7.2523203,1.2240525,-3.4379272,0.7526374
sympy__sympy-16450,-0.9855791,0.5265169,-3.1959038,0.5111368,-1.6746427,0.45641395
sympy__sympy-13878,0.10093175,0.5321866,-5.896095,1.06807,0.68728536,0.53791004
django__django-15375,0.40375695,0.70118,-3.5521886,0.6612929,1.4942142,0.41214532
pytest-dev__pytest-7324,-0.9010936,1.0191126,-6.552795,1.4184744,1.7924918,1.0612721
django__django-13670,-0.39059988,0.85063565,-3.8573325,0.6180249,-4.745438,0.81624544
django__django-12713,-0.5164379,0.8889031,-4.8358006,0.94928926,-2.596109,0.6423619
matplotlib__matplotlib-23476,-0.071920365,0.8391391,-5.175462,1.8393953,2.9274945,1.0814161
django__django-15569,0.35561156,0.84313816,-6.313863,1.0298952,-6.234182,1.1564009
sympy__sympy-14531,-0.47825512,0.82466424,-4.235755,0.91293216,-1.8948007,0.7259388
django__django-15368,-1.705097,0.74747133,-4.923463,0.88862157,-3.8446238,0.8148254
astropy__astropy-13033,1.3490518,0.8515917,-2.4801774,0.9867678,3.7620237,1.2049949
pydata__xarray-3095,0.77593404,0.76205266,-7.253351,1.4438045,-0.32684037,0.8552271
sphinx-doc__sphinx-9320,-0.6362092,0.6775912,-5.1395197,0.607516,-3.070927,0.7918679
django__django-15277,0.34961268,0.83903366,-6.5349846,0.8669487,-5.5782094,0.7399187
sympy__sympy-18763,0.72741,0.72027993,-3.5456831,0.7921387,-1.623032,0.5859128
django__django-13343,0.8518007,0.7434735,-6.139843,0.23800251,-1.7700264,0.32514706
django__django-15037,-0.70203596,0.72070056,-4.621984,1.1120468,-0.28677306,0.6464481
sphinx-doc__sphinx-11510,0.16951549,0.9512112,-2.474898,1.262218,10.485127,2.7113838
sympy__sympy-22714,0.5237279,0.81504416,-6.556734,0.89597166,-4.04355,0.8062747
django__django-17084,-0.7039139,0.82445985,-4.287365,1.0045842,1.2331135,0.59947944
django__django-16662,-0.94748616,0.7129029,-4.6900744,1.0469437,-2.5394971,0.687492
django__django-13512,-0.044017255,0.956875,-7.245848,1.2110777,-0.22206151,0.8225994
django__django-13121,-0.4873707,0.7730129,-6.7569036,1.3701298,0.006021091,0.936313
django__django-12663,0.5908518,0.64089686,-7.5988603,1.5561544,0.16322197,0.87520033
sphinx-doc__sphinx-7889,-0.86377525,0.63452405,-4.978631,1.3108462,-1.5724558,0.64534795
sphinx-doc__sphinx-10466,-0.15399995,0.9568225,-6.7191243,1.0446758,-4.641817,0.79446656
django__django-16938,-0.0015081996,1.0749682,-6.6174173,1.404918,1.0559821,1.1657095
pydata__xarray-3993,0.11270598,0.95139086,-7.1251445,1.5157638,0.6619844,0.7916895
django__django-12419,-0.18326661,1.3188674,-6.433797,0.9086693,-5.9744387,1.0234988
django__django-10880,0.25507706,0.92402536,-7.138785,1.3217993,-3.6497092,0.74471366
sympy__sympy-20154,0.09559182,0.98521256,-4.9084525,0.9207187,-2.6341484,0.86797655
pydata__xarray-6599,0.3947056,0.60729784,-4.528389,1.0737225,-0.6329263,0.49980158
sympy__sympy-12481,-0.04690712,0.7264763,-5.4586496,0.96278334,-1.9830422,0.60197234
django__django-16145,0.4553353,0.83342266,-6.3211346,0.9439685,-4.798183,0.7337635
sphinx-doc__sphinx-10614,1.183507,0.62176603,-4.8721576,1.6687624,2.356387,1.0229065
psf__requests-6028,0.055942558,1.1727206,-6.7076864,1.2252818,2.7166076,1.6667926
django__django-15732,0.054847565,0.8922297,-4.1376863,0.8249271,2.273379,0.9172715
django__django-13786,-0.35565627,0.95758915,-7.0732107,0.8963159,-7.794726,0.8556198
astropy__astropy-8872,0.17265029,0.71980715,-2.0496268,0.8402092,-0.10807015,0.75769114
django__django-14122,0.23036942,0.89850485,-7.620393,1.3985331,-0.76451445,0.83293694
django__django-12965,0.6710979,0.76446223,-6.7848625,1.5188468,1.2956434,0.854045
django__django-15863,0.05319409,0.9362908,-7.262832,1.0630628,-2.9037814,0.83757126
astropy__astropy-8707,0.29832152,0.6982373,-1.827174,0.57757473,0.09874798,0.6080929
sphinx-doc__sphinx-9230,-0.63427275,0.9849189,-4.6596394,0.2570811,2.3653617,0.6055864
sympy__sympy-15017,0.9741811,0.71997577,-6.9346185,1.1223811,0.36975697,0.7959807
django__django-11211,0.74432665,0.72090304,-5.45026,1.1096071,-1.2082714,0.6262877
sympy__sympy-19954,0.5244453,0.8778133,-6.8215766,0.9644898,-3.8672788,0.76506305
django__django-14580,0.05560855,0.9741986,-7.210912,1.5415778,-0.19352353,0.89829886
matplotlib__matplotlib-26342,1.0605546,0.6681764,-4.811652,0.88171935,-1.3914049,0.5494559
psf__requests-2931,0.64052486,0.8763801,-3.6492085,0.70654476,0.02088389,0.6667977
django__django-11532,0.082554854,0.9734591,-5.2428,0.9605807,-3.2782109,0.73744524
scikit-learn__scikit-learn-25232,-1.6379293,0.64939857,-2.364305,0.39036095,-0.81490225,0.37316763
django__django-15957,0.10136619,0.9148746,-6.396652,1.6031855,5.1656423,1.9260993
django__django-10999,0.1635214,1.1829474,-5.9583364,2.085822,7.3703065,3.6799908
django__django-13089,0.37756628,0.8200486,-5.125057,0.57234424,-7.1212296,1.0724852
pytest-dev__pytest-7982,-0.59547627,0.61239177,-2.2343757,0.55967903,-2.8160748,0.4450895
matplotlib__matplotlib-25960,-0.3142163,0.9302383,-5.724457,1.1656781,2.6923213,1.1016544
django__django-16661,0.29995236,0.7952386,-6.6751027,1.5637667,-2.5453496,0.8902262
scikit-learn__scikit-learn-25102,-1.9598825,0.60061824,-3.778305,0.6560354,0.24131371,0.44866565
astropy__astropy-7606,-1.1223683,1.0869647,-0.8598959,0.55252427,-0.2588448,0.47632447
sympy__sympy-21612,1.4456308,0.7061319,-5.792745,1.5424557,2.2948809,1.3199111
psf__requests-1724,0.48032555,0.7678238,-3.6323524,0.92061424,-3.5689533,0.7668519
django__django-16263,-0.16040167,0.9753146,-5.144631,1.9235575,8.179197,2.9396434
django__django-13406,-0.22612679,0.8285993,-6.9895883,1.3621674,0.5710213,0.99439174
pydata__xarray-6938,0.06473467,1.207611,-5.6116757,0.9552063,7.5020857,1.7260488
astropy__astropy-14539,0.20671104,0.919125,-7.4318833,1.2689078,-2.0211017,0.65950537
sphinx-doc__sphinx-9258,0.45377985,0.66435593,-3.0062602,0.54408056,1.4713473,0.50243413
psf__requests-1921,-0.14219859,0.8143343,-4.662278,0.7865325,-2.2853525,0.59451836
django__django-13297,0.0033880016,1.1977148,-7.060114,1.4721401,0.26263982,0.9251299
django__django-14792,0.43538073,0.877711,-5.890573,1.3262649,7.698528,2.3024352
pydata__xarray-4687,-0.0758027,0.674161,-6.2660775,1.5570823,2.5814178,0.90099233
sympy__sympy-13031,0.46436766,0.6756394,-2.6692271,0.6956885,0.55007535,0.55538607
astropy__astropy-14598,0.14722307,0.8103062,-5.623384,1.3062901,4.9611273,1.1696386
scikit-learn__scikit-learn-26194,1.3599617,0.5031105,-5.3008037,1.5868053,3.5388906,0.8168346
django__django-14404,0.08807461,0.6270462,-5.324357,0.8198578,1.775419,0.5566623
matplotlib__matplotlib-21568,0.11820852,0.9227849,-6.5402374,1.3104846,5.2265325,1.7327019
django__django-10097,1.7079037,0.43362042,-1.485458,0.27895468,0.6874264,0.39491543
astropy__astropy-13579,-0.565505,0.5913023,-5.003185,0.8255778,-1.5303,0.60734105
django__django-14539,0.07818039,0.7393205,-4.9560905,0.79215455,-2.539988,0.61689925
pytest-dev__pytest-5262,-1.036284,0.6861369,-7.2315063,0.9500963,-1.94193,0.6515009
django__django-14855,1.0694284,0.69438094,-4.43181,0.56822795,-5.434765,0.86532944
