,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20250410_cortexa,1.2551224,0.7955726,5.438016,0.6426345,13.869164,0.6165713,6.8541007
20241213_devlo,1.455722,0.20895684,4.80069,2.6166372,13.773656,0.58141786,6.676689
20250710_bloop,0.63448817,0.52014184,4.3239565,2.4250307,13.839013,0.56965995,6.2658195
20241212_google_jules_gemini_2.0_flash_experimental,1.3222628,0.22613648,4.0867467,3.0511765,13.046499,0.66707045,6.1518364
20250715_qodo_command,1.0391004,0.5252284,4.43984,2.7965796,12.6459,1.4122481,6.041613
20250807_openhands_gpt5,0.083908916,0.9535938,4.3922224,2.9196408,13.471254,0.72455823,5.982462
20250224_tools_claude-3-7-sonnet,0.15845409,0.57888705,4.4019437,2.8696208,13.367141,0.6152245,5.975846
20250519_devlo,-0.20042844,1.0373232,4.485589,2.6445136,13.148889,0.4771881,5.81135
20250405_swe-rizzo_claude37,0.34153315,1.0272839,3.210293,2.5116572,13.878106,0.5188936,5.809977
20250731_harness_ai,0.4223681,0.508145,5.044591,1.9598686,11.782752,2.828661,5.749903
20250316_augment_agent_v0,0.05611739,0.8044776,4.35226,2.4227724,12.835202,0.87757546,5.74786
20250603_Refact_Agent_claude-4-sonnet,0.5614631,0.38620794,4.3383455,1.8651315,12.180977,1.656122,5.6935954
20250915_JoyCode,0.19582362,0.4714524,4.721915,2.088709,12.095861,2.15262,5.6712
20250514_aime_coder,-0.031221213,0.87053204,4.4991436,2.6126428,12.494361,0.8748889,5.6540947
20250519_trae,-0.0761756,0.59376276,5.229758,3.8478653,11.597883,2.6672285,5.583822
20250522_tools_claude-4-opus,-0.03462799,0.3004011,3.9362607,1.4676318,12.780271,2.4349186,5.5606346
20250819_ACoder,-0.23081367,0.8256835,3.5999672,2.5569468,13.278529,1.9054346,5.549227
20250902_atlassian-rovo-dev,0.26022205,0.6998098,4.0558343,2.6239653,12.198509,3.2975762,5.5048547
20250528_patchpilot_Co-PatcheR,-0.83636326,0.41202104,4.7004437,4.023693,12.493705,1.5551813,5.4525948
20250522_sweagent_claude-4-sonnet-20250514,-0.00609818,0.36294127,4.6107783,2.959507,11.739124,3.4372876,5.4479346
20250522_tools_claude-4-sonnet,0.25492436,0.79903007,3.9262624,2.6609592,12.140211,3.6732256,5.440466
20251014_Lingxi_kimi_k2,0.013314784,0.850971,4.1866302,2.463012,12.018975,1.6652083,5.4063067
20250610_augment_agent_v1,-0.047280256,0.9579556,4.682123,3.2614832,11.290953,2.811118,5.3085985
20250405_amazon-q-developer-agent-20250405-dev,-0.17417414,0.62402725,4.778901,2.6638808,11.108514,2.8724527,5.2377467
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,-0.200488,0.7108692,3.6878202,2.2363696,12.160515,2.6725376,5.215949
20241223_emergent,0.12103434,0.7622921,3.7009778,3.1571667,11.681987,0.90089536,5.1679997
20250612_trae,-0.47166014,0.59505826,4.246341,2.030635,11.543576,2.912925,5.106086
20241208_gru,-0.35923716,0.6826212,3.6134481,3.3135958,12.046415,3.6563761,5.1002088
20241016_composio_swekit,-0.08732981,0.77689344,2.6191523,3.9750617,12.708692,1.5088947,5.080171
20241108_devlo,-0.15631074,0.6729219,2.920466,2.1009254,12.242878,3.043726,5.0023446
20250430_zencoder_ai,-0.37678126,0.9585112,2.3470159,2.7398934,12.561297,0.7941454,4.843844
20250117_wandb_programmer_o1_crosscheck5,0.08786898,0.48218876,2.874671,3.3397336,11.387727,2.7341661,4.783422
20241025_composio_swekit,0.33386862,0.21236093,7.6124964,2.2985222,6.110498,1.6700015,4.685621
20251015_Prometheus_v1.2.1_gpt5,-0.016488988,0.38945484,7.217233,1.4127384,5.5546656,0.678647,4.251803
20250524_openhands_claude_4_sonnet,-0.08979282,0.5671808,-1.6530607,0.862909,14.086693,3.0920763,4.114613
20251021_SalesforceAIResearch_SAGE_bash_only,0.4048645,0.58877623,-1.2015032,0.9963155,13.058127,2.302492,4.087163
20250728_zai_glm4-5,0.021989318,0.7555584,-1.8502696,1.0905282,13.97646,0.51003873,4.049393
20250415_openhands,0.36070102,0.28347197,-2.019617,1.0693086,13.048407,1.8192633,3.7964966
20250929_Prometheus_v1.2_gpt5,0.08775158,0.46388933,5.915924,2.2207088,4.9561105,0.942469,3.653262
20250616_Skywork-SWE-32B+TTS_Bo8,0.2768886,0.7037906,-1.6731361,1.2648541,12.279251,3.150191,3.6276677
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,0.25712425,0.44397208,-2.038953,1.196652,12.202085,1.6427808,3.4734185
20250716_openhands_kimi_k2,0.001358985,0.67612195,-1.9710588,1.3007054,12.232053,2.6353111,3.4207842
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,0.13601679,0.5530495,-2.3430464,1.66909,12.188887,3.159802,3.3272858
20251120_livesweagent_gemini-3-pro-preview,0.14135414,0.41098076,-1.5374479,1.0485624,10.086546,2.379128,2.8968174
20250804_epam-ai-run-claude-4-sonnet,-0.16072923,0.28891358,2.068971,1.2338531,5.4369016,1.0835719,2.4483812
20241028_solver,0.024202717,0.3351337,4.484157,0.8006252,2.5530887,0.6666364,2.3538163
20241023_emergent,-0.06470548,0.18382545,5.1663027,1.0339261,1.6514885,0.23102659,2.2510288
20240924_solver,0.22763224,0.23500004,3.78741,1.7564386,2.417299,0.30575153,2.1441138
20241030_nfactorial,0.22640586,0.1309376,3.9411914,1.115901,1.0982329,0.14832787,1.7552767
20250928_trae_doubao_seed_code,-0.043971486,0.14231195,0.90750915,0.68885297,3.8541882,0.627875,1.5725752
20250930_zai_glm4-6,-0.06078895,0.4202608,-3.1359556,0.5457076,7.8872533,0.93254924,1.5635029
20250206_agentscope,0.71795356,0.10432218,0.69753397,0.7890776,3.2235668,0.39465624,1.5463514
20241113_nebius-search-open-weight-models-11-24,-0.09887905,0.47242665,-3.3280811,0.85538906,7.6431313,1.1487731,1.4053904
20250629_deepswerl_r2eagent_tts,0.058784112,0.24995372,0.552484,0.887409,3.5911696,1.2677712,1.4008126
