,a1,a1_std,a2,a2_std,a3,a3_std,b,b_std
django__django-15467,0.57443327,4.842313,0.5607859,0.7938737,9.814977,1.7156171,-7.033633,1.0953535
pylint-dev__pylint-4970,0.6213997,6.962532,1.1223245,0.641888,6.996269,2.2215276,0.121347524,0.7805427
django__django-12708,-0.17009775,11.13684,1.2763602,1.0452665,11.847187,3.264654,-2.0935209,0.8448943
pytest-dev__pytest-6197,0.026254883,8.410145,1.5273893,1.0762835,8.787559,2.3985417,3.1282525,1.1793718
django__django-15128,0.5918824,8.840323,2.2223353,0.66660273,5.511795,1.3021126,0.06002756,0.6458552
django__django-12155,0.68435335,3.724099,1.077845,0.5584991,1.4480743,0.32837123,-2.9894593,0.5042336
django__django-11490,0.75966394,10.493011,0.73822546,1.1298571,12.173465,3.7319613,-0.61262673,1.1207442
mwaskom__seaborn-3069,0.6162488,11.298621,0.68184537,0.77782404,12.563104,2.1055558,3.0598106,1.2084371
sympy__sympy-11618,0.49718323,6.386396,1.2899767,0.8264709,12.532797,2.8427534,-2.6828659,0.9494556
sympy__sympy-16450,-0.2089931,5.741411,-0.13887653,0.45028716,3.7983983,0.95027035,-1.1402661,0.38502824
sympy__sympy-13878,0.058017746,6.227,0.6739571,0.42164338,6.448503,1.1901442,1.2927253,0.5095928
django__django-15375,0.506178,3.882925,1.4089817,0.42738903,1.5239584,0.45108432,1.7313501,0.46090198
pytest-dev__pytest-7324,0.049566023,11.1073475,0.42172155,1.2433742,11.412857,0.9099459,3.866286,1.2289487
django__django-13670,0.6276208,6.46657,0.116181165,0.5598097,4.1442986,0.8136339,-3.547395,0.8579811
django__django-12713,0.004828638,7.895188,0.032078777,0.56465864,5.8843093,1.5283667,-1.604403,0.62821776
matplotlib__matplotlib-23476,0.13641834,9.249018,1.8398519,0.9594594,3.6154046,2.3568778,3.01412,1.1819428
django__django-15569,0.38050595,9.196079,0.9583213,0.8569077,9.093407,2.3035004,-5.178676,1.300372
sympy__sympy-14531,0.29527053,6.819885,0.66916335,0.72426593,4.1101832,1.061529,-1.1422237,0.7162143
django__django-15368,1.1022599,7.958059,-0.8642192,0.5073768,7.5995574,0.7926928,-3.1022317,0.6737566
astropy__astropy-13033,-0.066586874,7.160115,2.8817031,0.72192913,-0.08944606,0.43654755,3.530537,1.0822777
pydata__xarray-3095,0.675081,7.813313,2.5990562,0.970018,9.393781,2.2904413,0.7833611,0.955682
