,a,b,a_std,b_std
astropy__astropy-12907,2.523003339767456,-0.5239662528038025,0.32703945,0.15138242
astropy__astropy-13033,1.2076822519302368,4.579115867614746,0.19337082,0.7156609
astropy__astropy-13236,0.7040336728096008,3.9029722213745117,0.11446997,0.5480725
astropy__astropy-13398,1.9799883365631104,4.702825546264648,0.35029688,0.6219938
astropy__astropy-13453,2.1734352111816406,0.14754772186279297,0.32527658,0.12733501
astropy__astropy-13579,2.323545455932617,-0.7325416803359985,0.31041095,0.1404548
astropy__astropy-13977,1.9968756437301636,4.823580265045166,0.43222266,0.8510878
astropy__astropy-14096,1.6098438501358032,-0.7787883281707764,0.22491,0.17052521
astropy__astropy-14182,1.8642141819000244,2.832475185394287,0.22844319,0.22822905
astropy__astropy-14309,1.6193405389785767,-3.081480026245117,0.2992071,0.2985834
astropy__astropy-14365,1.8866974115371704,2.3881633281707764,0.3720784,0.16669671
astropy__astropy-14369,2.150202512741089,1.7848349809646606,0.40818506,0.13476668
astropy__astropy-14508,2.297259569168091,-0.06632845103740692,0.28254268,0.12347133
astropy__astropy-14539,1.9862346649169922,-0.8336491584777832,0.3057901,0.14714049
astropy__astropy-14598,1.5145336389541626,3.3718433380126953,0.1882953,0.3435312
astropy__astropy-14995,1.9292596578598022,-1.6457293033599854,0.24835001,0.17001909
astropy__astropy-7166,1.1365129947662354,-1.4081082344055176,0.11723789,0.2941637
astropy__astropy-7336,1.1686429977416992,-2.519763469696045,0.14683686,0.28957602
astropy__astropy-7606,0.609276294708252,5.464038848876953,0.06044618,0.574273
astropy__astropy-7671,0.9109134674072266,-2.3310129642486572,0.121862985,0.3228841
astropy__astropy-8707,0.6181091666221619,4.52296781539917,0.106332175,0.49546292
astropy__astropy-8872,0.8033387064933777,4.032306671142578,0.096144825,0.5634357
django__django-10097,0.5713354349136353,1.4755584001541138,0.104279876,0.5184871
django__django-10554,2.1251068115234375,4.670133590698242,0.36887458,0.72913027
django__django-10880,1.6562769412994385,-1.0269103050231934,0.23771471,0.15260734
django__django-10914,1.4354766607284546,-1.96879243850708,0.21017155,0.20878622
django__django-10973,1.3759243488311768,-1.1391123533248901,0.23480842,0.15760908
django__django-10999,2.0548934936523438,5.038214206695557,0.40037385,1.1103582
django__django-11066,1.6977869272232056,-3.1785635948181152,0.3189267,0.5137924
django__django-11087,1.9402961730957031,4.634697914123535,0.28829125,0.9500796
django__django-11095,2.3756325244903564,-1.928404450416565,0.2977897,0.16863707
django__django-11099,1.3422964811325073,-3.1645164489746094,0.19875728,0.3396878
django__django-11119,1.537536382675171,-3.3921968936920166,0.20727235,0.44849163
django__django-11133,1.28653883934021,-2.8210554122924805,0.20768127,0.35474956
django__django-11138,1.8393003940582275,2.299943685531616,0.20556878,0.23102374
django__django-11141,1.1146551370620728,2.1581084728240967,0.17961721,0.268726
django__django-11149,1.429715633392334,1.3183141946792603,0.25186762,0.17430627
django__django-11163,2.0600528717041016,-2.373138904571533,0.2601963,0.27368218
django__django-11179,2.3428287506103516,-1.5926812887191772,0.34727794,0.17789394
django__django-11206,0.8256324529647827,1.5199106931686401,0.13008063,0.300339
