,theta1,theta1_std,theta2,theta2_std,theta_avg
20250928_trae_doubao_seed_code,1.1616355,0.15114816,1.8568119,0.14401156,1.5092237
20250804_epam-ai-run-claude-4-sonnet,0.35245252,0.14255288,2.4384284,0.15419695,1.3954405
20250902_atlassian-rovo-dev,0.31978294,0.15188427,2.4702535,0.14511397,1.3950182
20250819_ACoder,1.1698481,0.15128236,1.4990443,0.13480994,1.3344462
20250901_warp,0.340966,0.14707772,2.2520018,0.14805906,1.2964839
20250915_JoyCode,0.7539108,0.14277849,1.801244,0.13263054,1.2775774
20250612_trae,0.52970463,0.14874661,2.0218127,0.13726023,1.2757586
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.57400435,0.1389538,1.9274489,0.12906346,1.2507266
20250731_harness_ai,0.50931734,0.14843369,1.9908923,0.1569817,1.2501048
20250603_Refact_Agent_claude-4-sonnet,0.746181,0.15137695,1.7034285,0.13449427,1.2248048
20250522_tools_claude-4-opus,-0.05466487,0.14446954,2.400787,0.14491718,1.1730611
20250522_tools_claude-4-sonnet,-0.27358335,0.13806489,2.577534,0.14382976,1.1519753
20250807_openhands_gpt5,0.008522147,0.13698246,2.1795242,0.14171399,1.0940231
20250519_trae,0.9838968,0.1359396,1.1827035,0.12683715,1.0833001
20250710_bloop,0.5544127,0.14704579,1.5990286,0.13463621,1.0767207
20250715_qodo_command,0.20287439,0.14338894,1.9406968,0.13340347,1.0717856
20250610_augment_agent_v1,0.21414636,0.1397551,1.8853447,0.13724475,1.0497456
20250929_Prometheus_v1.2_gpt5,0.2524258,0.12297489,1.8408542,0.122636154,1.0466399
20250623_warp,0.09563748,0.133733,1.980914,0.13970095,1.0382757
20250430_zencoder_ai,1.0799156,0.13768086,0.9933366,0.12624854,1.0366261
20250611_moatless_claude-4-sonnet-20250514,0.5391696,0.13447371,1.5327114,0.1199723,1.0359405
20250515_Refact_Agent,0.9871485,0.14032719,1.064571,0.12891856,1.0258598
20250524_openhands_claude_4_sonnet,0.14940192,0.13777031,1.8812921,0.12819524,1.015347
20250519_devlo,0.79640734,0.14571163,1.2339852,0.12232842,1.0151963
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,-0.0091584595,0.13437779,1.9471819,0.13545084,0.9690117
20250516_cortexa_o3,0.51597136,0.13373376,1.3471658,0.12710042,0.9315686
20250930_zai_glm4-6,0.18190394,0.1261116,1.6348997,0.115880705,0.90840185
20250514_aime_coder,0.63856184,0.12764697,1.0843983,0.110235184,0.86148006
20250522_sweagent_claude-4-sonnet-20250514,-0.018818058,0.12880254,1.7137265,0.11835375,0.84745425
20250316_augment_agent_v0,0.8227537,0.12548083,0.80809754,0.114272594,0.81542563
20250405_amazon-q-developer-agent-20250405-dev,0.73127186,0.14377174,0.8916658,0.11578813,0.81146884
20250716_openhands_kimi_k2,0.3842146,0.12953454,1.2249912,0.11007416,0.8046029
20250415_openhands,0.17386691,0.12330597,1.4214617,0.11219617,0.7976643
20250228_epam-ai-run-claude-3-5-sonnet,1.9695745,0.1359339,-0.39718822,0.10379151,0.78619313
20250503_patchpilot-v1.1-o4-mini,0.68706137,0.13259906,0.8151473,0.10831044,0.75110435
20250117_wandb_programmer_o1_crosscheck5,0.2755082,0.12864146,1.1728001,0.12149994,0.7241541
20250206_agentscope,1.1914607,0.1297656,0.24633487,0.109553546,0.7188978
20250728_zai_glm4-5,-0.1261057,0.1306406,1.561902,0.11748891,0.7178982
20250224_tools_claude-3-7-sonnet,0.20616499,0.12998104,1.2277242,0.109549314,0.7169446
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,1.5123755,0.13489598,-0.095685445,0.10336666,0.708345
20250110_blackboxai_agent_v1.1,0.9454849,0.124784626,0.46577284,0.10652815,0.7056289
20250225_sweagent_claude-3-7-sonnet,0.7873841,0.12483459,0.5793922,0.107329264,0.6833881
20250203_openhands_4x_scaled,0.959979,0.1295564,0.24994132,0.10125874,0.60496014
20250110_learn_by_interact_claude3.5,0.6727549,0.13276222,0.40148538,0.110843554,0.5371201
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.14774325,0.114092,0.91706127,0.1092856,0.5324023
20241213_devlo,0.95861274,0.11900431,0.077560425,0.108411685,0.51808655
20250410_cortexa,0.75263137,0.12295023,0.21334459,0.0997012,0.48298797
20241223_emergent,1.108609,0.12081283,-0.1437139,0.113683835,0.48244753
20250629_deepswerl_r2eagent_tts,0.28192878,0.12087207,0.67466307,0.10401987,0.47829592
20241212_epam-ai-run-claude-3-5-sonnet,1.2455564,0.12087354,-0.34413466,0.102226675,0.45071083
20241208_gru,1.2801318,0.12615216,-0.38687778,0.10772142,0.44662702
20250924_artemis_agent_v2,-0.37338668,0.11868597,1.2452408,0.116578445,0.43592706
20241202_amazon-q-developer-agent-20241202-dev,0.8640554,0.12338566,0.0055281995,0.10223676,0.4347918
20250405_swe-rizzo_claude37,0.11625795,0.11524887,0.72610813,0.10320701,0.42118305
20241108_devlo,1.118806,0.12240886,-0.3061973,0.10512545,0.40630436
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.8140075,0.11647337,-0.13591456,0.101490915,0.33904648
20250120_Bracket,0.20034736,0.109754905,0.4598171,0.09594965,0.33008224
20250804_codesweep_sweagent_kimi_k2_instruct,1.1358169,0.11749964,-0.47985956,0.0983091,0.32797867
20241125_enginelabs,0.7454018,0.11293304,-0.18565527,0.10218013,0.27987325
20250901_entroPO_R2E_QwenCoder30BA3B,0.113792785,0.11643836,0.43865153,0.0988677,0.27622217
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.43070415,0.10556626,0.101909295,0.10029933,0.26630673
20241212_google_jules_gemini_2.0_flash_experimental,-0.03635882,0.1085167,0.5285364,0.093538284,0.24608877
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.19571649,0.11044212,0.6773332,0.09846267,0.24080834
20241125_marscode-agent-dev,0.51192355,0.118097834,-0.04011809,0.111741625,0.23590273
20241028_solver,0.6043697,0.11414242,-0.15610059,0.10273114,0.22413456
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.547682,0.11214878,-0.14458503,0.10219607,0.20154849
20241022_tools_claude-3-5-sonnet-updated,0.6093891,0.11557956,-0.22459239,0.09806681,0.19239837
20241105_nfactorial,1.1933262,0.11846545,-0.81783557,0.10679924,0.18774533
20241025_composio_swekit,0.9665701,0.11081219,-0.62610114,0.10158637,0.17023447
20241023_emergent,0.62490493,0.109986074,-0.39045465,0.097017534,0.11722514
20241106_navie-2-gpt4o-sonnet,0.36116153,0.11826875,-0.18651068,0.10603163,0.087325424
20250616_Skywork-SWE-32B+TTS_Bo8,-0.1334368,0.112974755,0.28125423,0.10290654,0.07390872
20250520_openhands_devstral_small,0.040073328,0.10790855,0.10117666,0.10094464,0.07062499
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.4133755,0.11676423,-0.30746013,0.09961398,0.052957684
20250528_patchpilot_Co-PatcheR,-0.11728823,0.11038223,0.21822327,0.10598846,0.05046752
20240924_solver,1.0467798,0.123081975,-0.95030034,0.10809095,0.048239708
20240824_gru,0.5116215,0.10854558,-0.4985571,0.10032386,0.006532192
20240920_solver,0.5280355,0.11274905,-0.54698837,0.10970339,-0.009476423
20250118_codeshellagent_gemini_2.0_flash_experimental,0.28642145,0.09972505,-0.3689454,0.094491825,-0.04126197
20250806_SWE-Exp_DeepSeek-V3,0.24730821,0.1139952,-0.37104815,0.10911728,-0.06186997
20250527_amazon.nova-premier-v1.0,0.061522346,0.11130349,-0.22278549,0.10245572,-0.08063157
20250226_swerl_llama3_70b,-0.24248524,0.11203987,0.07344208,0.10626522,-0.08452158
20241030_nfactorial,0.04664228,0.11146711,-0.21646868,0.094701216,-0.084913194
20250214_agentless_lite_o3_mini,-0.41059297,0.10404336,0.23255002,0.099001065,-0.089021474
20250629_deepswerl_r2eagent,-0.612311,0.10768713,0.41658163,0.09857048,-0.09786469
20250112_ugaiforge,0.6022225,0.12434615,-0.80499744,0.10697171,-0.10138747
20250511_sweagent_lm_32b,0.17647164,0.105346166,-0.40789163,0.10365733,-0.11571
20240820_honeycomb,0.41750365,0.10570438,-0.65370893,0.09906222,-0.11810264
20241022_tools_claude-3-5-haiku,0.31825253,0.10280565,-0.56536794,0.10145049,-0.1235577
20241016_composio_swekit,0.22367239,0.1118772,-0.4939181,0.10655238,-0.13512285
20241113_nebius-search-open-weight-models-11-24,0.14695562,0.10655147,-0.4402398,0.10118508,-0.14664209
20241029_epam-ai-run-claude-3-5-sonnet,0.19256191,0.10530177,-0.520978,0.10132897,-0.16420802
20250725_sweagent_devstral_small_2507,0.2908899,0.116780795,-0.68943644,0.10209018,-0.19927327
20250616_Skywork-SWE-32B,-0.3554334,0.10549159,-0.055727936,0.09378946,-0.20558067
20241028_agentless-1.5_gpt4o,-0.12900881,0.10487618,-0.30547276,0.09384489,-0.21724078
20240721_amazon-q-developer-agent-20240719-dev,0.64596295,0.11179279,-1.1059377,0.108287044,-0.22998738
20240628_autocoderover-v20240620,-0.14731553,0.11279653,-0.31812197,0.09902115,-0.23271875
20240617_factory_code_droid,0.68398297,0.1130444,-1.2855011,0.114915416,-0.30075908
20240620_sweagent_claude3.5sonnet,-0.031896524,0.109829456,-0.6322715,0.111866884,-0.33208403
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-0.30112284,0.10823171,-0.5225217,0.11253259,-0.41182226
20240612_MASAI_gpt4o,-0.23313385,0.10758107,-0.6023345,0.104484245,-0.41773418
20241120_artemis_agent,-0.42493984,0.10866096,-0.41374415,0.10289952,-0.41934198
20241007_nfactorial,-0.38257003,0.11060675,-0.49678034,0.10508656,-0.43967518
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-0.48588678,0.111580215,-0.4681273,0.113735914,-0.47700703
20241002_lingma-agent_lingma-swe-gpt-72b,-0.2716129,0.110449724,-0.8612425,0.11495427,-0.5664277
20241016_epam-ai-run-gpt-4o,-0.057937015,0.11220133,-1.2398318,0.12243717,-0.6488844
20240918_lingma-agent_lingma-swe-gpt-72b,-0.45231995,0.109993204,-0.86870754,0.113921,-0.66051376
20240509_amazon-q-developer-agent-20240430-dev,-0.49903342,0.10832839,-0.82596004,0.11942428,-0.66249675
20241001_nfactorial,-0.15728909,0.114859946,-1.2138655,0.117704295,-0.6855773
20240615_appmap-navie_gpt4o,-0.1756166,0.11369888,-1.2285466,0.124289095,-0.7020816
20240820_epam-ai-run-gpt-4o,-0.5269233,0.11099945,-0.89293087,0.119486116,-0.7099271
20240728_sweagent_gpt4o,-0.7593667,0.11302145,-0.73363143,0.11506804,-0.74649906
20250627_agentless_MCTS-Refine-7B,-1.6880378,0.11602817,0.16374503,0.112249576,-0.76214635
20240402_sweagent_gpt4,-0.11182232,0.10948007,-1.5224434,0.12402558,-0.8171329
20241002_lingma-agent_lingma-swe-gpt-7b,-1.1131371,0.11551171,-0.75845945,0.12769654,-0.9357983
20240402_sweagent_claude3opus,-0.5794682,0.115728654,-1.5777146,0.13880263,-1.0785913
20240918_lingma-agent_lingma-swe-gpt-7b,-1.4650391,0.13954648,-1.2353754,0.15733457,-1.3502073
20240402_rag_claude3opus,-1.9875946,0.16636409,-1.0387422,0.1813889,-1.5131683
20231010_rag_claude2,-2.217387,0.19190629,-1.4070255,0.2114628,-1.8122063
20240402_rag_gpt4,-2.2980447,0.237768,-1.7522967,0.28337765,-2.0251708
20231010_rag_swellama7b,-3.432272,0.35199013,-1.1015251,0.31094155,-2.2668986
20231010_rag_swellama13b,-3.5212708,0.32319164,-1.0863857,0.29219222,-2.3038282
20231010_rag_gpt35,-3.06878,0.42866516,-2.3316102,0.46070987,-2.700195
