,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
20250928_trae_doubao_seed_code,0.4229586,0.23015934,1.5558078,0.21346535,1.7975678,0.14767063,1.2587781
20250901_warp,0.011858354,0.22333646,2.287155,0.22018923,1.194913,0.13267435,1.1646422
20250902_atlassian-rovo-dev,-0.32331458,0.22172636,1.769587,0.19492565,1.8751371,0.15515262,1.1071366
20250819_ACoder,0.48957497,0.22923028,0.79905605,0.1921591,1.9026293,0.13656594,1.0637535
20250804_epam-ai-run-claude-4-sonnet,-0.48074275,0.22023879,1.2993687,0.21132085,2.2258737,0.16044605,1.0148332
20250929_Prometheus_v1.2_gpt5,-0.0036950295,0.21408537,1.9120507,0.201859,0.9890156,0.12838995,0.96579045
20250522_tools_claude-4-opus,-0.5199361,0.21725874,1.813647,0.18893813,1.5288932,0.12776032,0.9408681
20250612_trae,-0.35095122,0.22859558,0.920269,0.19423562,2.235263,0.15412673,0.9348603
20250807_openhands_gpt5,-0.50740176,0.21080652,1.7345976,0.1920457,1.4635882,0.13004959,0.896928
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,-0.39941514,0.22555152,0.6862482,0.21187976,2.3706865,0.15462907,0.8858399
20250603_Refact_Agent_claude-4-sonnet,-0.25943723,0.22752626,0.5472429,0.19568613,2.3020887,0.15295523,0.8632981
20250731_harness_ai,-0.5652011,0.2552825,0.71520317,0.2043714,2.3671768,0.1553057,0.8390596
20250611_moatless_claude-4-sonnet-20250514,-0.058669962,0.2285998,0.87552184,0.1878221,1.6824963,0.11891976,0.83311605
20250522_tools_claude-4-sonnet,-1.0479294,0.2382292,1.6134622,0.20668033,1.9306269,0.1520978,0.8320532
20250915_JoyCode,-0.6037364,0.250473,0.1634181,0.19505061,2.85116,0.15631141,0.8036139
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,-0.40610534,0.21053922,1.4606004,0.18841372,1.355648,0.123944975,0.803381
20250710_bloop,-0.16223219,0.23380394,0.82409966,0.1873917,1.745956,0.13240837,0.80260783
20250430_zencoder_ai,0.39045563,0.22123621,0.29459932,0.18196091,1.7193694,0.13572857,0.8014748
20250623_warp,-0.63039654,0.23342472,1.2379951,0.19146341,1.7334992,0.14239007,0.78036594
20250715_qodo_command,-0.5406914,0.23029374,1.0644319,0.19105706,1.8110288,0.13145438,0.7782564
20250516_cortexa_o3,0.104689434,0.22373793,0.94393814,0.17657912,1.2254232,0.12285693,0.7580169
20250515_Refact_Agent,0.18355647,0.2257809,0.17721939,0.16893202,1.8647959,0.13172573,0.7418573
20250930_zai_glm4-6,-0.32764828,0.22430405,0.95576644,0.18758601,1.4962858,0.12901495,0.70813465
20250519_devlo,-0.11040086,0.22505875,0.24047987,0.18448393,1.9934452,0.13357626,0.7078414
20250519_trae,-0.10858534,0.21759021,0.03505959,0.17668954,2.1960301,0.12762743,0.7075015
20250503_patchpilot-v1.1-o4-mini,0.46507084,0.21535622,0.53145736,0.16268355,1.0472885,0.11178748,0.68127227
20250117_wandb_programmer_o1_crosscheck5,0.104810365,0.2145418,1.032694,0.18360235,0.8951516,0.1131011,0.677552
20250610_augment_agent_v1,-0.76832336,0.23206654,0.6359008,0.18110609,2.1139016,0.13949782,0.660493
20250524_openhands_claude_4_sonnet,-0.8602976,0.23713122,0.7252769,0.18959276,2.05743,0.12850672,0.6408031
20250110_blackboxai_agent_v1.1,0.7499149,0.22698388,0.17354667,0.16449608,0.9607047,0.11548704,0.6280554
20250110_learn_by_interact_claude3.5,0.9034023,0.20537582,0.43513823,0.17607395,0.4900754,0.10111775,0.6095386
