,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
astropy__astropy-12907,0.42217323,0.28020787,0.20067894,0.48728928,0.74693006,0.28683165,0.25737104,0.338815,2.0424755,-0.18734361,0.2573685,0.14377673
astropy__astropy-13033,0.7102892,1.8245128,0.1690583,0.7854388,0.99829364,2.338155,0.24890102,0.6056181,0.95034075,1.8496803,0.27460784,0.6875907
astropy__astropy-13236,0.7660976,1.7317064,0.14253454,0.43991527,0.7972506,1.6735417,0.17801146,0.42969072,0.45926046,0.9417075,0.22786571,0.6215938
astropy__astropy-13398,0.8402291,2.0553274,0.19423942,0.94519395,0.95077467,2.1436667,0.2646804,0.83958805,1.3684567,2.464993,0.29648143,0.8508698
astropy__astropy-13453,0.3421136,0.27030367,0.1850534,0.5376457,1.1213955,0.45549715,0.21150741,0.21860594,1.7146171,0.30674863,0.20784979,0.1628433
astropy__astropy-13579,0.5897535,0.19985843,0.18994346,0.40787014,0.43744656,0.28971496,0.24174684,0.48102516,2.01424,-0.36715534,0.2491249,0.15065311
astropy__astropy-13977,0.80961126,2.077808,0.21243474,0.9856058,0.9064989,2.0866034,0.27526814,0.84401655,1.4541306,2.5697806,0.29402626,0.7678027
astropy__astropy-14096,0.7023282,0.15397601,0.19044197,0.32601863,0.21246074,0.37322325,0.22398084,0.59665006,1.5310737,-0.25139767,0.19219427,0.17902204
astropy__astropy-14182,0.74245465,1.4151757,0.16351834,0.4490987,0.9350365,1.617412,0.23259997,0.4390146,1.3656085,1.6577258,0.24894713,0.33247912
astropy__astropy-14309,0.7192956,-0.8622425,0.1881778,0.589234,0.5839805,-0.3927172,0.26730403,0.61614895,1.5844015,-1.856189,0.2652166,0.34628367
astropy__astropy-14365,0.706934,1.16998,0.16399923,0.46674576,0.78393257,1.3254254,0.22039056,0.41077536,1.5673459,1.6996154,0.26072785,0.24864236
astropy__astropy-14369,0.5012799,0.6264357,0.17922196,0.5007537,0.93477637,1.2791808,0.20511015,0.30417138,1.7447904,1.4056722,0.26728818,0.19347166
astropy__astropy-14508,0.36860964,0.26669857,0.17905408,0.49499342,0.8605783,0.41990215,0.2262088,0.25586152,1.8526152,0.19741401,0.2188716,0.1469555
astropy__astropy-14539,0.46332362,0.18982562,0.18057376,0.45029527,0.6635683,0.22280236,0.24109867,0.36713699,1.7302798,-0.50415653,0.21050733,0.1741336
astropy__astropy-14598,0.8023636,1.6949892,0.16336937,0.5191025,0.8344773,1.614217,0.21964014,0.48409432,1.080783,1.576009,0.26633513,0.44053265
astropy__astropy-14995,0.70861983,-0.26470226,0.19607937,0.43566948,0.39313743,0.16253085,0.2575193,0.5609119,1.7376735,-1.1098684,0.23348804,0.20942251
astropy__astropy-7166,0.7795823,-0.38563666,0.16743898,0.3243371,0.6016699,0.028268803,0.23538256,0.4062527,1.1224048,-0.60053027,0.17662044,0.27752596
astropy__astropy-7336,0.86409307,-1.1186551,0.16304143,0.38705683,0.77913207,-0.52948374,0.24083295,0.40415856,0.9034091,-0.77288836,0.21327013,0.43935683
astropy__astropy-7606,0.89232355,2.0101821,0.14592364,0.454548,0.60385805,1.6873336,0.17945851,0.5785465,-0.057971083,0.0069348956,0.26190788,0.6953021
astropy__astropy-7671,0.72621584,-0.84209526,0.15544344,0.350859,0.7028582,-0.4649948,0.20934144,0.38258883,0.7577626,-0.66929555,0.19773747,0.41545504
astropy__astropy-8707,0.85829335,1.5952497,0.15740818,0.3983761,0.9586389,1.6278436,0.18495822,0.3854345,0.09184664,0.2697072,0.20669083,0.7690959
astropy__astropy-8872,0.9010677,1.5902084,0.16374874,0.37244445,0.9750477,1.7378776,0.19860892,0.397974,0.22348936,0.6253044,0.23416497,0.80147123
django__django-10097,0.4361003,0.5724419,0.16419365,0.4409613,0.7476502,0.97886455,0.17059906,0.2618772,0.43349364,0.56292593,0.16170466,0.40571427
django__django-10554,0.79648834,1.956282,0.1973558,0.9247483,0.9076259,2.2358546,0.25875333,0.8725048,1.3986924,2.476884,0.3131412,0.75022876
django__django-10880,0.8218281,-0.1435243,0.18982926,0.2720608,0.9591992,-0.055021435,0.25519863,0.26327372,1.3601513,-0.34344143,0.19976507,0.21303202
django__django-10914,0.46447662,-0.06177429,0.1892331,0.5028297,0.4223383,0.0011819812,0.25030828,0.50043416,1.5102638,-1.3011968,0.21325989,0.2249852
django__django-10973,0.5911913,-0.083507344,0.18507001,0.39119303,0.34729162,0.2223351,0.24831049,0.51192427,1.4632304,-0.74851793,0.20807767,0.19681878
django__django-10999,0.77645785,2.0097537,0.20046958,0.8862661,0.8744298,2.1412284,0.26873738,0.9400951,1.4107293,2.5559182,0.32113954,0.8048348
django__django-11066,0.85114825,-1.2344277,0.18495853,0.5378083,0.69341546,-0.55026615,0.26246065,0.5929432,1.3468944,-1.5205038,0.25442356,0.46517843
django__django-11087,0.8042752,1.9897306,0.21544963,1.0018626,0.9486369,2.2650776,0.25418982,0.90390366,1.3948976,2.5113378,0.30603838,0.76151633
django__django-11095,0.6845353,-0.39679986,0.1844697,0.47524154,0.5975554,-0.020800903,0.2749813,0.51937014,1.9111433,-1.2764066,0.26628596,0.23731163
django__django-11099,0.7618344,-1.2108015,0.17055288,0.5494526,0.7361252,-0.8557834,0.24552463,0.53045654,1.1921287,-1.2833712,0.22544649,0.41589022
django__django-11119,0.7169028,-1.1735559,0.1709562,0.5542555,0.5813835,-0.36231935,0.24767618,0.5975369,1.146515,-1.6866847,0.2158726,0.43375617
django__django-11133,0.6296983,-0.6500687,0.1733218,0.6194679,0.6449077,-0.5748782,0.252688,0.581904,1.3539145,-1.5640538,0.2311501,0.34302098
django__django-11138,0.6564374,1.0854801,0.18234938,0.5043361,1.2765206,1.6759785,0.23590653,0.3007698,1.2216074,1.380944,0.27098656,0.34905306
django__django-11141,0.7024222,1.0481814,0.15666005,0.33835495,0.84236014,1.3037423,0.18587232,0.296875,1.000145,0.9522774,0.2189036,0.3078277
django__django-11149,0.6521498,0.7375981,0.16796827,0.33933786,0.76068765,0.96122277,0.19450088,0.3249638,1.3837533,0.9668807,0.20123374,0.20990661
django__django-11163,0.7829155,-0.7447855,0.18989596,0.52138525,0.9264794,-0.53803253,0.25880417,0.4502582,1.5284184,-1.2281519,0.2766107,0.34795815
django__django-11179,0.7587679,-0.3266762,0.18341202,0.39370608,0.7113058,-0.06672681,0.259914,0.41794127,1.8115947,-1.006284,0.23779659,0.24226397
