,theta,theta_std
20250928_trae_doubao_seed_code,2.244276762008667,0.11071255
20251120_livesweagent_gemini-3-pro-preview,2.223628044128418,0.15080073
20250804_epam-ai-run-claude-4-sonnet,2.1928086280822754,0.13158698
20250902_atlassian-rovo-dev,2.152050018310547,0.14121315
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.065284490585327,0.14744486
20250915_JoyCode,2.0382256507873535,0.1256272
20250612_trae,2.0002048015594482,0.10096772
20250901_warp,1.9976108074188232,0.11090993
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,1.9936110973358154,0.08680508
20250603_Refact_Agent_claude-4-sonnet,1.9852190017700195,0.12930761
20250819_ACoder,1.9083248376846313,0.12515202
20250731_harness_ai,1.8975908756256104,0.13258964
20251103_SalesforceAIResearch_SAGE_OpenHands,1.876787543296814,0.11044048
20251015_Prometheus_v1.2.1_gpt5,1.827030062675476,0.09552155
20251021_SalesforceAIResearch_SAGE_bash_only,1.825693130493164,0.110003226
20250522_tools_claude-4-sonnet,1.7828055620193481,0.14050153
20250522_tools_claude-4-opus,1.7732537984848022,0.10467077
20250715_qodo_command,1.7228481769561768,0.114358835
20250807_openhands_gpt5,1.713127613067627,0.11325979
20250610_augment_agent_v1,1.5938260555267334,0.110510014
20250524_openhands_claude_4_sonnet,1.5901193618774414,0.13015309
20250623_warp,1.5840585231781006,0.13614291
20250929_Prometheus_v1.2_gpt5,1.5799469947814941,0.11324605
20250519_devlo,1.5383005142211914,0.08289143
20250519_trae,1.5101019144058228,0.09466762
20250515_Refact_Agent,1.4998914003372192,0.09932783
20251014_Lingxi_kimi_k2,1.4744892120361328,0.10511342
20250611_moatless_claude-4-sonnet-20250514,1.4735620021820068,0.099802524
20250710_bloop,1.468776822090149,0.12616447
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,1.4664117097854614,0.12250815
20250430_zencoder_ai,1.4148778915405273,0.106358066
20250516_cortexa_o3,1.3036994934082031,0.09820274
20250930_zai_glm4-6,1.2718764543533325,0.10468922
20250522_sweagent_claude-4-sonnet-20250514,1.1926724910736084,0.121180296
20250514_aime_coder,1.181500792503357,0.110571235
20250415_openhands,1.1090008020401,0.10337203
20250716_openhands_kimi_k2,1.0576332807540894,0.1337988
20250405_amazon-q-developer-agent-20250405-dev,1.0434490442276,0.13873388
20250316_augment_agent_v0,1.0331374406814575,0.087342456
20250728_zai_glm4-5,1.0256162881851196,0.07892844
20250224_tools_claude-3-7-sonnet,0.9924512505531311,0.12553497
20250117_wandb_programmer_o1_crosscheck5,0.9777302145957947,0.12209305
20250503_patchpilot-v1.1-o4-mini,0.892425537109375,0.100330606
20250110_blackboxai_agent_v1.1,0.8128934502601624,0.076381005
20250228_epam-ai-run-claude-3-5-sonnet,0.789806604385376,0.077889174
20250225_sweagent_claude-3-7-sonnet,0.7852808833122253,0.08906631
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.7785749435424805,0.0835487
20250203_openhands_4x_scaled,0.7546554207801819,0.08751455
20250206_agentscope,0.7469338774681091,0.09004314
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.680115282535553,0.10600706
20250110_learn_by_interact_claude3.5,0.6158893704414368,0.07906725
20250924_artemis_agent_v2,0.5451824069023132,0.09077067
20250405_swe-rizzo_claude37,0.5363975763320923,0.07047532
20250629_deepswerl_r2eagent_tts,0.5293381810188293,0.07659884
20241213_devlo,0.49457839131355286,0.108061016
20241223_emergent,0.4200950562953949,0.09117214
20250410_cortexa,0.4160216152667999,0.075656764
20251110_frogboss-32b,0.4016193747520447,0.08123674
20241212_epam-ai-run-claude-3-5-sonnet,0.3769374191761017,0.082886174
20241208_gru,0.3657907247543335,0.07921511
