,theta,theta_std
20250928_trae_doubao_seed_code,3.4285848140716553,0.14490038
20251120_livesweagent_gemini-3-pro-preview,3.1346774101257324,0.18061778
20250804_epam-ai-run-claude-4-sonnet,3.120347023010254,0.21255687
20250902_atlassian-rovo-dev,3.114248752593994,0.17481829
20250819_ACoder,2.9482262134552,0.14619105
20250731_harness_ai,2.942434787750244,0.1635354
20250612_trae,2.9097065925598145,0.14797871
20250901_warp,2.8951423168182373,0.18660113
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.850289821624756,0.15074185
20250915_JoyCode,2.848703622817993,0.16859104
20250603_Refact_Agent_claude-4-sonnet,2.8047103881835938,0.18982692
20251015_Prometheus_v1.2.1_gpt5,2.7230021953582764,0.15032259
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.7205276489257812,0.13350694
20251103_SalesforceAIResearch_SAGE_OpenHands,2.6786649227142334,0.17661802
20250522_tools_claude-4-opus,2.642996311187744,0.18026671
20251021_SalesforceAIResearch_SAGE_bash_only,2.49665904045105,0.14517277
20250522_tools_claude-4-sonnet,2.488553762435913,0.2129596
20250807_openhands_gpt5,2.3683903217315674,0.155901
20250929_Prometheus_v1.2_gpt5,2.3318355083465576,0.15405445
20251014_Lingxi_kimi_k2,2.307032585144043,0.14405005
20250623_warp,2.306443929672241,0.15132332
20250710_bloop,2.2883028984069824,0.14686471
20250524_openhands_claude_4_sonnet,2.2506492137908936,0.1294388
20250715_qodo_command,2.2393009662628174,0.15300936
20250611_moatless_claude-4-sonnet-20250514,2.2373807430267334,0.15735886
20250519_trae,2.191786766052246,0.16381611
20250610_augment_agent_v1,2.1726086139678955,0.1304964
20250515_Refact_Agent,2.1676368713378906,0.123406194
20250430_zencoder_ai,2.152721881866455,0.23111217
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,2.13638973236084,0.1706852
20250519_devlo,2.1147658824920654,0.17392379
20250516_cortexa_o3,2.0030014514923096,0.14090729
20250930_zai_glm4-6,1.8719251155853271,0.19111899
20250514_aime_coder,1.7678159475326538,0.13408631
20250405_amazon-q-developer-agent-20250405-dev,1.743169903755188,0.12087896
20250522_sweagent_claude-4-sonnet-20250514,1.692626714706421,0.11991874
20250716_openhands_kimi_k2,1.656923532485962,0.14258294
20250415_openhands,1.6469998359680176,0.14939299
20250316_augment_agent_v0,1.6174176931381226,0.1407139
20250117_wandb_programmer_o1_crosscheck5,1.6129240989685059,0.12769371
20250503_patchpilot-v1.1-o4-mini,1.6126357316970825,0.18288967
20250206_agentscope,1.5964311361312866,0.14678752
20250728_zai_glm4-5,1.4825059175491333,0.100184605
20250224_tools_claude-3-7-sonnet,1.4558411836624146,0.11964287
20250110_blackboxai_agent_v1.1,1.4254848957061768,0.15497088
20250228_epam-ai-run-claude-3-5-sonnet,1.3521960973739624,0.12193992
20250225_sweagent_claude-3-7-sonnet,1.3466025590896606,0.11821277
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,1.325048804283142,0.10059005
20250901_entroPO_R2E_QwenCoder30BA3B_tts,1.1986747980117798,0.12323843
20250203_openhands_4x_scaled,1.119408369064331,0.15729322
20250110_learn_by_interact_claude3.5,1.0579612255096436,0.10549021
20250410_cortexa,1.0250123739242554,0.14128478
20241213_devlo,0.9382504820823669,0.11349738
