,b,b_std
astropy__astropy-12907,-0.41044706106185913,0.21978495
astropy__astropy-13033,5.739043712615967,0.5469069
astropy__astropy-13236,3.719062328338623,0.24030723
astropy__astropy-13398,7.129894256591797,0.88909143
astropy__astropy-13453,0.46322473883628845,0.20536327
astropy__astropy-13579,-0.869935929775238,0.21154039
astropy__astropy-13977,7.776458263397217,0.8581103
astropy__astropy-14096,-0.6132205128669739,0.22471346
astropy__astropy-14182,4.641285419464111,0.36280915
astropy__astropy-14309,-4.066990852355957,0.49751043
astropy__astropy-14365,3.9429686069488525,0.29679424
astropy__astropy-14369,2.795069456100464,0.22122683
astropy__astropy-14508,0.023166149854660034,0.22580971
astropy__astropy-14539,-1.1301270723342896,0.24029809
astropy__astropy-14598,4.479607105255127,0.41875884
astropy__astropy-14995,-2.5628347396850586,0.30605257
astropy__astropy-7166,-1.5717418193817139,0.2859354
astropy__astropy-7336,-3.0562644004821777,0.43760586
astropy__astropy-7606,4.357485294342041,0.36620656
astropy__astropy-7671,-2.178152561187744,0.24154034
astropy__astropy-8707,3.8805510997772217,0.27480587
astropy__astropy-8872,4.052189826965332,0.36239177
django__django-10097,1.591825246810913,0.21117084
django__django-10554,7.561869144439697,1.0107924
django__django-10880,-1.258065104484558,0.23592594
django__django-10914,-2.5401782989501953,0.30487677
django__django-10973,-1.8121895790100098,0.24861221
django__django-10999,7.628301620483398,1.1810315
django__django-11066,-4.501802444458008,0.51741034
django__django-11087,7.700338363647461,0.9335293
django__django-11095,-2.9098095893859863,0.39769655
django__django-11099,-4.300893783569336,0.44725892
django__django-11119,-4.230549335479736,0.48803678
django__django-11133,-3.7543885707855225,0.4277504
django__django-11138,3.732853651046753,0.3522151
django__django-11141,2.8917088508605957,0.26095736
django__django-11149,2.108872890472412,0.26357767
django__django-11163,-3.85026216506958,0.45323294
django__django-11179,-2.644569158554077,0.4250161
django__django-11206,1.5519652366638184,0.22019264
django__django-11211,-0.7369592189788818,0.22079858
django__django-11239,1.603469729423523,0.24169351
django__django-11265,1.799242615699768,0.28808054
django__django-11276,-1.295519232749939,0.36563516
django__django-11292,-1.7930076122283936,0.2708169
django__django-11299,0.9628487229347229,0.27858853
django__django-11333,0.7819900512695312,0.25158262
django__django-11400,7.663644790649414,1.2636478
django__django-11433,3.294114828109741,0.30604368
django__django-11451,-1.496697187423706,0.28608295
django__django-11477,5.5568647384643555,0.59000164
django__django-11490,1.2458897829055786,0.32274392
django__django-11532,0.9687932729721069,0.19292185
django__django-11551,-2.7942826747894287,0.33423004
django__django-11555,1.3281210660934448,0.18917009
django__django-11603,-3.8019583225250244,0.44807863
django__django-11728,3.6323349475860596,0.34023863
django__django-11734,5.266326427459717,0.53878975
django__django-11740,0.3316205143928528,0.20501408
django__django-11749,-0.8089749217033386,0.21708725
django__django-11790,2.342874526977539,0.25109622
django__django-11815,-0.3920859694480896,0.23964785
django__django-11820,6.319133281707764,0.82265615
