,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
astropy__astropy-12907,1.5545999,-0.17497356,0.20633188,0.15944506,1.6904502,-0.082347825,0.25582555,0.15094529
astropy__astropy-13033,1.3347566,2.6663973,0.17659038,0.49857646,1.0078675,1.859688,0.27412945,0.5553727
astropy__astropy-13236,1.1721339,2.2950876,0.14247513,0.31593522,0.5790267,0.9365748,0.2302187,0.48113796
astropy__astropy-13398,1.5379313,2.8463798,0.22575381,0.78056824,1.1785754,2.2952363,0.32397428,0.8440518
astropy__astropy-13453,1.2210631,0.235301,0.20713586,0.22683632,1.8865038,0.26494002,0.26742208,0.14520665
astropy__astropy-13579,1.5909828,-0.41656375,0.21712776,0.16795571,1.4253608,-0.12682232,0.27005252,0.18910663
astropy__astropy-13977,1.523205,2.9447436,0.23587222,0.765687,1.1960472,2.2568557,0.29632536,0.79903793
astropy__astropy-14096,1.6420134,-0.33346987,0.20607135,0.14109693,0.6894004,0.18664733,0.19876201,0.34290284
astropy__astropy-14182,1.4167508,1.7108705,0.19587371,0.26475126,1.2602733,1.6520493,0.2572102,0.32896715
astropy__astropy-14309,1.4744579,-1.9888332,0.18706286,0.33707577,0.91005373,-0.9065015,0.29868585,0.47773716
astropy__astropy-14365,1.4792776,1.6476778,0.18807447,0.22539695,1.1485097,1.3999385,0.24414222,0.2753644
astropy__astropy-14369,1.4061023,1.2369525,0.20213823,0.20966029,1.4334096,1.1777235,0.21652052,0.2040908
astropy__astropy-14508,1.2884146,0.08141188,0.20767221,0.20270804,1.8630002,0.0976787,0.26166707,0.13591972
astropy__astropy-14539,1.3937896,-0.44945768,0.19179657,0.2091319,1.4206748,-0.19740164,0.25410968,0.18270311
astropy__astropy-14598,1.361967,1.9648211,0.17477709,0.3053853,1.0626514,1.561007,0.24776135,0.3782268
astropy__astropy-14995,1.5635185,-1.1568098,0.17860097,0.21666706,1.0538849,-0.3938402,0.27737048,0.29009187
astropy__astropy-7166,1.3422486,-0.9382359,0.16824736,0.2054671,0.7426258,-0.10747234,0.2185333,0.33280173
astropy__astropy-7336,1.3840395,-1.7628638,0.16103591,0.2745648,0.5976609,-0.260657,0.26582068,0.5301345
astropy__astropy-7606,1.1297473,2.838204,0.11901219,0.35823077,-0.26293316,0.20799449,0.23500058,0.66194224
astropy__astropy-7671,1.1096134,-1.2626191,0.17076167,0.27349135,0.6239743,-0.5973112,0.20090091,0.42263317
astropy__astropy-8707,1.1398433,2.262135,0.14224745,0.33921906,0.4391656,1.1696548,0.20381415,0.5987302
astropy__astropy-8872,1.2213117,2.338614,0.15073484,0.34026676,0.46357584,0.97010404,0.21650109,0.50061065
django__django-10097,0.55740887,0.5995144,0.2143132,0.4276876,0.6589467,1.0658016,0.14266302,0.28331822
django__django-10554,1.482522,2.9499297,0.23764881,0.7908593,1.1975458,2.358472,0.30768177,0.87909216
django__django-10880,1.4349514,-0.5176598,0.17776015,0.18666229,1.0922751,-0.19499448,0.24137858,0.22381814
django__django-10914,1.2888405,-1.1412717,0.183125,0.2696747,1.1434073,-0.7235381,0.27244416,0.2828398
django__django-10973,1.4392343,-0.83262056,0.17579752,0.20018941,0.9692124,-0.2300718,0.2302944,0.2822703
django__django-10999,1.5578825,2.9126132,0.23404497,0.7005135,1.1914392,2.3188107,0.33001617,0.7817291
django__django-11066,1.5212471,-2.0413334,0.20072885,0.35494846,0.9304532,-0.9689536,0.30441287,0.49215102
django__django-11087,1.5153832,2.9390082,0.22576998,0.7941835,1.1990418,2.304713,0.3118492,0.76138353
django__django-11095,1.5860002,-1.2235752,0.20653248,0.25309673,1.3796887,-0.7246193,0.30876875,0.28296643
django__django-11099,1.3813822,-1.9392774,0.1818871,0.3548179,0.89912474,-0.9353855,0.28851393,0.4669422
django__django-11119,1.3818481,-2.161386,0.17662324,0.3452321,0.6523807,-0.6969983,0.29738888,0.5844072
django__django-11133,1.3256564,-1.815206,0.16929576,0.32106993,0.9608213,-0.7787249,0.2814765,0.373918
django__django-11138,1.2792047,1.4454561,0.1939671,0.3238897,1.7548313,1.7547395,0.29169023,0.19908296
django__django-11141,1.2671927,1.515723,0.16346666,0.22719885,0.85897166,0.8975925,0.1914167,0.29874116
django__django-11149,1.4161326,0.88885057,0.20571488,0.18361598,1.083727,0.8610697,0.1878266,0.2228532
django__django-11163,1.5507723,-1.5607941,0.21200931,0.30281124,1.3120406,-0.9471284,0.32106468,0.36014992
django__django-11179,1.622695,-1.0781732,0.19690397,0.19291826,1.3565933,-0.53350735,0.2893687,0.26051426
django__django-11206,0.9600944,0.77757853,0.21865712,0.25066775,0.6510929,0.9087245,0.17275766,0.30158946
django__django-11211,1.8018227,-0.20636642,0.2212575,0.13625294,1.2381324,0.017543148,0.23379445,0.20382813
django__django-11239,0.78772604,0.4859125,0.2582479,0.3763765,1.8409718,0.91028726,0.25401363,0.14255305
django__django-11265,0.95632076,0.91032046,0.18279636,0.24963471,0.7321531,0.81575656,0.16160849,0.2916068
django__django-11276,1.1240857,-0.8631559,0.15507156,0.2097998,0.41089877,0.097197205,0.18341589,0.43926325
django__django-11292,1.6743218,-0.77740556,0.20754656,0.18630566,1.186068,-0.23119254,0.24951892,0.25012183
django__django-11299,1.2178415,0.32040748,0.22060686,0.21291767,1.8258245,0.36967626,0.26096433,0.13862574
django__django-11333,1.4425156,0.3374015,0.21629897,0.19208899,1.7297583,0.36382452,0.23780379,0.15632522
django__django-11400,1.5408975,2.9747145,0.21816808,0.7751589,1.1460443,2.2777011,0.33761853,0.85103023
django__django-11433,1.3127592,1.3793241,0.19708423,0.2549945,1.5563433,1.4808695,0.24792083,0.20573673
django__django-11451,1.327805,-0.8798571,0.16832381,0.20583189,0.7627781,-0.19962017,0.222197,0.32396632
django__django-11477,1.4712695,2.67194,0.16832764,0.47127467,0.7288303,1.6008518,0.2745692,0.7406684
django__django-11490,1.1670115,0.57049495,0.2058309,0.21477607,1.3016245,0.7044304,0.20604499,0.18543151
django__django-11532,1.2218612,0.52044934,0.18782014,0.16951488,0.2765805,0.4344772,0.15813631,0.49792966
django__django-11551,1.450002,-1.1990799,0.19059269,0.26229712,1.270948,-0.82964087,0.27947187,0.2878106
django__django-11555,1.1466259,0.5085543,0.2131105,0.21947226,1.2153556,0.63986135,0.1832456,0.19353634
django__django-11603,1.4977578,-1.7597619,0.19154772,0.28939995,0.9814838,-0.75991374,0.31255654,0.40786558
django__django-11728,1.2337729,1.4026543,0.20965561,0.3150531,1.5005915,1.7313861,0.25939152,0.24963161
django__django-11734,1.5056677,2.2615407,0.19620866,0.38252243,1.0271943,1.6568844,0.27135786,0.47612414
django__django-11740,0.85070986,0.19102089,0.23854774,0.32867604,2.3243747,-0.0175101,0.3189836,0.11664028
django__django-11749,1.5159247,-0.36750478,0.18947452,0.1725533,1.1876776,-0.026520524,0.21792501,0.2229845
django__django-11790,0.69310135,1.2538656,0.18092406,0.48335958,0.16354704,2.5811408,0.073367715,0.6874541
django__django-11815,1.3631747,-0.3028702,0.18621449,0.1726973,0.35286465,0.29200116,0.1700113,0.46277106
django__django-11820,1.4932863,2.5489106,0.20412128,0.51764476,1.2421583,2.0184133,0.31051165,0.58725196
django__django-11848,0.66626346,1.1169151,0.17619161,0.37791556,0.5040031,1.1394936,0.15062802,0.36766183
django__django-11880,1.5752633,-1.672557,0.2185567,0.33317366,1.2523347,-0.9558246,0.3105983,0.3504573
django__django-11885,1.1865197,1.3276185,0.21765669,0.33673447,1.6961049,1.9857863,0.31367445,0.21794835
django__django-11951,1.456084,-0.83921444,0.18383506,0.19863515,1.1961185,-0.4330146,0.25437313,0.24330978
django__django-11964,1.1343031,1.1380498,0.16017617,0.20483783,0.291402,0.5430779,0.15114625,0.4858771
django__django-11999,1.5295593,-0.93411726,0.19146954,0.19016138,0.9711717,-0.24287018,0.23871498,0.31066042
django__django-12039,0.95162964,0.16427884,0.21129405,0.25882825,1.3388311,0.14552239,0.19445553,0.17351107
django__django-12050,1.4044197,-1.0289211,0.18019672,0.2597813,1.4488573,-0.7329545,0.28325632,0.2308958
django__django-12125,1.2361752,0.3887675,0.20396607,0.19518143,1.039862,0.46528128,0.17441453,0.21895632
django__django-12143,1.4555169,-1.8061138,0.18939635,0.3270245,0.99561137,-0.8482927,0.3047785,0.42865163
django__django-12155,1.2000407,-2.1469162,0.1948302,0.4324833,1.1290394,-1.3149511,0.29562795,0.41693717
django__django-12193,0.9903846,-0.07574757,0.18357873,0.2115019,0.15937425,0.34245095,0.14604059,0.63599664
django__django-12209,1.5485308,-0.95005447,0.18524304,0.19344483,0.99492407,-0.19998857,0.24572824,0.3007183
django__django-12262,1.3023013,-0.071803145,0.20373833,0.18183315,1.4455178,-0.017043287,0.24614799,0.16650534
django__django-12273,1.3675716,1.6626954,0.16319837,0.21787202,0.7247375,0.88055426,0.21291505,0.38671276
django__django-12276,1.2717537,-1.1968215,0.1741544,0.26188102,1.0147282,-0.4902871,0.25894943,0.31793866
django__django-12304,1.5498929,-0.089843564,0.20787843,0.16643894,1.4284049,0.08505601,0.23915316,0.17813425
django__django-12308,1.140727,1.6405907,0.15356171,0.23758201,0.47269014,0.7783946,0.17537732,0.41572657
django__django-12325,1.1710461,1.946588,0.13556105,0.25583395,0.23682298,0.54920924,0.18991256,0.6600256
django__django-12406,1.5136119,2.8571029,0.23015852,0.8175566,1.1914722,2.3884916,0.3210154,0.78178626
django__django-12419,1.4501737,-1.7539693,0.16618106,0.25600362,0.4789608,-0.1665102,0.26127684,0.57723176
django__django-12663,1.5431195,0.45746413,0.22143342,0.16070989,1.1842576,0.45046073,0.19938591,0.20960562
django__django-12708,1.2872015,-0.16556953,0.2038712,0.19861452,1.5639175,-0.14520542,0.25894797,0.16201971
django__django-12713,1.3871487,-0.99906117,0.16830933,0.2312087,0.91344076,-0.3535687,0.2415967,0.2820651
