,theta,theta_std
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.930487871170044,0.14387953
20250612_trae,2.928847551345825,0.12595482
20250522_tools_claude-4-opus,2.787000894546509,0.13577917
20250603_Refact_Agent_claude-4-sonnet,2.704838275909424,0.15267187
20250522_tools_claude-4-sonnet,2.6613306999206543,0.121569194
20250715_qodo_command,2.4664535522460938,0.12625268
20250610_augment_agent_v1,2.3976407051086426,0.15042494
20250623_warp,2.3873820304870605,0.15755107
20250519_trae,2.365445613861084,0.12611394
20250710_bloop,2.3489508628845215,0.14058901
20250611_moatless_claude-4-sonnet-20250514,2.281215190887451,0.14941797
20250430_zencoder_ai,2.23417329788208,0.13627207
20250524_openhands_claude_4_sonnet,2.2315447330474854,0.11261008
20250519_devlo,2.2164671421051025,0.1371826
20250515_Refact_Agent,2.157575845718384,0.114508234
20250516_cortexa_o3,1.9641526937484741,0.11456014
20250522_sweagent_claude-4-sonnet-20250514,1.9130394458770752,0.12150707
20250514_aime_coder,1.889760136604309,0.10929274
20250415_openhands,1.7940937280654907,0.105898894
20250316_augment_agent_v0,1.748302698135376,0.10743026
20250405_amazon-q-developer-agent-20250405-dev,1.7321302890777588,0.091747895
20250224_tools_claude-3-7-sonnet,1.6347112655639648,0.12924775
20250716_openhands_kimi_k2,1.6222325563430786,0.087796465
20250117_wandb_programmer_o1_crosscheck5,1.5396085977554321,0.122631654
20250503_patchpilot-v1.1-o4-mini,1.5382263660430908,0.10183665
20250110_blackboxai_agent_v1.1,1.451939344406128,0.115470216
20250225_sweagent_claude-3-7-sonnet,1.447579026222229,0.09590147
20250228_epam-ai-run-claude-3-5-sonnet,1.360992431640625,0.119372904
20250206_agentscope,1.294529676437378,0.11619952
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,1.291123390197754,0.11732024
20250203_openhands_4x_scaled,1.2045565843582153,0.11289667
20250110_learn_by_interact_claude3.5,1.0480284690856934,0.10893916
20241213_devlo,1.0078409910202026,0.09139415
20250405_swe-rizzo_claude37,0.983832061290741,0.09318189
20241223_emergent,0.9101371169090271,0.107703
20250629_deepswerl_r2eagent_tts,0.8980739116668701,0.11262632
20250410_cortexa,0.8521541953086853,0.11066993
20241202_amazon-q-developer-agent-20241202-dev,0.8047581315040588,0.09169416
20241208_gru,0.7656965255737305,0.13036859
20241212_epam-ai-run-claude-3-5-sonnet,0.7543365955352783,0.11441772
20241108_devlo,0.7072262167930603,0.09900172
20250120_Bracket,0.6320550441741943,0.08564864
20241212_google_jules_gemini_2.0_flash_experimental,0.6115303635597229,0.088235825
20241125_enginelabs,0.5672799944877625,0.10078284
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.5408322215080261,0.07882115
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.5294325351715088,0.113075055
20241125_marscode-agent-dev,0.46523383259773254,0.07660503
20241028_solver,0.4043528735637665,0.11993212
20241022_tools_claude-3-5-sonnet-updated,0.40432801842689514,0.09047126
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.37046173214912415,0.068586215
20241025_composio_swekit,0.3608408272266388,0.1091224
20241105_nfactorial,0.31510311365127563,0.09761235
20250528_patchpilot_Co-PatcheR,0.1872343271970749,0.11025853
20250616_Skywork-SWE-32B+TTS_Bo8,0.16409459710121155,0.084614486
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.10535567998886108,0.092094794
20241106_navie-2-gpt4o-sonnet,0.09711501002311707,0.07519082
20241023_emergent,0.09686260670423508,0.086349376
20250520_openhands_devstral_small,0.09100756794214249,0.0992243
20240924_solver,-0.02112419344484806,0.112978905
20240824_gru,-0.031396057456731796,0.09620619
20240920_solver,-0.08589881658554077,0.093392275
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.10063257813453674,0.10752694
20241030_nfactorial,-0.12025009095668793,0.101797886
20250629_deepswerl_r2eagent,-0.15236572921276093,0.10625405
20250527_amazon.nova-premier-v1.0,-0.1798662692308426,0.1095273
20250214_agentless_lite_o3_mini,-0.2057274878025055,0.10673023
20241022_tools_claude-3-5-haiku,-0.24739719927310944,0.1034548
20250511_sweagent_lm_32b,-0.2521948218345642,0.07189692
20250226_swerl_llama3_70b,-0.26903650164604187,0.10424734
20241113_nebius-search-open-weight-models-11-24,-0.28409522771835327,0.07579546
20241016_composio_swekit,-0.2894325256347656,0.10897553
20240820_honeycomb,-0.335540235042572,0.1322242
20250112_ugaiforge,-0.3512016236782074,0.06878451
20241029_epam-ai-run-claude-3-5-sonnet,-0.3849591016769409,0.09968844
20250616_Skywork-SWE-32B,-0.4225005805492401,0.12655626
20240721_amazon-q-developer-agent-20240719-dev,-0.47883275151252747,0.1090429
20240628_autocoderover-v20240620,-0.48951682448387146,0.082202256
20241028_agentless-1.5_gpt4o,-0.5018033981323242,0.098331176
20240617_factory_code_droid,-0.6061683297157288,0.09719914
