,a,b,a_std,b_std
astropy__astropy-12907,2.271085262298584,-0.13334712386131287,0.33201534,0.14659122
astropy__astropy-13033,1.0566456317901611,5.176045894622803,0.17150319,0.6661093
astropy__astropy-13236,0.6368473172187805,4.760286808013916,0.083206296,0.82633597
astropy__astropy-13398,1.7182554006576538,5.520971298217773,0.37106758,0.7769108
astropy__astropy-13453,1.7536836862564087,0.6637864112854004,0.2770033,0.17018564
astropy__astropy-13579,2.0318005084991455,-0.33415716886520386,0.2883841,0.14051662
astropy__astropy-13977,1.5908522605895996,5.485899925231934,0.30613595,0.9570183
astropy__astropy-14096,1.8733007907867432,-0.5356754064559937,0.2549828,0.18560089
astropy__astropy-14182,1.5141946077346802,3.6541929244995117,0.23548536,0.3051464
astropy__astropy-14309,1.456323504447937,-3.1775543689727783,0.2197244,0.3832964
astropy__astropy-14365,1.4704790115356445,3.3461856842041016,0.2485152,0.34583238
astropy__astropy-14369,1.8931031227111816,2.5294618606567383,0.25735626,0.21664773
astropy__astropy-14508,1.833317518234253,0.3433258533477783,0.2775269,0.16199882
astropy__astropy-14539,1.736388921737671,-0.5276574492454529,0.25130096,0.12331408
astropy__astropy-14598,1.1660645008087158,4.717626571655273,0.20961338,0.5280409
astropy__astropy-14995,1.5680540800094604,-1.3361772298812866,0.2467946,0.19074357
astropy__astropy-7166,0.913589358329773,-1.2177220582962036,0.18164848,0.32178366
astropy__astropy-7336,1.0139180421829224,-2.7064859867095947,0.14294153,0.3852753
astropy__astropy-7606,0.4733346700668335,5.970930099487305,0.051080093,0.71865326
astropy__astropy-7671,0.8415383696556091,-2.4066107273101807,0.11002801,0.389304
astropy__astropy-8707,0.47171977162361145,5.4876708984375,0.053968787,0.51286584
astropy__astropy-8872,0.6895118355751038,5.463942050933838,0.108111784,0.5291701
django__django-10097,0.3583647608757019,2.3540713787078857,0.10659766,0.68041337
django__django-10554,1.8590924739837646,5.628288269042969,0.3114596,1.130139
django__django-10880,1.279204249382019,-0.7520055770874023,0.23294386,0.16754413
django__django-10914,1.1908248662948608,-1.7685242891311646,0.21400072,0.25666454
django__django-10973,1.4974124431610107,-0.9125787019729614,0.22617133,0.20923476
django__django-10999,1.6240026950836182,5.663844585418701,0.2867515,1.1460747
django__django-11066,1.5448014736175537,-3.2537195682525635,0.27352625,0.43011472
django__django-11087,1.740136981010437,5.381344795227051,0.3636546,0.5113362
django__django-11095,2.1906657218933105,-1.8471027612686157,0.33889973,0.1878652
django__django-11099,1.17646324634552,-3.2150495052337646,0.19194338,0.49311936
django__django-11119,1.262701392173767,-3.4178576469421387,0.19633104,0.41478154
django__django-11133,1.0574843883514404,-2.761730909347534,0.21945761,0.39571965
django__django-11138,1.5052542686462402,3.7057502269744873,0.29357657,0.38539627
django__django-11141,0.8996694087982178,3.0313687324523926,0.14198422,0.3265147
django__django-11149,1.3140212297439575,1.7409836053848267,0.23365599,0.25712907
django__django-11163,1.8771324157714844,-2.384190320968628,0.27419412,0.28258705
django__django-11179,1.9948722124099731,-1.4831809997558594,0.27163732,0.21303374
django__django-11206,0.6084334254264832,2.1001687049865723,0.10833438,0.3985444
django__django-11211,2.2841293811798096,-0.3440198302268982,0.3084881,0.11853041
django__django-11239,1.3595657348632812,1.681972622871399,0.23044124,0.18206981
django__django-11265,0.7133539915084839,1.6957545280456543,0.13349023,0.25914565
django__django-11276,0.5591459274291992,-1.15995454788208,0.11721215,0.28557158
django__django-11292,1.8910956382751465,-0.9489529728889465,0.29897505,0.17643419
django__django-11299,1.7482895851135254,0.9691022634506226,0.2715876,0.20164841
django__django-11333,1.9257218837738037,0.8810926079750061,0.20754984,0.13822053
django__django-11400,1.723525047302246,5.710663795471191,0.42494184,0.8005076
django__django-11433,1.5150026082992554,3.377741575241089,0.34318516,0.35554665
django__django-11451,1.3312339782714844,-1.4959417581558228,0.16552402,0.2085477
django__django-11477,1.2965087890625,4.77631950378418,0.16168733,0.7129357
django__django-11490,1.3052864074707031,1.214533805847168,0.21706344,0.1980792
django__django-11532,0.4005645513534546,1.285784125328064,0.10092242,0.35003206
django__django-11551,1.658827543258667,-1.8314087390899658,0.2941949,0.33590037
django__django-11555,1.1088595390319824,1.1461031436920166,0.17821673,0.16830298
django__django-11603,1.4979194402694702,-2.56353497505188,0.21392334,0.31402615
django__django-11728,1.23062264919281,4.06627082824707,0.20594953,0.33179915
django__django-11734,1.5828392505645752,4.073240756988525,0.27549872,0.37040684
django__django-11740,1.6918197870254517,0.5077555775642395,0.22289993,0.15343715
django__django-11749,1.5408751964569092,-0.452767550945282,0.26125652,0.14969128
django__django-11790,0.32780933380126953,4.794161319732666,0.054362327,0.9080428
django__django-11815,0.8299383521080017,-0.4120664894580841,0.19447291,0.25252193
django__django-11820,1.5908386707305908,5.735257148742676,0.3845376,0.97420084
django__django-11848,0.2786857485771179,3.5194339752197266,0.06668693,0.6140739
django__django-11880,1.7701491117477417,-2.468600273132324,0.3038474,0.28445575
django__django-11885,1.6840614080429077,3.980785846710205,0.19370507,0.46088606
django__django-11951,1.5099244117736816,-1.0033421516418457,0.17731404,0.23248589
django__django-11964,0.5701541900634766,1.9245096445083618,0.10814449,0.366544
django__django-11999,1.3214821815490723,-1.083416223526001,0.2509759,0.26408613
django__django-12039,1.0115236043930054,0.42483440041542053,0.16760227,0.22178562
django__django-12050,1.7181203365325928,-1.6642757654190063,0.23276007,0.1745071
django__django-12125,1.0474984645843506,1.1041431427001953,0.21282339,0.22269781
django__django-12143,1.5343053340911865,-2.7709803581237793,0.2645166,0.37628788
django__django-12155,0.9841812252998352,-3.8868696689605713,0.17007282,0.5383935
django__django-12193,0.2883751690387726,-0.4684423506259918,0.11944146,0.4860146
django__django-12209,1.298276424407959,-1.072090744972229,0.25963062,0.16665687
django__django-12262,1.4070713520050049,0.14845672249794006,0.23785049,0.17165408
django__django-12273,1.105161428451538,3.1113336086273193,0.14536202,0.2290886
django__django-12276,1.0341373682022095,-1.7064650058746338,0.1901641,0.31766734
django__django-12304,1.841456651687622,0.02643662318587303,0.31613994,0.1346139
django__django-12308,0.6552174687385559,3.728281259536743,0.0833282,0.45287144
django__django-12325,0.49355989694595337,3.8496031761169434,0.09021242,0.49116647
django__django-12406,1.678064227104187,5.445267200469971,0.34719366,1.1018454
django__django-12419,1.1362078189849854,-2.6342506408691406,0.13242848,0.35437834
django__django-12663,1.5305296182632446,1.0068124532699585,0.2612984,0.17511657
django__django-12708,1.5756335258483887,-0.23323042690753937,0.3164923,0.18257537
django__django-12713,1.1767593622207642,-1.398884892463684,0.2020813,0.28255236
django__django-12741,1.3271962404251099,-0.21779802441596985,0.22017363,0.16605127
django__django-12754,1.750279188156128,1.1971169710159302,0.25671944,0.16941115
django__django-12774,1.6719694137573242,0.910317063331604,0.3194121,0.1629017
django__django-12858,1.49809992313385,-0.12610775232315063,0.21044895,0.14167038
django__django-12965,2.102890968322754,1.2520620822906494,0.3649424,0.12608406
django__django-13012,1.1706188917160034,-0.24415495991706848,0.22496398,0.25343823
django__django-13023,1.7128372192382812,0.8798975944519043,0.22574425,0.1448734
django__django-13028,1.7570276260375977,-0.8030575513839722,0.28323776,0.23563576
django__django-13033,1.813957929611206,0.37797054648399353,0.29331583,0.15001714
django__django-13089,1.52735435962677,-2.8027193546295166,0.22704566,0.35617554
django__django-13109,1.868356466293335,-2.64555025100708,0.28671235,0.33683747
django__django-13112,1.8520238399505615,1.2936965227127075,0.2223852,0.1603154
django__django-13121,1.9504823684692383,0.8384663462638855,0.22091305,0.19040954
django__django-13128,2.0487098693847656,1.0402902364730835,0.3263152,0.147285
django__django-13158,1.7539104223251343,0.4782196283340454,0.2736118,0.108150244
django__django-13195,1.682395577430725,5.673160076141357,0.3421183,0.8537549
django__django-13212,1.650750994682312,5.7764410972595215,0.35210356,1.0772192
django__django-13279,1.4465550184249878,-0.14352697134017944,0.22415194,0.13960342
django__django-13297,2.0584256649017334,0.9965674877166748,0.23771633,0.13425806
django__django-13315,1.3401035070419312,-0.022113660350441933,0.15377866,0.18036646
django__django-13343,1.179890751838684,-0.3286115825176239,0.19773483,0.21498449
django__django-13344,1.7179797887802124,6.026033401489258,0.2864267,0.3881778
django__django-13346,1.6100451946258545,0.9882282614707947,0.256135,0.19416115
django__django-13363,1.541980504989624,-2.0034074783325195,0.26528344,0.2056566
django__django-13401,1.2082237005233765,-0.23460794985294342,0.21807519,0.22694325
django__django-13406,1.6604593992233276,0.5250616669654846,0.2883763,0.22002652
django__django-13410,1.4742873907089233,-2.186591625213623,0.20912452,0.2565974
django__django-13417,1.7534526586532593,-1.0405782461166382,0.20913562,0.20363006
django__django-13449,1.9283926486968994,0.4074013829231262,0.28165272,0.15411839
django__django-13512,1.6024376153945923,1.690847635269165,0.22650266,0.16705407
django__django-13513,1.6121002435684204,5.564148902893066,0.40266785,0.873057
django__django-13516,2.0707006454467773,-1.2392197847366333,0.30466056,0.19633947
django__django-13551,1.2302541732788086,1.34150230884552,0.21790028,0.18162669
django__django-13568,1.359342098236084,1.6146563291549683,0.21984154,0.24808367
django__django-13569,1.5682493448257446,-0.5333678126335144,0.22938251,0.13077877
django__django-13590,1.321890950202942,-0.5230564475059509,0.20943315,0.24162737
django__django-13658,1.2815067768096924,-4.156955718994141,0.21804833,0.45304456
django__django-13670,1.3941388130187988,-2.0444092750549316,0.21525605,0.24375023
django__django-13741,1.1983418464660645,-2.6794774532318115,0.18737566,0.3198617
django__django-13786,1.4662879705429077,-1.915977954864502,0.17529926,0.18127757
django__django-13794,0.8194546103477478,5.463474273681641,0.11129208,0.46577227
django__django-13807,1.4400383234024048,1.928069829940796,0.19470198,0.20335454
django__django-13809,0.7011159658432007,-1.33815336227417,0.19710758,0.31372204
django__django-13810,1.012433409690857,-0.8216167092323303,0.1657671,0.23011677
django__django-13820,1.6263960599899292,-2.0042381286621094,0.31506434,0.2579935
django__django-13821,1.5954020023345947,-1.6636741161346436,0.30973762,0.16302782
django__django-13837,1.3751020431518555,-0.8016175627708435,0.16694246,0.20769629
django__django-13925,0.8225950598716736,1.2080601453781128,0.13877572,0.19837844
django__django-13933,1.3707681894302368,-1.319628119468689,0.26018873,0.23003766
django__django-13964,1.1944202184677124,0.5160679817199707,0.18811329,0.16979131
django__django-14007,1.7380173206329346,0.0009984541684389114,0.30342123,0.169812
django__django-14011,1.6165518760681152,5.544243335723877,0.37363678,0.70658004
django__django-14017,1.7030941247940063,0.03058292716741562,0.3357299,0.16508128
django__django-14034,1.7586241960525513,5.921799659729004,0.37867275,0.7871124
django__django-14053,0.7158298492431641,-1.3744012117385864,0.13903734,0.28245845
django__django-14089,1.6066805124282837,-2.887272834777832,0.2297698,0.3296412
django__django-14122,1.4124298095703125,0.11599085479974747,0.24867752,0.18884416
django__django-14140,0.41758236289024353,3.2660608291625977,0.07155398,0.7289001
django__django-14155,1.5796140432357788,5.602862358093262,0.37742966,0.9832402
django__django-14170,1.4919984340667725,4.760573863983154,0.25407994,0.71173584
django__django-14238,1.6398794651031494,-1.0128415822982788,0.30932844,0.20064338
django__django-14311,1.867872953414917,0.8833487033843994,0.2871982,0.15423729
django__django-14315,1.2354680299758911,3.9021716117858887,0.22150874,0.37019008
django__django-14349,1.6962647438049316,-1.2208077907562256,0.28060746,0.24421293
django__django-14351,1.0218738317489624,1.4994577169418335,0.17691231,0.24264625
django__django-14373,1.970370888710022,-3.615757465362549,0.37893295,0.35819393
django__django-14376,1.0323749780654907,2.8264551162719727,0.19954148,0.39228585
django__django-14404,1.1631730794906616,2.0693581104278564,0.18357569,0.19967881
django__django-14434,1.6430137157440186,-0.26318293809890747,0.2265841,0.20475848
django__django-14493,1.6159334182739258,-1.164548635482788,0.26483786,0.18988396
django__django-14500,0.8050740361213684,-0.6441593766212463,0.17052017,0.326992
django__django-14534,1.4041938781738281,4.1284284591674805,0.25747404,0.4024852
django__django-14539,1.3584555387496948,-0.9733165502548218,0.20024954,0.19279015
django__django-14559,0.8303377032279968,-0.4630563259124756,0.14902806,0.27463108
django__django-14580,1.621785283088684,0.8825854063034058,0.28801525,0.15337893
django__django-14608,1.2700562477111816,-0.37143468856811523,0.18429232,0.19078133
django__django-14631,1.079106092453003,1.5574862957000732,0.25675187,0.22840899
django__django-14672,1.3973921537399292,-1.7595423460006714,0.1987972,0.21524829
django__django-14725,1.657057285308838,3.7437777519226074,0.2833389,0.35654092
django__django-14752,1.9694325923919678,-2.342538833618164,0.2901445,0.34098595
django__django-14765,1.2125805616378784,-2.4815456867218018,0.23243038,0.34113312
django__django-14771,1.1166207790374756,0.7535804510116577,0.25351664,0.19325422
django__django-14787,1.862683892250061,-0.8563140630722046,0.28393543,0.11882864
django__django-14792,1.6071290969848633,5.554352283477783,0.3902535,0.95949507
django__django-14855,1.474242925643921,-3.186452627182007,0.25742275,0.4117908
django__django-14915,1.767346739768982,-2.250532388687134,0.27876958,0.26888096
django__django-14999,0.7132446765899658,-0.04357653856277466,0.14112243,0.37111413
django__django-15022,0.844678521156311,0.04060434550046921,0.18484545,0.29564533
django__django-15037,1.5244207382202148,0.6884865164756775,0.22280973,0.15665077
django__django-15098,1.6029585599899292,4.402970790863037,0.32564223,0.53615826
django__django-15103,1.4353368282318115,-0.5433767437934875,0.27912438,0.1829401
django__django-15104,1.7759690284729004,-2.8264527320861816,0.35396478,0.31321082
django__django-15127,0.7375597953796387,2.8988659381866455,0.12988201,0.37416103
django__django-15128,1.5629419088363647,0.5264925956726074,0.22463048,0.16477259
django__django-15161,1.1311149597167969,0.8885431885719299,0.17998269,0.20692065
django__django-15252,1.6836196184158325,5.530257225036621,0.35484198,0.9697389
django__django-15268,1.432519555091858,0.9959121346473694,0.23450765,0.21395525
django__django-15277,1.720698356628418,-2.2723400592803955,0.23420268,0.26750243
django__django-15278,1.8227165937423706,-0.7753112316131592,0.34400713,0.18340814
django__django-15280,1.6884230375289917,3.332092046737671,0.23879229,0.35666016
django__django-15315,1.45188570022583,-1.7053184509277344,0.22073466,0.19113874
django__django-15368,1.8579020500183105,-2.2237772941589355,0.41504428,0.30693385
django__django-15375,1.9166698455810547,1.2751296758651733,0.29129875,0.14279254
django__django-15380,1.0988872051239014,-0.615993857383728,0.18849368,0.22659667
django__django-15382,2.0665903091430664,0.11318246275186539,0.2676802,0.13272326
django__django-15467,1.6220309734344482,-2.70084810256958,0.30680498,0.27636576
django__django-15499,1.5274720191955566,-1.4158759117126465,0.17970335,0.21205792
django__django-15503,1.9533209800720215,2.751375913619995,0.3241239,0.24632277
django__django-15525,1.695451259613037,0.3628862798213959,0.26536977,0.15177329
django__django-15554,1.801419734954834,2.1341159343719482,0.23041981,0.16712669
django__django-15561,1.8891431093215942,-0.7163693904876709,0.26001838,0.22408514
django__django-15563,1.1127231121063232,3.3292293548583984,0.1880578,0.4136145
django__django-15569,1.6325894594192505,-2.1012115478515625,0.27346456,0.36178762
django__django-15572,1.1385765075683594,-0.9411571025848389,0.22540127,0.18940999
django__django-15629,1.6895827054977417,5.623109817504883,0.42145047,1.1045872
django__django-15695,1.1047844886779785,3.5205869674682617,0.20863354,0.38961828
django__django-15731,1.0787994861602783,-2.036160707473755,0.20562157,0.24501342
django__django-15732,0.6458011269569397,4.082924842834473,0.09153688,0.48296988
django__django-15741,1.8555790185928345,-1.8444147109985352,0.2836531,0.1992298
django__django-15814,1.597986102104187,-0.4645390510559082,0.2541961,0.16849759
django__django-15851,1.7149235010147095,-1.6721038818359375,0.26399127,0.20885941
django__django-15863,1.5764881372451782,-0.867733359336853,0.20307383,0.13554801
django__django-15916,1.3150526285171509,1.7466915845870972,0.25985524,0.20724735
django__django-15930,1.7184895277023315,0.25150561332702637,0.27467743,0.18768378
django__django-15957,1.465334177017212,4.304605960845947,0.29094565,0.4650514
django__django-15973,1.5211210250854492,4.40759801864624,0.30220634,0.63839847
django__django-15987,0.3274761438369751,-1.6062753200531006,0.08737786,0.549359
django__django-16032,1.9851089715957642,0.4576125741004944,0.37082666,0.19367981
django__django-16082,1.6876533031463623,0.03646361827850342,0.22009397,0.18437101
django__django-16100,1.118109107017517,-0.4976441264152527,0.14431578,0.23385133
django__django-16116,1.433106541633606,-0.8128580451011658,0.19609159,0.16718622
django__django-16136,1.5850720405578613,-0.3899179995059967,0.31140816,0.14965905
django__django-16139,1.299731969833374,-2.99762225151062,0.21257433,0.3999951
django__django-16145,1.2165844440460205,-1.6900142431259155,0.1916531,0.23094197
django__django-16255,0.9963585138320923,-3.5682156085968018,0.1696472,0.50449604
django__django-16256,1.6048821210861206,5.546947956085205,0.34694105,0.77424
django__django-16263,1.5405315160751343,5.670408248901367,0.40057448,1.0809844
django__django-16315,1.0534113645553589,1.7182214260101318,0.17728333,0.21440959
django__django-16333,1.553180456161499,-2.2151939868927,0.29373646,0.28590438
django__django-16429,1.503449559211731,-2.5582261085510254,0.21810597,0.31552896
django__django-16454,0.6476393938064575,2.586224317550659,0.08789897,0.32243818
django__django-16485,1.421366810798645,-1.869517207145691,0.25135034,0.27297872
django__django-16493,1.8392912149429321,-1.3974181413650513,0.25187474,0.21273786
django__django-16502,2.095396041870117,5.725788116455078,0.14102495,0.9578264
django__django-16527,1.2617911100387573,-3.3623037338256836,0.18975988,0.41968942
django__django-16560,1.080159068107605,2.0696725845336914,0.2317035,0.1982926
django__django-16569,0.9574731588363647,-3.97047758102417,0.14494112,0.70146
django__django-16595,1.3566805124282837,-2.1681320667266846,0.22607674,0.34085342
django__django-16612,1.336317539215088,-1.7718369960784912,0.18480015,0.20861422
django__django-16631,1.6889545917510986,5.478190898895264,0.39202178,0.94132876
django__django-16642,0.9475902915000916,-0.022970201447606087,0.21465012,0.23270658
django__django-16661,1.2654287815093994,0.7117591500282288,0.24037991,0.19711158
django__django-16662,1.4681273698806763,-1.484354853630066,0.20546274,0.21201473
django__django-16667,1.5798860788345337,5.92034912109375,0.38436645,0.47726712
django__django-16801,1.4721801280975342,-2.512692928314209,0.21153413,0.37955928
django__django-16819,1.7475110292434692,-0.631678581237793,0.3143898,0.17126252
django__django-16877,0.5988067984580994,1.0318547487258911,0.15943529,0.32525495
django__django-16899,1.3367812633514404,-0.8473684191703796,0.19429564,0.1676609
django__django-16901,1.6086161136627197,-0.31419166922569275,0.26760095,0.15703589
django__django-16938,0.8171384334564209,3.0279622077941895,0.1206754,0.41251624
django__django-16950,1.7075225114822388,2.42800235748291,0.29327998,0.20293015
django__django-17029,1.1556416749954224,-2.7718091011047363,0.18713772,0.38756344
django__django-17084,1.2849539518356323,1.7240129709243774,0.26551467,0.19087547
django__django-17087,2.021688222885132,-0.07007020711898804,0.28190365,0.15316074
django__django-7530,0.7433867454528809,-2.009167194366455,0.14317419,0.36124182
django__django-9296,1.3353489637374878,-3.021517753601074,0.20761588,0.34418082
matplotlib__matplotlib-13989,1.8233946561813354,-0.8080078363418579,0.2585463,0.16793191
matplotlib__matplotlib-14623,1.650739312171936,1.0038381814956665,0.24678789,0.18737811
matplotlib__matplotlib-20488,0.7898470163345337,3.667649984359741,0.12530011,0.39388746
matplotlib__matplotlib-20676,0.9987149238586426,2.7423343658447266,0.17915343,0.38625
matplotlib__matplotlib-20826,0.9932929277420044,1.7459220886230469,0.14740011,0.24174215
matplotlib__matplotlib-20859,1.0809561014175415,-0.4772965610027313,0.1472258,0.19798645
matplotlib__matplotlib-21568,1.5408353805541992,4.649491310119629,0.26040667,0.44647107
matplotlib__matplotlib-22719,1.5597052574157715,-2.5967612266540527,0.12733868,0.21016926
matplotlib__matplotlib-22865,1.4696927070617676,1.2686282396316528,0.24456377,0.18863584
matplotlib__matplotlib-22871,1.2803928852081299,1.5676507949829102,0.22456951,0.19878691
matplotlib__matplotlib-23299,0.7870399951934814,4.278827667236328,0.13238169,0.35431588
matplotlib__matplotlib-23314,1.1598910093307495,-0.6216703653335571,0.19647093,0.16168216
matplotlib__matplotlib-23412,1.4825900793075562,-0.9823606014251709,0.22416508,0.20205683
matplotlib__matplotlib-23476,1.3263639211654663,4.894592761993408,0.32512867,0.7015441
matplotlib__matplotlib-24026,0.9269059896469116,-1.2887470722198486,0.14571494,0.2755936
matplotlib__matplotlib-24149,1.239656925201416,-0.8929141759872437,0.19035828,0.1979821
matplotlib__matplotlib-24177,1.7607150077819824,4.114520072937012,0.34691143,0.35490298
matplotlib__matplotlib-24570,0.5554723143577576,-1.1910465955734253,0.13166901,0.35322762
matplotlib__matplotlib-24627,1.124786376953125,0.33618900179862976,0.17693813,0.20562527
matplotlib__matplotlib-24637,1.196698784828186,0.2438279241323471,0.17673714,0.23864302
matplotlib__matplotlib-24870,1.72539222240448,5.566699504852295,0.2690271,0.67264116
matplotlib__matplotlib-24970,1.7060911655426025,-1.0316392183303833,0.25698042,0.19820732
matplotlib__matplotlib-25122,1.1568254232406616,-1.7117747068405151,0.19037563,0.25894192
matplotlib__matplotlib-25287,1.3149781227111816,-1.2674896717071533,0.18823007,0.23584563
matplotlib__matplotlib-25311,1.624876618385315,0.9170462489128113,0.19674121,0.14609139
matplotlib__matplotlib-25332,0.8600749373435974,0.7884557247161865,0.17338069,0.2635686
matplotlib__matplotlib-25479,1.6730064153671265,5.418402671813965,0.409962,1.2094332
matplotlib__matplotlib-25775,0.7442471981048584,1.0001683235168457,0.14715533,0.29426447
matplotlib__matplotlib-25960,1.638348937034607,4.054320812225342,0.31828582,0.49644694
matplotlib__matplotlib-26113,1.17191481590271,-1.5228073596954346,0.18734542,0.210111
matplotlib__matplotlib-26208,1.4217419624328613,4.462916374206543,0.26968232,0.46486458
matplotlib__matplotlib-26291,0.7946277856826782,0.7870547771453857,0.19246414,0.23583104
matplotlib__matplotlib-26342,1.6136455535888672,-0.8292950391769409,0.23412587,0.18431711
matplotlib__matplotlib-26466,1.6481462717056274,5.460871696472168,0.3694759,0.9797393
mwaskom__seaborn-3069,1.5678497552871704,1.5966869592666626,0.22260305,0.17114037
mwaskom__seaborn-3187,1.701417088508606,3.353914499282837,0.30179897,0.3445923
pallets__flask-5014,1.147912621498108,-2.3045969009399414,0.20423095,0.28289932
psf__requests-1142,0.934945285320282,0.5088109970092773,0.14693283,0.31287056
psf__requests-1724,0.29499781131744385,-1.5264664888381958,0.08755967,0.6249549
psf__requests-1766,0.5872550010681152,-1.8685663938522339,0.12769648,0.35790855
psf__requests-1921,0.4031740427017212,-0.2299797683954239,0.11619662,0.31160584
psf__requests-2317,0.5077762603759766,-0.9880781173706055,0.14296316,0.38151076
psf__requests-2931,0.5829740762710571,1.9948279857635498,0.1437087,0.3153493
psf__requests-5414,1.3461074829101562,0.5308223366737366,0.24828391,0.26061308
psf__requests-6028,1.4981337785720825,4.953336715698242,0.25522548,0.41712368
pydata__xarray-2905,1.2794091701507568,0.47081178426742554,0.21667656,0.20370594
pydata__xarray-3095,1.855519413948059,0.47300079464912415,0.29090074,0.15079695
pydata__xarray-3151,2.059490442276001,-0.5361216068267822,0.30244064,0.13472827
pydata__xarray-3305,1.108690857887268,-0.6402749419212341,0.18344185,0.19656052
pydata__xarray-3677,1.8155031204223633,-1.4783893823623657,0.22250052,0.21696855
pydata__xarray-3993,1.2985810041427612,1.121760606765747,0.25672323,0.16753422
pydata__xarray-4075,1.7547543048858643,-2.259145498275757,0.28803158,0.30510467
pydata__xarray-4094,1.2067108154296875,1.0251216888427734,0.23966943,0.14512058
pydata__xarray-4356,1.4400774240493774,-1.4881794452667236,0.27520004,0.19364499
pydata__xarray-4629,1.8819586038589478,-3.0409393310546875,0.31409732,0.33163399
pydata__xarray-4687,1.3129031658172607,2.1845359802246094,0.21864098,0.24461614
pydata__xarray-4695,1.2897210121154785,1.278890609741211,0.25875604,0.15811455
pydata__xarray-4966,1.5714435577392578,-1.0532450675964355,0.263151,0.21814328
