,theta,theta_std
20250612_trae,2.3900208473205566,0.1342959
20250603_Refact_Agent_claude-4-sonnet,2.3451356887817383,0.13685018
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.3379387855529785,0.13941617
20250522_tools_claude-4-opus,2.1428303718566895,0.1809608
20250611_moatless_claude-4-sonnet-20250514,1.9860529899597168,0.13916951
20250715_qodo_command,1.971146583557129,0.16200452
20250710_bloop,1.9614613056182861,0.17159472
20250522_tools_claude-4-sonnet,1.9560110569000244,0.19704944
20250519_trae,1.9133083820343018,0.16507441
20250623_warp,1.8921867609024048,0.14267816
20250524_openhands_claude_4_sonnet,1.8814057111740112,0.13038224
20250430_zencoder_ai,1.8811341524124146,0.117902055
20250610_augment_agent_v1,1.8064792156219482,0.13857092
20250515_Refact_Agent,1.7804049253463745,0.11411686
20250519_devlo,1.7137290239334106,0.15476368
20250516_cortexa_o3,1.5805999040603638,0.15513471
20250514_aime_coder,1.4104902744293213,0.16309161
20250522_sweagent_claude-4-sonnet-20250514,1.324175477027893,0.16764864
20250316_augment_agent_v0,1.2869958877563477,0.13705966
20250716_openhands_kimi_k2,1.244226098060608,0.16512012
20250415_openhands,1.130464792251587,0.14817414
20250117_wandb_programmer_o1_crosscheck5,1.1116520166397095,0.14137393
20250405_amazon-q-developer-agent-20250405-dev,1.0909674167633057,0.1676364
20250503_patchpilot-v1.1-o4-mini,1.0890346765518188,0.1289089
20250228_epam-ai-run-claude-3-5-sonnet,0.96725994348526,0.17077738
20250206_agentscope,0.9457759261131287,0.1492479
20250224_tools_claude-3-7-sonnet,0.9089587926864624,0.12994432
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.8743022680282593,0.13071378
20250110_blackboxai_agent_v1.1,0.8423560857772827,0.14426313
20250203_openhands_4x_scaled,0.8365496397018433,0.14852254
20250225_sweagent_claude-3-7-sonnet,0.827470600605011,0.101124436
20250110_learn_by_interact_claude3.5,0.740828275680542,0.15841115
20250410_cortexa,0.5452382564544678,0.1251224
20250629_deepswerl_r2eagent_tts,0.4390920102596283,0.15061189
20241223_emergent,0.39961254596710205,0.12371682
20241213_devlo,0.39403024315834045,0.14544989
20250405_swe-rizzo_claude37,0.2644042670726776,0.11782927
20241208_gru,0.24361552298069,0.16595048
20241212_epam-ai-run-claude-3-5-sonnet,0.23838327825069427,0.09554047
20241202_amazon-q-developer-agent-20241202-dev,0.16263455152511597,0.12955458
20241108_devlo,0.053001441061496735,0.18284962
20241212_google_jules_gemini_2.0_flash_experimental,-0.045366670936346054,0.113505386
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,-0.08098188787698746,0.15101051
20250120_Bracket,-0.084368497133255,0.14584681
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,-0.214421346783638,0.13267615
20241202_agentless-1.5_claude-3.5-sonnet-20241022,-0.2705977261066437,0.102005854
20241028_solver,-0.31284821033477783,0.12456734
20241125_enginelabs,-0.31998583674430847,0.108637124
20241105_nfactorial,-0.3447006940841675,0.13429794
20241125_marscode-agent-dev,-0.39735129475593567,0.15573317
20241022_tools_claude-3-5-sonnet-updated,-0.40758630633354187,0.11804263
20241025_composio_swekit,-0.47339770197868347,0.122526735
20250616_Skywork-SWE-32B+TTS_Bo8,-0.6442950367927551,0.09144533
20241106_navie-2-gpt4o-sonnet,-0.701956033706665,0.14896621
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.7109593152999878,0.12732469
20241023_emergent,-0.7113657593727112,0.13745843
20240924_solver,-0.7362403273582458,0.1293429
20250528_patchpilot_Co-PatcheR,-0.75445157289505,0.14388157
20250520_openhands_devstral_small,-0.7663134336471558,0.11651559
20240824_gru,-0.8117901682853699,0.10207896
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.8614952564239502,0.17450488
20240920_solver,-0.8716609477996826,0.17948952
20240820_honeycomb,-1.057104229927063,0.13678925
20250214_agentless_lite_o3_mini,-1.0642155408859253,0.14380874
20250226_swerl_llama3_70b,-1.0967228412628174,0.10622297
20241016_composio_swekit,-1.1064999103546143,0.15782817
20250629_deepswerl_r2eagent,-1.1269389390945435,0.12423595
20250112_ugaiforge,-1.1294656991958618,0.13479246
20250527_amazon.nova-premier-v1.0,-1.1348283290863037,0.124763474
20250511_sweagent_lm_32b,-1.136214256286621,0.11294917
20241113_nebius-search-open-weight-models-11-24,-1.1807398796081543,0.14193772
20241022_tools_claude-3-5-haiku,-1.1992738246917725,0.1238542
20241030_nfactorial,-1.23326575756073,0.10759369
20241028_agentless-1.5_gpt4o,-1.3244837522506714,0.13207518
20250616_Skywork-SWE-32B,-1.3288357257843018,0.12899333
20240628_autocoderover-v20240620,-1.347875714302063,0.15055498
20241029_epam-ai-run-claude-3-5-sonnet,-1.3580842018127441,0.15167134
20240721_amazon-q-developer-agent-20240719-dev,-1.372799038887024,0.1506117
20240617_factory_code_droid,-1.4442989826202393,0.10853875
