,b,b_std
astropy__astropy-12907,-1.050271987915039,0.2096496
astropy__astropy-13033,5.625428199768066,0.87538624
astropy__astropy-13236,3.2287516593933105,0.3892697
astropy__astropy-13398,10.546378135681152,2.6687787
astropy__astropy-13453,0.32662731409072876,0.2932521
astropy__astropy-13579,-1.5673420429229736,0.2501235
astropy__astropy-13977,10.20244312286377,1.9630339
astropy__astropy-14096,-1.7929329872131348,0.22195077
astropy__astropy-14182,4.270401477813721,0.67132705
astropy__astropy-14309,-5.04075288772583,0.5238381
astropy__astropy-14365,3.2906012535095215,0.5485046
astropy__astropy-14369,2.494157314300537,0.41667965
astropy__astropy-14508,-0.39089587330818176,0.2273152
astropy__astropy-14539,-1.5953810214996338,0.25827244
astropy__astropy-14598,4.787630558013916,0.7442587
astropy__astropy-14995,-3.080968141555786,0.33075288
astropy__astropy-7166,-2.076369524002075,0.25331816
astropy__astropy-7336,-3.5313727855682373,0.44167387
astropy__astropy-7606,3.1080503463745117,0.40564737
astropy__astropy-7671,-2.9512078762054443,0.29860747
astropy__astropy-8707,3.241581439971924,0.45674345
astropy__astropy-8872,3.617443323135376,0.44942877
django__django-10097,0.9374690055847168,0.28995672
django__django-10554,10.832561492919922,2.0743861
django__django-10880,-1.9534741640090942,0.20629509
django__django-10914,-2.910398244857788,0.36490124
django__django-10973,-2.0875391960144043,0.33927572
django__django-10999,10.534420013427734,2.0553584
django__django-11066,-5.009555816650391,0.51597774
django__django-11087,10.475908279418945,2.1035922
django__django-11095,-3.548765182495117,0.3798589
django__django-11099,-4.9361395835876465,0.62560314
django__django-11119,-5.1001152992248535,0.5350123
django__django-11133,-4.121333122253418,0.4537852
django__django-11138,3.9557833671569824,0.6158368
django__django-11141,2.4758670330047607,0.2791188
django__django-11149,1.555708646774292,0.27707368
django__django-11163,-4.3765974044799805,0.48500374
django__django-11179,-2.765702486038208,0.37309915
django__django-11206,1.2119369506835938,0.22831811
django__django-11211,-1.3510546684265137,0.26662004
django__django-11239,1.2746000289916992,0.2298919
django__django-11265,0.9543401002883911,0.22764176
django__django-11276,-1.903436541557312,0.3678887
django__django-11292,-2.3523049354553223,0.3940921
django__django-11299,0.6181061267852783,0.26288295
django__django-11333,0.29569584131240845,0.2144968
django__django-11400,10.39069652557373,2.2189384
django__django-11433,3.643465042114258,0.48890802
django__django-11451,-2.5876965522766113,0.27150086
django__django-11477,4.730390548706055,0.69873804
django__django-11490,0.7387078404426575,0.296131
django__django-11532,0.059595026075839996,0.18457791
django__django-11551,-3.5958590507507324,0.34769666
django__django-11555,0.6597430109977722,0.2739903
django__django-11603,-4.497792720794678,0.4879791
django__django-11728,4.3293328285217285,0.6770437
django__django-11734,4.703319072723389,0.6238147
django__django-11740,-0.06554006785154343,0.20245902
django__django-11749,-1.5624260902404785,0.30420047
django__django-11790,1.1792101860046387,0.22771028
django__django-11815,-1.1190451383590698,0.2760648
django__django-11820,10.58848762512207,1.2158036
django__django-11848,1.052878975868225,0.31511176
django__django-11880,-4.66041898727417,0.50037956
django__django-11885,4.868768692016602,0.7000473
django__django-11951,-2.2433550357818604,0.2603882
django__django-11964,1.0143846273422241,0.24381089
django__django-11999,-2.6029043197631836,0.24430251
django__django-12039,-0.18668243288993835,0.2510371
django__django-12050,-3.1429169178009033,0.36430877
django__django-12125,0.47273045778274536,0.21906827
django__django-12143,-4.847197532653809,0.5055477
django__django-12155,-5.422896862030029,0.7091678
django__django-12193,-0.777947723865509,0.25671402
django__django-12209,-2.4088432788848877,0.27512768
django__django-12262,-0.6390363574028015,0.25457248
django__django-12273,2.5044283866882324,0.33398944
django__django-12276,-2.876006841659546,0.34060946
django__django-12304,-0.7611013650894165,0.2323061
django__django-12308,2.3441154956817627,0.2982186
django__django-12325,2.452686309814453,0.23407385
django__django-12406,10.132862091064453,2.09231
django__django-12419,-3.8201379776000977,0.43148792
django__django-12663,0.4859721064567566,0.2609175
django__django-12708,-1.0868886709213257,0.2124393
django__django-12713,-2.2818386554718018,0.31467193
django__django-12741,-1.0757074356079102,0.2509382
django__django-12754,0.8742806315422058,0.2782176
django__django-12774,0.3726646900177002,0.26213175
django__django-12858,-0.8907650709152222,0.23126212
django__django-12965,0.8454732894897461,0.22594693
django__django-13012,-1.095438838005066,0.25143352
django__django-13023,0.10085611045360565,0.24116792
django__django-13028,-2.0184121131896973,0.28750008
django__django-13033,-0.4076831638813019,0.22105117
django__django-13089,-4.339151859283447,0.53242034
django__django-13109,-4.652431011199951,0.5257829
django__django-13112,0.932087779045105,0.25313035
django__django-13121,0.10834787040948868,0.18888709
django__django-13128,0.6015415191650391,0.2712903
django__django-13158,-0.3300626575946808,0.27527577
django__django-13195,10.426289558410645,1.8359953
django__django-13212,9.960179328918457,2.1767578
django__django-13279,-0.9527873396873474,0.2587363
django__django-13297,0.6663100719451904,0.28190392
django__django-13315,-0.8864066004753113,0.26169723
django__django-13343,-1.155602216720581,0.25419497
django__django-13344,10.158491134643555,1.8029597
django__django-13346,0.645267903804779,0.21117163
django__django-13363,-3.643751382827759,0.35359514
django__django-13401,-1.202853798866272,0.25200456
django__django-13406,0.05270259827375412,0.26549402
django__django-13410,-3.8693180084228516,0.53127813
django__django-13417,-2.3010408878326416,0.3442485
django__django-13449,-0.16660410165786743,0.24018234
django__django-13512,1.369006633758545,0.25376529
django__django-13513,10.311746597290039,1.9228379
django__django-13516,-2.69650936126709,0.32341972
django__django-13551,0.8511820435523987,0.2241553
django__django-13568,1.0215202569961548,0.23710495
django__django-13569,-1.6540158987045288,0.2901226
django__django-13590,-1.5263378620147705,0.29271904
django__django-13658,-6.077320098876953,0.58064955
django__django-13670,-3.493665933609009,0.35203296
django__django-13741,-4.223474979400635,0.75780976
django__django-13786,-3.4850361347198486,0.36538965
django__django-13794,3.7406606674194336,0.5604695
django__django-13807,1.639959454536438,0.26823437
django__django-13809,-2.0744941234588623,0.3030282
django__django-13810,-1.60171377658844,0.34932783
django__django-13820,-3.6353116035461426,0.5415784
django__django-13821,-3.358551263809204,0.35489032
django__django-13837,-1.810768485069275,0.21802035
