,theta,theta_std
vix_claude_opus_4_7,2.843851327896118,0.18965065
jjagent_multiple,2.2492637634277344,0.12823173
nexau_ahe_gpt_5_5,1.9315301179885864,0.16860807
capy_gpt_5_5,1.6934196949005127,0.14270857
polaris_multiple,1.6784343719482422,0.15370256
lemonharness_multiple,1.6187502145767212,0.12482542
codex_cli_gpt_5_5,1.5870072841644287,0.15763074
tongagents_gemini_3_1_pro,1.4750384092330933,0.15218176
wozcode_claude_opus_4_7,1.3322468996047974,0.12273862
sageagent_gpt_5_3_codex,1.2668401002883911,0.116444774
droid_gpt_5_3_codex,1.0518308877944946,0.13411373
codelia_gpt_5_3_codex,1.017486572265625,0.15157612
meta_harness_claude_opus_4_6,0.955717146396637,0.13820198
codebrain_1.5_gpt_5_3_codex,0.9389806389808655,0.09659083
terminus_kira_gemini_3_1_pro,0.8629176616668701,0.14396815
simple_codex_gpt_5_3_codex,0.8075815439224243,0.16846606
terminus_kira_claude_opus_4_6,0.7829548120498657,0.13083002
mux_gpt_5_3_codex,0.771628737449646,0.13458726
capy_claude_opus_4_6,0.7255268692970276,0.1756257
maya_v2_claude_4_6_opus,0.5954000949859619,0.14880256
junie_cli_multiple,0.46997174620628357,0.16430429
spoox_o_m_gpt_5_3_codex,0.43645018339157104,0.14982213
tongagents_claude_opus_4_6,0.43565961718559265,0.13080896
droid_claude_opus_4_6,0.3837200999259949,0.13571157
ante_gemini_3_pro,0.3657105267047882,0.112888545
indusagi_coding_agent_gpt_5_3_codex,0.3431706428527832,0.13863958
mux_claude_opus_4_6,0.08320882171392441,0.13649163
crux_claude_opus_4_6,0.06930606067180634,0.14179946
deep_agents_gpt_5_2_codex,0.005505458917468786,0.15123825
clnkr_gpt_5_5,-0.036019038408994675,0.15133356
sageagent_gemini_3_pro,-0.04706919938325882,0.14202455
junie_cli_gemini_3_flash,-0.04780016094446182,0.12500572
terminus_2_claude_opus_4_6,-0.09460047632455826,0.13587798
droid_gpt_5_2,-0.10218151658773422,0.13871452
terminus_2_gpt_5_3_codex,-0.13838374614715576,0.13405614
droid_claude_opus_4_5,-0.1458970308303833,0.147458
ii_agent_gemini_3_pro,-0.1515013426542282,0.124485865
codex_cli_gpt_5_2,-0.19866591691970825,0.12094973
droid_gemini_3_pro,-0.22946694493293762,0.1251958
codebrain_1.5_gemini_3_pro,-0.2704092264175415,0.13241854
codex_cli_gpt_5_1_codex_max,-0.2910325229167938,0.13126136
mux_gpt_5_2,-0.3102012574672699,0.25880417
letta_code_claude_opus_4_5,-0.34746384620666504,0.12599784
hookele_gpt_5_1_codex_mini,-0.35613134503364563,0.14290214
grok_cli_grok_4_20_reasoning,-0.3823367655277252,0.14208528
gemini_cli_gemini_3_1_pro,-0.3823562264442444,0.14528063
mux_claude_opus_4_5,-0.5056634545326233,0.35310414
abacus_ai_desktop_multiple,-0.5342681407928467,0.10875331
claude_code_claude_opus_4_6,-0.560012936592102,0.13154721
terminus_2_claude_opus_4_5,-0.6026517748832703,0.14735523
warp_multiple,-0.6924383640289307,0.07855187
terminus_2_gemini_3_pro,-0.721366822719574,0.13781165
crux_gpt_5_1_codex,-0.7219988107681274,0.13874522
letta_code_gemini_3_pro,-0.8091208934783936,0.123288505
goose_claude_opus_4_5,-0.8417839407920837,0.123523265
terminus_2_gpt_5_2,-0.863010823726654,0.12218854
terminus_2_glm_5,-0.8872138261795044,0.12586182
simplai_agent_claude_sonnet_4_6,-0.9077640771865845,0.12578282
letta_code_gpt_5_1_codex,-0.9278960227966309,0.104431495
openhands_claude_opus_4_5,-0.9931654930114746,0.10957308
claude_code_claude_opus_4_5,-0.9949454665184021,0.12302779
opencode_claude_opus_4_5,-1.0537149906158447,0.26942644
terminus_2_gemini_3_flash,-1.080207109451294,0.11548745
codex_cli_gpt_5,-1.2102863788604736,0.12684135
camel_ai_claude_sonnet_4_5,-1.3893089294433594,0.13098848
gemini_cli_gemini_3_flash,-1.407251238822937,0.10896592
terminus_2_gpt_5_1,-1.424460530281067,0.11858586
indusagi_coding_agent_minimax_m2_7,-1.4549057483673096,0.13199739
codex_cli_gpt_5_codex,-1.4920637607574463,0.14335866
goose_claude_sonnet_4_5,-1.5542935132980347,0.115849376
cchuter_minimax_m2_5,-1.5707372426986694,0.106669255
terminus_2_kimi_k2_5,-1.5982730388641357,0.1221981
harness_agent_minimax_m2_7_highspeed,-1.6021021604537964,0.11047685
crux_gpt_5_1_codex_mini,-1.6178697347640991,0.14081144
mini_swe_agent_claude_sonnet_4_5,-1.638837456703186,0.1356118
terminus_2_minimax_m2_5,-1.6458123922348022,0.118329115
terminus_2_gpt_5_codex,-1.6624253988265991,0.1386814
openhands_claude_sonnet_4_5,-1.6631041765213013,0.115430415
openhands_gpt_5,-1.6674151420593262,0.14072555
terminus_2_claude_sonnet_4_5,-1.7451043128967285,0.13372268
mini_swe_agent_gpt_5_codex,-1.7531265020370483,0.12294724
maya_v2_claude_4_5_sonnet,-1.7758461236953735,0.11731101
terminus_2_deepseek_v3_2,-1.7869809865951538,0.11555212
terminus_2_claude_opus_4_1,-1.823073148727417,0.12588872
claude_code_claude_sonnet_4_5,-1.9678243398666382,0.13519938
openhands_claude_opus_4_1,-2.026886224746704,0.12413516
terminus_2_kimi_k2_thinking,-2.099281072616577,0.13433906
spoox_o_m_gpt_5_mini,-2.129272699356079,0.13240562
terminus_2_gpt_5,-2.139068126678467,0.13014251
crux_minimax_m2_1,-2.1400253772735596,0.11181086
terminus_2_gpt_5_1_codex,-2.1748998165130615,0.110635236
goose_claude_haiku_4_5,-2.1864919662475586,0.1261454
claude_code_claude_opus_4_1,-2.1894311904907227,0.13777687
terminus_2_glm_4_7,-2.204011917114258,0.14153007
mini_swe_agent_claude_opus_4_1,-2.220961093902588,0.11507054
mini_swe_agent_gpt_5,-2.2555782794952393,0.13928531
terminus_2_gemini_2_5_pro,-2.3038196563720703,0.10634932
crux_glm_4_7,-2.352046489715576,0.12808092
codex_cli_gpt_5_mini,-2.491807699203491,0.1117966
terminus_2_minimax_m2,-2.534029722213745,0.119449966
terminus_2_minimax_m2_1,-2.5618081092834473,0.13564406
mini_swe_agent_claude_haiku_4_5,-2.6503920555114746,0.1504222
openhands_gpt_5_mini,-2.670959949493408,0.12851374
terminus_2_claude_haiku_4_5,-2.688170909881592,0.13921885
terminus_2_kimi_k2_instruct,-2.7176365852355957,0.1104453
dakou_agent_qwen_3_coder_480b,-2.727635383605957,0.13127673
openhands_grok_4,-2.796376943588257,0.1356888
claude_code_claude_haiku_4_5,-2.8254363536834717,0.13981327
openhands_kimi_k2_instruct,-2.8445963859558105,0.12421234
mini_swe_agent_grok_4,-2.86306095123291,0.14563741
mini_swe_agent_gemini_2_5_pro,-2.8794710636138916,0.13198845
mini_swe_agent_grok_code_fast_1,-2.9232027530670166,0.1459739
openhands_qwen_3_coder_480b,-2.9416370391845703,0.13374221
terminus_2_glm_4_6,-3.004152297973633,0.12813935
terminus_2_gpt_5_mini,-3.0080623626708984,0.14263877
terminus_2_qwen_3_coder_480b,-3.0092251300811768,0.13130829
little_coder_qwen3_6_35b_a3b,-3.0345420837402344,0.13541262
terminus_2_grok_4,-3.1768901348114014,0.13134494
spoox_o_m_gpt_5_nano,-3.2112534046173096,0.13873564
mini_swe_agent_gpt_5_mini,-3.277522087097168,0.14735681
bash_agent_termigen_32b,-3.4397692680358887,0.14392039
gemini_cli_gemini_2_5_pro,-3.4537792205810547,0.14173372
terminus_2_gpt_oss_120b,-3.454345941543579,0.17181052
terminus_2_afterquery_gpt_oss_20b,-3.58034348487854,0.14300181
mini_swe_agent_gemini_2_5_flash,-3.6143152713775635,0.18500566
openhands_gemini_2_5_flash,-3.71525502204895,0.1501791
terminus_2_gemini_2_5_flash,-3.732805013656616,0.16131309
openhands_gemini_2_5_pro,-3.779913902282715,0.13653918
gemini_cli_gemini_2_5_flash,-3.81131649017334,0.15582839
openhands_claude_haiku_4_5,-4.070542335510254,0.15897074
terminus_2_grok_code_fast_1,-4.073810577392578,0.17286173
mini_swe_agent_gpt_oss_120b,-4.097348213195801,0.17143795
codex_cli_gpt_5_nano,-4.345580101013184,0.18129182
little_coder_qwen3_5_9b,-4.605515956878662,0.17078489
openhands_gpt_5_nano,-4.606813430786133,0.17523734
terminus_2_gpt_5_nano,-4.905582904815674,0.1910527
mini_swe_agent_gpt_5_nano,-5.102236270904541,0.20962991
mini_swe_agent_gpt_oss_20b,-5.932052135467529,0.27755806
terminus_2_gpt_oss_20b,-6.215517044067383,0.28031936
