,b,b_std
adaptive-rejection-sampler,-0.5162429213523865,0.10063124
bn-fit-modify,-2.075241804122925,0.09220142
break-filter-js-from-html,-0.6662012934684753,0.1053157
build-cython-ext,-1.2773699760437012,0.10779242
build-pmars,-2.535766363143921,0.09972248
build-pov-ray,-2.175109386444092,0.097641334
caffe-cifar-10,2.428157091140747,0.14900288
cancel-async-tasks,-1.2932389974594116,0.10679766
chess-best-move,0.34827718138694763,0.1166207
circuit-fibsqrt,-0.7316251993179321,0.105582625
cobol-modernization,-4.060928821563721,0.13713789
code-from-image,-2.950507640838623,0.09070936
compile-compcert,-1.2289937734603882,0.08838327
configure-git-webserver,-1.6953357458114624,0.10624989
constraints-scheduling,-4.621516227722168,0.1407892
count-dataset-tokens,-1.3334355354309082,0.09841932
crack-7z-hash,-2.3393735885620117,0.083836816
custom-memory-heap-crash,-3.1621155738830566,0.13193364
db-wal-recovery,1.1645822525024414,0.10707533
distribution-search,-2.781317949295044,0.084898606
dna-assembly,1.3198819160461426,0.12682784
dna-insert,1.5115331411361694,0.13642205
extract-elf,-1.4113644361495972,0.0896669
extract-moves-from-video,2.4053056240081787,0.16687243
feal-differential-cryptanalysis,-1.1753774881362915,0.10366331
feal-linear-cryptanalysis,-1.0883816480636597,0.10037935
filter-js-from-html,4.082106113433838,0.26527804
financial-document-processor,-0.46662721037864685,0.10525257
fix-code-vulnerability,-2.742506980895996,0.08087249
fix-git,-4.737198352813721,0.104102165
fix-ocaml-gc,-2.1132125854492188,0.08900669
gcode-to-text,1.3611162900924683,0.13433099
git-leak-recovery,-4.507350444793701,0.14802401
git-multibranch,-2.9147348403930664,0.108565375
gpt2-codegolf,2.2883236408233643,0.17246872
headless-terminal,-3.379991292953491,0.10344202
hf-model-inference,-2.9697835445404053,0.10380121
install-windows-3.11,3.17421555519104,0.17594466
kv-store-grpc,-2.331743001937866,0.08758815
large-scale-text-editing,-1.972715973854065,0.09050733
largest-eigenval,-1.2903891801834106,0.09065512
llm-inference-batching-scheduler,-1.4791669845581055,0.10356887
log-summary-date-ranges,-3.296738862991333,0.118906006
mailman,-1.5774644613265991,0.1015317
make-doom-for-mips,3.9453189373016357,0.28991795
make-mips-interpreter,1.2864047288894653,0.106517784
mcmc-sampling-stan,-2.083134651184082,0.0946673
merge-diff-arc-agi-task,-2.817523241043091,0.109165445
model-extraction-relu-logits,0.7797579169273376,0.111247726
modernize-scientific-stack,-5.375761985778809,0.14853323
mteb-leaderboard,0.9507332444190979,0.13535284
mteb-retrieve,1.3089216947555542,0.1265105
multi-source-data-merger,-4.779153347015381,0.17158777
nginx-request-logging,-3.9344828128814697,0.13398902
openssl-selfsigned-cert,-2.8065314292907715,0.10029655
overfull-hbox,-0.8714394569396973,0.114673086
password-recovery,-1.5655150413513184,0.08741428
path-tracing,0.21791678667068481,0.10585863
path-tracing-reverse,0.2734692692756653,0.11134899
polyglot-c-py,0.4374020993709564,0.10358181
polyglot-rust-c,0.636601448059082,0.12199709
portfolio-optimization,-4.1000165939331055,0.119867146
protein-assembly,0.23419339954853058,0.103936076
prove-plus-comm,-4.619615077972412,0.10173875
pypi-server,-2.9004464149475098,0.10779034
pytorch-model-cli,-1.9808025360107422,0.112417765
pytorch-model-recovery,-1.6165807247161865,0.103615396
qemu-alpine-ssh,-0.34533223509788513,0.09500542
qemu-startup,-2.1909592151641846,0.102877
query-optimize,-0.6402239799499512,0.098870575
raman-fitting,2.9140233993530273,0.14484036
regex-chess,0.8565167784690857,0.09795719
regex-log,-3.060555934906006,0.11614167
reshard-c4-data,-1.7829837799072266,0.08851283
rstan-to-pystan,-1.124966025352478,0.096865684
sam-cell-seg,2.7074062824249268,0.18370639
sanitize-git-repo,-0.7741873264312744,0.1102698
schemelike-metacircular-eval,-0.5674314498901367,0.096627615
sparql-university,-1.2859987020492554,0.08746798
sqlite-db-truncate,-1.8223295211791992,0.09011206
sqlite-with-gcov,-2.7900993824005127,0.103123285
torch-pipeline-parallelism,1.3418500423431396,0.11234291
torch-tensor-parallelism,1.4898779392242432,0.14816813
train-fasttext,3.1207096576690674,0.2572033
tune-mjcf,-1.1485106945037842,0.09003513
video-processing,2.303649425506592,0.14552538
vulnerable-secret,-3.6563384532928467,0.12445539
winning-avg-corewars,-0.5594569444656372,0.10057082
write-compressor,-0.013073576614260674,0.10029923
