instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
django__django-11880,2,4,1,2,3,4,4,1,2,2,1,1,3,1,2
django__django-12039,2,5,2,2,3,4,4,1,2,2,1,2,3,4,2
django__django-12193,2,4,2,2,3,4,4,2,2,2,1,1,3,3,2
astropy__astropy-14598,4,4,2,4,4,5,4,3,4,3,1,2,2,3,3
django__django-13297,4,4,2,3,4,5,4,1,3,3,1,2,2,2,2
sympy__sympy-21847,2,3,2,2,3,4,4,1,2,2,1,1,3,3,2
matplotlib__matplotlib-20676,3,4,1,2,4,4,5,2,3,2,1,2,1,3,2
django__django-14155,2,4,1,2,3,4,4,1,2,2,1,2,2,3,2
sphinx-doc__sphinx-9591,3,3,1,3,4,4,4,2,2,2,1,2,1,1,2
django__django-11087,4,4,2,4,4,5,4,2,4,3,0,4,3,4,3
django__django-16938,3,4,2,2,4,5,4,2,2,2,1,2,3,3,2
django__django-15569,2,4,2,2,4,4,4,1,2,2,1,1,3,2,2
django__django-13794,3,4,2,2,4,5,4,1,2,3,1,2,1,2,2
django__django-11603,1,4,1,1,3,4,5,2,2,2,1,1,3,2,1
django__django-11551,4,4,1,2,4,5,4,1,4,3,1,2,3,2,3
django__django-16502,3,4,2,2,4,5,4,2,4,3,1,3,2,3,3
sympy__sympy-21596,4,3,2,4,4,4,4,1,4,3,0,3,1,4,3
sphinx-doc__sphinx-10449,3,3,2,3,4,4,4,2,3,2,1,2,1,2,2
django__django-15103,2,4,2,2,2,4,4,1,2,2,1,2,2,2,2
sympy__sympy-11618,2,3,1,2,2,4,4,1,3,3,1,2,2,2,2
django__django-15695,3,5,2,3,4,5,4,2,3,2,1,2,2,3,2
django__django-13741,2,4,1,1,3,4,4,1,2,2,1,2,3,2,2
django__django-15380,3,4,1,3,4,5,4,1,3,2,1,1,1,2,2
django__django-14315,2,4,2,2,2,4,4,1,2,2,1,2,3,4,2
