instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
numpy__numpy-7853cbc,4,5.0,1,2,5,3,4.0,4.0,4,3,1,4,2,3,3
huggingface__tokenizers-076319d,3,3.0,2,2,4,3,4.0,4.0,4,4,1,4,3,3,3
huggingface__datasets-ef3b5dd,4,3.0,5,4,4,3,4.0,2.0,4,4,1,5,3,2,4
numpy__numpy-8dd6761,4,4.0,4,2,5,3,4.0,5.0,4,2,1,4,2,3,4
numpy__numpy-ac5c664,4,4.0,4,2,5,3,3.0,4.0,4,3,1,5,3,3,4
huggingface__tokenizers-c893204,4,3.0,1,3,4,3,3.0,4.0,4,3,1,4,1,2,4
huggingface__datasets-5994036,3,4.0,3,2,4,3,4.0,2.0,4,3,1,3,1,1,3
pandas-dev__pandas-f298507,3,4.0,4,2,4,3,5.0,2.0,3,3,1,4,2,2,3
pandas-dev__pandas-45f0705,3,5.0,3,2,4,3,4.0,4.0,3,3,1,3,1,2,3
numpy__numpy-09db9c7,4,5.0,4,2,5,3,3.0,4.0,4,3,1,4,3,4,3
python-pillow__Pillow-f854676,3,3.0,1,2,4,3,5.0,2.0,3,3,1,3,2,1,3
uploadcare__pillow-simd-d970a39,3,3.0,1,2,5,3,4.0,4.0,3,2,1,3,3,2,3
pandas-dev__pandas-2278923,3,4.0,2,3,4,4,4.0,3.0,4,3,1,4,2,1,3
numpy__numpy-330057f,4,4.0,2,3,5,3,3.0,4.0,4,1,1,3,3,4,3
numpy__numpy-b862e4f,4,4.0,3,2,5,4,3.0,4.0,3,3,1,3,3,2,3
numpy__numpy-893db31,4,4.0,4,2,5,3,3.0,4.0,4,3,1,4,3,2,3
pandas-dev__pandas-fd43d4b,3,4.0,3,2,4,4,5.0,2.0,3,3,1,3,3,1,3
pandas-dev__pandas-84aca21,3,4.0,3,2,4,3,4.0,4.0,4,3,1,3,2,4,3
pandas-dev__pandas-d377cc9,3,4.0,2,3,4,3,4.0,3.0,4,3,1,4,1,1,3
numpy__numpy-11a7e2d,4,4.0,3,2,5,4,3.0,4.0,4,3,1,4,3,3,3
uploadcare__pillow-simd-b4045cf,4,4.0,2,2,5,3,4.0,4.0,4,3,1,5,3,2,4
pandas-dev__pandas-191557d,3,4.0,2,2,4,3,4.0,4.0,3,3,1,3,1,1,3
uploadcare__pillow-simd-0514e20,4,3.0,1,1,5,3,5.0,5.0,4,3,1,5,3,2,4
pandas-dev__pandas-ccca5df,3,4.0,5,2,5,3,3.0,4.0,4,4,1,5,3,1,3
pandas-dev__pandas-e7e3676,4,4.0,3,3,5,3,4.0,3.0,4,4,1,4,2,1,4
numpy__numpy-248c60e,4,4.0,4,2,5,3,3.0,4.0,3,3,1,4,3,4,3
numpy__numpy-ec52363,4,5.0,2,2,5,3,5.0,4.0,3,2,1,2,1,4,3
pandas-dev__pandas-9d6d587,3,4.0,1,2,4,3,4.0,3.0,3,2,1,2,1,3,3
numpy__numpy-cedba62,3,4.0,1,2,4,3,5.0,2.0,4,3,1,3,3,1,3
numpy__numpy-905d37e,4,4.0,1,2,5,3,5.0,4.0,4,1,1,3,1,2,3
numpy__numpy-83c780d,4,4.0,4,2,5,3,3.0,4.0,4,3,1,5,3,2,3
