instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
django__django-11880,2,4,3,2,2,2,1,4,3,4,1,1,4,1,1,2,2,1,1,2,2026-03-08T00:21:22.810471,claude-opus-4-6,anthropic,django__django-11880,4,5,3,2,1,4,3,4
django__django-12039,3,5,4,2,2,2,1,5,5,5,1,1,5,1,2,4,2,3,2,3,2026-03-08T00:21:25.409100,claude-opus-4-6,anthropic,django__django-12039,4,5,3,2,1,4,3,5
django__django-12193,3,5,4,2,2,2,1,5,3,5,1,1,4,1,1,3,2,2,1,2,2026-03-08T00:21:25.890050,claude-opus-4-6,anthropic,django__django-12193,4,5,2,3,2,4,4,4
astropy__astropy-14598,0,5,4,4,4,2,0,5,5,4,3,1,5,1,2,3,2,3,3,4,2026-03-08T00:20:50.805244,claude-opus-4-6,anthropic,astropy__astropy-14598,4,4,2,3,3,4,4,4
django__django-13297,1,4,4,3,3,3,0,4,5,4,3,2,4,1,3,2,3,1,2,3,2026-03-08T00:21:45.056396,claude-opus-4-6,anthropic,django__django-13297,4,5,3,2,1,4,3,4
sympy__sympy-21847,1,5,3,3,2,2,0,4,5,5,2,1,4,1,2,4,3,3,1,1,2026-03-08T00:25:15.214890,claude-opus-4-6,anthropic,sympy__sympy-21847,4,5,2,2,1,3,2,3
matplotlib__matplotlib-20676,1,4,4,3,3,3,0,4,5,5,2,1,5,1,2,4,3,3,2,3,2026-03-08T00:23:09.710895,claude-opus-4-6,anthropic,matplotlib__matplotlib-20676,5,5,2,3,2,4,4,4
django__django-14155,3,4,3,3,2,2,1,3,3,3,2,1,3,1,2,4,3,3,2,2,2026-03-08T00:22:07.353675,claude-opus-4-6,anthropic,django__django-14155,4,5,2,2,1,4,3,4
sphinx-doc__sphinx-9591,0,4,4,3,3,3,0,4,5,4,3,2,5,1,2,2,4,1,2,3,2026-03-08T00:24:42.247600,claude-opus-4-6,anthropic,sphinx-doc__sphinx-9591,4,4,3,2,2,4,4,3
django__django-11087,2,4,4,3,3,3,0,5,4,4,3,2,5,1,2,3,4,3,3,4,2026-03-08T00:21:01.257487,claude-opus-4-6,anthropic,django__django-11087,4,4,3,2,2,4,2,4
django__django-16938,1,4,4,4,3,3,0,5,5,3,3,2,5,1,2,4,3,3,1,2,2026-03-08T00:23:02.639881,claude-opus-4-6,anthropic,django__django-16938,4,4,3,2,2,4,3,4
