instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
numpy__numpy-7853cbc,0,2,5,4,4,4,0,3,2,2,3,3,2,1,3,3,3,3,4,4,2026-03-08T00:25:39.335207,claude-opus-4-6,anthropic,numpy__numpy-7853cbc,4,4,4,4,5,4,4,4
huggingface__tokenizers-076319d,0,2,4,4,3,3,0,3,2,2,3,3,2,1,2,4,4,3,4,4,2026-03-08T00:26:21.985009,claude-opus-4-6,anthropic,huggingface__tokenizers-076319d,4,4,3,4,5,4,4,2
huggingface__datasets-ef3b5dd,0,2,4,3,3,4,0,3,2,2,3,3,2,1,3,3,2,2,5,5,2026-03-08T00:25:41.163808,claude-opus-4-6,anthropic,huggingface__datasets-ef3b5dd,4,5,3,2,2,4,4,4
numpy__numpy-8dd6761,0,2,5,4,4,4,0,3,2,2,3,3,1,1,3,3,3,3,4,4,2026-03-08T00:25:50.469473,claude-opus-4-6,anthropic,numpy__numpy-8dd6761,4,5,4,4,5,4,4,4
numpy__numpy-ac5c664,0,2,5,4,4,4,0,3,2,2,3,2,2,1,3,4,3,3,5,4,2026-03-08T00:25:39.725529,claude-opus-4-6,anthropic,numpy__numpy-ac5c664,4,4,4,4,5,4,4,4
huggingface__tokenizers-c893204,0,2,4,4,4,4,0,3,2,2,3,2,2,1,3,3,2,1,4,4,2026-03-08T00:26:22.703375,claude-opus-4-6,anthropic,huggingface__tokenizers-c893204,4,5,3,3,5,4,4,4
huggingface__datasets-5994036,0,2,4,3,3,3,0,3,2,2,2,1,2,1,2,2,3,1,3,4,2026-03-08T00:25:38.887563,claude-opus-4-6,anthropic,huggingface__datasets-5994036,4,4,3,2,2,4,4,4
pandas-dev__pandas-f298507,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,4,2,3,4,2026-03-08T00:26:00.973196,claude-opus-4-6,anthropic,pandas-dev__pandas-f298507,4,5,3,3,3,4,4,4
pandas-dev__pandas-45f0705,0,2,4,3,3,3,0,3,2,2,2,2,2,1,3,3,4,2,2,3,2026-03-08T00:26:01.462217,claude-opus-4-6,anthropic,pandas-dev__pandas-45f0705,4,5,3,3,3,5,4,4
numpy__numpy-09db9c7,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,3,4,4,5,2026-03-08T00:25:49.891271,claude-opus-4-6,anthropic,numpy__numpy-09db9c7,4,4,3,4,5,4,4,4
python-pillow__Pillow-f854676,1,3,4,3,2,3,1,3,2,2,2,1,2,1,3,2,2,1,3,4,2026-03-08T00:26:13.509549,claude-opus-4-6,anthropic,python-pillow__Pillow-f854676,4,5,2,3,3,4,4,3
uploadcare__pillow-simd-d970a39,0,2,5,4,4,4,0,3,2,2,3,2,2,1,2,3,3,3,3,3,2026-03-08T00:26:20.511222,claude-opus-4-6,anthropic,uploadcare__pillow-simd-d970a39,4,5,2,3,4,4,3,4
pandas-dev__pandas-2278923,0,2,4,4,3,4,0,3,1,2,3,2,1,1,3,2,2,1,4,4,2026-03-08T00:26:10.365795,claude-opus-4-6,anthropic,pandas-dev__pandas-2278923,4,5,3,4,3,4,5,4
numpy__numpy-330057f,0,2,4,4,3,3,0,3,2,2,3,3,1,1,3,4,4,4,3,3,2026-03-08T00:25:51.747759,claude-opus-4-6,anthropic,numpy__numpy-330057f,4,4,5,4,5,4,4,4
numpy__numpy-b862e4f,0,2,5,4,4,4,0,3,2,2,4,4,1,1,2,2,3,1,3,4,2026-03-08T00:25:39.483051,claude-opus-4-6,anthropic,numpy__numpy-b862e4f,4,4,5,4,5,5,4,4
numpy__numpy-893db31,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,2,2,4,5,2026-03-08T00:25:50.416641,claude-opus-4-6,anthropic,numpy__numpy-893db31,4,5,3,4,5,4,4,5
pandas-dev__pandas-fd43d4b,0,3,4,3,2,3,0,3,2,2,2,1,2,1,3,2,2,1,3,4,2026-03-08T00:26:12.398568,claude-opus-4-6,anthropic,pandas-dev__pandas-fd43d4b,4,5,2,4,3,5,4,4
pandas-dev__pandas-84aca21,0,2,4,3,3,3,0,3,2,2,3,3,2,1,3,5,3,5,3,3,2026-03-08T00:26:13.933136,claude-opus-4-6,anthropic,pandas-dev__pandas-84aca21,4,4,3,4,5,5,4,4
pandas-dev__pandas-d377cc9,0,3,4,3,2,3,0,3,2,2,3,2,2,1,3,2,1,1,4,4,2026-03-08T00:26:01.034169,claude-opus-4-6,anthropic,pandas-dev__pandas-d377cc9,4,5,3,4,4,4,4,4
numpy__numpy-11a7e2d,0,2,4,4,3,3,0,3,2,2,3,3,2,1,3,3,4,3,4,4,2026-03-08T00:25:39.334637,claude-opus-4-6,anthropic,numpy__numpy-11a7e2d,4,4,4,4,4,4,4,4
uploadcare__pillow-simd-b4045cf,0,2,5,4,4,4,0,3,2,2,3,3,2,1,2,3,3,1,5,4,2026-03-08T00:26:21.343493,claude-opus-4-6,anthropic,uploadcare__pillow-simd-b4045cf,4,5,4,4,5,4,4,4
pandas-dev__pandas-191557d,0,2,4,4,3,4,0,3,2,2,3,2,2,1,3,2,2,1,2,3,2026-03-08T00:26:12.398113,claude-opus-4-6,anthropic,pandas-dev__pandas-191557d,4,5,3,3,3,5,4,4
uploadcare__pillow-simd-0514e20,0,2,5,4,4,4,0,3,2,2,2,1,2,1,2,2,4,1,5,2,2026-03-08T00:26:27.089604,claude-opus-4-6,anthropic,uploadcare__pillow-simd-0514e20,4,5,2,3,4,4,4,4
pandas-dev__pandas-ccca5df,0,2,4,3,3,3,0,3,2,2,2,2,2,1,3,2,1,1,5,5,2026-03-08T00:26:01.135634,claude-opus-4-6,anthropic,pandas-dev__pandas-ccca5df,4,4,3,4,4,4,4,4
pandas-dev__pandas-e7e3676,0,2,4,4,3,3,0,3,2,2,3,3,2,1,3,2,2,1,4,4,2026-03-08T00:26:00.829473,claude-opus-4-6,anthropic,pandas-dev__pandas-e7e3676,4,5,3,4,3,4,4,5
numpy__numpy-248c60e,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,3,4,4,5,2026-03-08T00:25:51.234093,claude-opus-4-6,anthropic,numpy__numpy-248c60e,4,4,3,4,5,4,4,4
numpy__numpy-ec52363,0,2,4,4,4,4,0,3,2,2,3,2,2,1,2,5,4,4,2,3,2026-03-08T00:25:50.686181,claude-opus-4-6,anthropic,numpy__numpy-ec52363,4,4,3,4,4,4,4,4
pandas-dev__pandas-9d6d587,0,2,4,4,3,4,0,3,1,2,3,2,1,1,3,4,3,3,3,3,2026-03-08T00:26:11.743980,claude-opus-4-6,anthropic,pandas-dev__pandas-9d6d587,4,5,3,4,3,4,4,4
numpy__numpy-cedba62,0,2,4,4,3,3,1,3,2,2,2,1,2,1,3,2,2,1,3,2,2026-03-08T00:25:39.901356,claude-opus-4-6,anthropic,numpy__numpy-cedba62,4,5,3,4,3,4,4,4
numpy__numpy-905d37e,0,2,4,4,3,3,0,3,2,2,2,2,2,1,2,4,3,2,4,3,2026-03-08T00:25:51.266073,claude-opus-4-6,anthropic,numpy__numpy-905d37e,4,5,3,4,4,4,3,4
numpy__numpy-83c780d,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,3,2,5,5,2026-03-08T00:25:40.058155,claude-opus-4-6,anthropic,numpy__numpy-83c780d,4,5,3,4,5,4,4,4
tornadoweb__tornado-4d4c1e0,0,2,4,4,3,4,0,3,1,2,2,2,1,1,3,2,2,1,4,5,2026-03-08T00:26:23.381275,claude-opus-4-6,anthropic,tornadoweb__tornado-4d4c1e0,4,5,3,2,3,4,3,4
pandas-dev__pandas-1c2ad16,0,2,4,4,3,3,0,3,2,2,3,3,2,1,3,2,4,1,3,4,2026-03-08T00:26:00.880981,claude-opus-4-6,anthropic,pandas-dev__pandas-1c2ad16,4,4,4,3,3,5,4,4
huggingface__datasets-c5464b3,0,2,4,3,3,3,0,3,2,3,2,2,2,1,3,3,4,2,4,4,2026-03-08T00:25:39.607502,claude-opus-4-6,anthropic,huggingface__datasets-c5464b3,4,5,2,2,2,4,4,3
numpy__numpy-e801e7a,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,4,4,4,5,2026-03-08T00:25:49.293884,claude-opus-4-6,anthropic,numpy__numpy-e801e7a,4,5,4,4,5,4,4,4
numpy__numpy-ba89ef9,0,2,5,4,4,4,0,3,2,2,3,3,2,1,3,2,3,1,4,4,2026-03-08T00:25:39.208530,claude-opus-4-6,anthropic,numpy__numpy-ba89ef9,4,5,4,4,5,4,4,4
pandas-dev__pandas-2421931,0,2,4,3,3,3,0,3,2,2,3,3,2,1,3,2,3,1,4,5,2026-03-08T00:26:12.145255,claude-opus-4-6,anthropic,pandas-dev__pandas-2421931,4,4,4,4,4,5,4,4
pandas-dev__pandas-71c94af,0,2,4,3,3,3,0,3,1,2,2,1,1,1,3,2,2,1,3,4,2026-03-08T00:26:00.898960,claude-opus-4-6,anthropic,pandas-dev__pandas-71c94af,4,5,3,4,3,4,5,4
pandas-dev__pandas-ad3f3f7,0,2,4,4,3,3,0,3,2,2,3,2,2,1,2,3,3,2,3,4,2026-03-08T00:26:11.412404,claude-opus-4-6,anthropic,pandas-dev__pandas-ad3f3f7,4,5,3,4,5,5,4,4
numpy__numpy-ef5e545,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,3,4,3,5,5,2026-03-08T00:25:39.528853,claude-opus-4-6,anthropic,numpy__numpy-ef5e545,4,4,3,4,4,4,4,4
numpy__numpy-1b861a2,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,2,2,1,5,5,2026-03-08T00:25:50.486286,claude-opus-4-6,anthropic,numpy__numpy-1b861a2,4,5,2,4,3,4,4,4
numpy__numpy-cb461ba,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,4,3,5,5,2026-03-08T00:25:49.891784,claude-opus-4-6,anthropic,numpy__numpy-cb461ba,4,5,4,4,5,4,4,4
uploadcare__pillow-simd-9e60023,0,2,5,4,4,4,0,3,2,2,3,2,2,1,2,4,4,3,5,3,2026-03-08T00:26:13.489859,claude-opus-4-6,anthropic,uploadcare__pillow-simd-9e60023,4,5,2,3,4,4,4,4
numpy__numpy-1fcda82,0,2,5,4,4,4,0,3,2,2,3,3,2,1,2,4,3,4,5,5,2026-03-08T00:25:52.510551,claude-opus-4-6,anthropic,numpy__numpy-1fcda82,4,5,3,4,4,4,4,4
numpy__numpy-ee75c87,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,2,4,4,5,2026-03-08T00:25:50.626799,claude-opus-4-6,anthropic,numpy__numpy-ee75c87,4,4,3,4,5,4,4,4
huggingface__tokenizers-fc76ad4,0,2,5,4,4,4,0,3,2,2,4,3,2,1,2,4,4,3,3,4,2026-03-08T00:26:23.903628,claude-opus-4-6,anthropic,huggingface__tokenizers-fc76ad4,4,5,2,3,5,4,4,3
numpy__numpy-780799b,0,2,4,4,3,3,0,3,2,2,3,2,2,1,3,4,3,3,4,2,2026-03-08T00:26:00.348892,claude-opus-4-6,anthropic,numpy__numpy-780799b,4,5,4,4,4,5,4,4
pandas-dev__pandas-2f4c93e,0,2,4,4,3,3,0,3,2,2,3,2,2,1,2,4,3,2,3,4,2026-03-08T00:26:10.672734,claude-opus-4-6,anthropic,pandas-dev__pandas-2f4c93e,4,4,3,4,5,5,4,4
pandas-dev__pandas-2a08b05,0,2,4,3,3,3,0,3,1,2,2,1,1,1,3,2,2,1,3,3,2026-03-08T00:26:01.524526,claude-opus-4-6,anthropic,pandas-dev__pandas-2a08b05,4,5,3,4,4,4,4,4
pandas-dev__pandas-f1211e7,0,2,4,3,3,3,0,3,2,2,3,2,2,1,3,3,3,2,3,4,2026-03-08T00:26:01.109744,claude-opus-4-6,anthropic,pandas-dev__pandas-f1211e7,4,5,3,4,4,4,4,4
numpy__numpy-cb0d7cd,0,2,4,3,3,3,0,3,2,2,2,2,2,1,2,4,3,4,5,5,2026-03-08T00:25:50.701217,claude-opus-4-6,anthropic,numpy__numpy-cb0d7cd,4,5,4,4,5,4,4,4
abetlen__llama-cpp-python-218d361,0,2,4,3,3,4,0,3,2,2,3,1,1,1,2,3,3,2,4,5,2026-03-08T00:25:40.243173,claude-opus-4-6,anthropic,abetlen__llama-cpp-python-218d361,4,4,2,3,4,3,3,2
numpy__numpy-382b3ff,0,2,4,4,4,4,0,3,2,2,3,2,1,1,2,3,3,1,2,3,2026-03-08T00:25:40.081324,claude-opus-4-6,anthropic,numpy__numpy-382b3ff,4,4,4,4,4,5,4,4
numpy__numpy-5f94eb8,0,2,5,4,4,4,0,3,2,2,3,2,2,1,2,3,3,1,4,4,2026-03-08T00:25:39.701456,claude-opus-4-6,anthropic,numpy__numpy-5f94eb8,4,4,4,4,5,4,4,4
uploadcare__pillow-simd-7511039,0,2,5,4,4,4,0,3,2,2,3,2,1,1,2,2,2,1,5,3,2026-03-08T00:26:20.849565,claude-opus-4-6,anthropic,uploadcare__pillow-simd-7511039,4,5,3,3,5,4,4,4
numpy__numpy-be52f19,0,2,5,4,4,4,0,3,2,2,3,3,1,1,2,2,3,1,4,4,2026-03-08T00:25:52.246415,claude-opus-4-6,anthropic,numpy__numpy-be52f19,4,4,4,4,5,5,4,4
numpy__numpy-728fedc,0,2,4,3,3,3,0,3,2,2,2,1,2,1,2,3,3,2,5,5,2026-03-08T00:25:49.591013,claude-opus-4-6,anthropic,numpy__numpy-728fedc,4,5,3,4,5,4,4,4
pandas-dev__pandas-5d82d8b,0,2,4,4,3,3,0,3,2,2,3,2,2,1,3,4,3,4,1,2,2026-03-08T00:26:02.593577,claude-opus-4-6,anthropic,pandas-dev__pandas-5d82d8b,4,5,4,4,4,5,4,4
