instance_id,debugging_complexity,codebase_scope,solution_complexity,side_effect_risk,fix_localization,environment_setup_complexity,similar_issue_likelihood,solution_hint,atypicality,implementation_language_complexity,problem_clarity,change_blast_radius,entry_point_clarity,logical_reasoning_required,expected_behavior_clarity
astropy__astropy-12907,3,1,1,2,4,2,1,0,3,2,5,2,5,4,5
astropy__astropy-13033,1,1,2,1,4,3,1,3,1,2,5,2,4,2,5
astropy__astropy-13236,1,2,1,3,4,3,1,3,2,3,5,3,5,1,5
astropy__astropy-13398,4,4,4,4,4,3,0,3,4,2,4,3,4,4,4
astropy__astropy-13453,2,1,1,2,4,3,1,3,2,3,5,2,5,2,5
astropy__astropy-13579,2,1,3,2,4,3,1,3,3,2,5,3,5,4,5
astropy__astropy-13977,3,1,3,3,4,3,1,3,3,3,5,3,5,4,4
astropy__astropy-14096,2,1,1,3,4,2,1,1,3,2,4,3,5,3,4
astropy__astropy-14182,2,1,3,3,4,3,1,2,3,2,5,2,5,3,4
astropy__astropy-14309,1,1,1,2,4,3,1,2,1,2,5,2,5,2,4
astropy__astropy-14365,1,1,1,1,5,3,1,3,1,2,5,2,5,2,5
astropy__astropy-14369,3,1,3,3,4,2,1,2,3,2,5,3,5,3,5
astropy__astropy-14508,1,1,2,3,4,3,1,3,2,3,5,3,5,2,5
astropy__astropy-14539,1,1,1,1,4,3,1,3,2,2,5,2,5,2,5
astropy__astropy-14598,4,1,3,3,4,3,1,1,4,3,5,2,4,4,4
astropy__astropy-14995,1,1,1,2,4,3,1,3,2,2,5,2,5,2,5
astropy__astropy-7166,1,1,1,2,4,3,1,3,2,2,4,2,5,2,4
astropy__astropy-7336,1,1,1,1,5,2,1,2,1,2,5,2,5,2,4
astropy__astropy-7606,2,1,2,3,5,3,1,2,2,3,5,2,5,3,5
astropy__astropy-7671,1,1,2,2,4,2,1,3,2,2,5,2,5,2,4
astropy__astropy-8707,2,2,3,2,4,3,1,2,2,2,4,2,5,3,4
astropy__astropy-8872,2,1,2,3,4,3,1,3,3,3,5,3,5,3,5
django__django-10097,1,1,2,3,4,2,1,3,2,2,5,2,5,3,5
django__django-10554,4,2,3,3,4,2,1,1,4,2,4,4,4,4,3
django__django-10880,1,1,1,2,4,2,1,3,1,2,5,2,5,1,5
django__django-10914,1,1,1,4,4,2,1,3,1,1,5,3,4,1,5
django__django-10973,1,1,2,2,4,2,1,3,2,1,5,2,5,2,4
django__django-10999,2,1,2,3,5,2,1,2,2,1,4,2,5,3,3
django__django-11066,1,1,1,1,5,2,1,3,1,1,5,2,5,2,5
django__django-11087,4,2,3,3,4,2,0,3,3,2,4,3,4,4,4
django__django-11095,1,1,1,2,4,2,1,3,1,1,5,2,5,1,4
django__django-11099,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
django__django-11119,1,1,1,2,5,2,1,3,1,1,5,2,5,2,5
django__django-11133,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-11138,2,3,3,3,4,3,1,3,3,2,4,3,5,3,5
django__django-11141,2,1,3,3,4,2,1,2,3,2,4,2,4,3,4
django__django-11149,3,1,3,3,4,2,1,1,3,2,4,3,4,4,5
django__django-11163,1,1,1,2,5,2,1,3,1,1,5,2,5,2,5
django__django-11179,2,1,1,2,5,2,1,3,2,2,5,3,5,2,5
django__django-11206,2,1,2,2,4,2,1,2,3,1,5,2,5,3,5
django__django-11211,4,1,2,3,4,2,1,0,3,1,4,3,5,4,4
django__django-11239,1,1,1,1,4,2,1,2,1,1,5,2,5,1,4
django__django-11265,4,2,3,3,4,2,0,2,4,2,4,4,5,4,4
django__django-11276,1,2,2,3,4,2,1,3,1,1,5,3,5,2,5
django__django-11292,1,1,2,2,4,2,1,2,2,1,4,3,5,2,4
django__django-11299,4,1,1,2,4,2,1,1,3,2,5,3,4,4,5
django__django-11333,1,2,2,2,5,2,1,3,2,1,5,2,5,2,5
django__django-11400,2,3,3,3,4,2,1,2,2,2,4,2,5,3,4
django__django-11433,3,1,2,3,4,2,1,2,3,1,3,3,4,3,4
django__django-11451,1,1,1,2,5,2,1,3,1,1,5,2,5,2,5
django__django-11477,3,1,1,3,4,2,1,3,2,2,3,3,4,3,4
django__django-11490,3,1,1,2,4,2,1,1,3,2,4,4,5,4,4
django__django-11532,1,4,3,3,4,2,1,3,2,1,5,2,5,2,4
django__django-11551,2,1,3,2,4,2,1,3,3,1,5,3,5,4,5
django__django-11555,3,1,2,2,4,2,1,2,3,2,4,4,4,3,4
django__django-11603,1,1,1,2,5,2,1,3,1,2,5,2,5,1,5
django__django-11728,2,1,3,2,4,2,1,3,3,2,5,2,5,3,5
django__django-11734,4,3,3,3,4,2,0,1,4,2,4,4,4,4,4
django__django-11740,2,1,2,2,4,2,1,3,3,1,4,3,4,3,5
django__django-11749,2,1,2,2,4,2,1,2,3,2,5,3,5,3,4
django__django-11790,2,1,1,1,4,2,1,2,1,1,5,2,5,2,5
django__django-11815,1,1,1,2,5,2,1,3,2,1,5,2,4,2,5
django__django-11820,2,1,3,2,4,2,1,2,3,2,4,2,5,3,4
django__django-11848,1,1,2,2,4,2,1,3,2,1,5,2,5,3,5
django__django-11880,1,1,1,1,4,2,1,3,1,1,5,3,5,2,4
django__django-11885,3,3,4,3,4,2,0,2,3,2,4,4,4,4,5
django__django-11951,1,1,1,2,4,2,1,3,1,2,5,2,5,2,5
django__django-11964,2,1,1,3,4,2,1,1,2,2,5,3,4,2,5
django__django-11999,2,1,1,2,4,2,1,3,2,2,5,3,5,2,5
django__django-12039,1,1,2,2,4,2,1,3,2,1,5,3,5,2,5
django__django-12050,2,1,2,3,5,2,1,2,2,1,4,3,5,2,4
django__django-12125,1,1,1,2,4,2,1,3,1,1,5,3,4,2,5
django__django-12143,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-12155,1,2,2,2,5,2,1,3,2,1,4,2,5,2,5
django__django-12193,1,1,1,1,4,3,1,3,2,2,5,2,5,2,5
django__django-12209,2,1,1,3,4,2,1,3,3,2,5,4,5,3,4
django__django-12262,2,1,1,2,4,2,1,1,3,1,4,3,5,3,4
django__django-12273,3,1,2,3,4,2,1,3,3,2,4,4,4,3,4
django__django-12276,1,1,1,2,4,2,1,3,1,1,5,2,5,2,5
django__django-12304,1,1,1,2,4,2,1,3,2,1,5,2,5,1,5
django__django-12308,2,1,2,2,4,2,1,3,2,2,5,2,5,2,5
django__django-12325,3,2,2,3,4,2,1,3,3,2,4,4,4,3,4
django__django-12406,3,2,3,3,4,2,1,1,3,1,5,3,5,4,4
django__django-12419,1,1,1,3,4,2,1,3,1,1,5,2,5,1,5
django__django-12663,4,1,2,3,4,2,0,3,4,2,4,4,4,4,4
django__django-12708,2,1,1,2,4,2,1,1,3,2,4,3,5,3,3
django__django-12713,1,1,1,2,4,2,1,2,1,1,4,2,5,2,4
django__django-12741,1,2,1,3,4,2,1,3,1,2,5,2,5,1,5
django__django-12754,3,1,3,2,4,2,1,3,3,2,5,3,4,4,5
django__django-12774,1,1,2,2,4,2,1,2,2,1,5,2,5,3,4
django__django-12858,2,1,1,2,4,2,1,1,3,2,4,3,5,3,4
django__django-12965,3,1,2,2,4,3,1,2,3,2,4,4,5,4,5
django__django-13012,1,1,1,2,5,3,1,3,2,2,5,2,5,2,5
django__django-13023,1,1,1,1,5,2,1,2,1,1,5,2,5,2,5
django__django-13028,2,1,1,2,4,2,1,3,3,2,5,3,4,3,4
django__django-13033,3,1,2,2,4,2,1,3,3,2,5,4,4,3,5
django__django-13089,1,1,1,1,4,2,1,3,1,1,5,2,5,1,4
django__django-13109,1,1,1,3,4,2,1,3,1,2,5,3,5,2,5
django__django-13112,2,1,2,2,4,2,1,3,2,2,4,4,4,2,4
django__django-13121,4,4,4,3,4,2,0,1,4,1,4,3,4,4,3
django__django-13128,4,2,4,3,4,2,0,1,4,2,3,3,4,4,3
django__django-13158,4,1,3,3,4,2,0,1,4,1,4,2,4,4,4
django__django-13195,2,3,2,2,4,2,1,3,1,1,5,2,4,2,4
django__django-13212,1,2,2,3,4,2,1,3,1,1,4,2,4,2,5
django__django-13279,2,1,2,3,4,2,1,2,3,1,4,3,4,3,4
django__django-13297,2,1,3,2,4,2,1,2,4,1,4,3,5,3,4
django__django-13315,4,2,3,3,4,2,1,2,4,2,4,3,4,4,4
django__django-13343,2,1,2,2,4,2,1,2,3,2,5,2,5,3,5
django__django-13344,3,3,3,3,4,2,1,3,3,2,4,3,4,3,4
django__django-13346,4,1,4,2,4,3,1,1,4,2,4,3,4,4,5
django__django-13363,1,1,1,2,5,2,1,3,1,1,5,2,5,1,5
django__django-13401,1,1,3,3,4,2,1,3,2,2,5,3,5,3,5
django__django-13406,1,1,1,2,4,2,1,3,3,1,5,3,4,3,5
django__django-13410,1,1,2,2,5,2,1,3,1,1,5,2,5,2,5
django__django-13417,2,1,1,2,4,2,1,2,3,2,4,2,4,3,4
django__django-13449,2,1,3,2,4,2,1,3,3,2,5,3,4,3,4
django__django-13512,2,2,1,2,4,2,1,3,1,1,5,3,4,2,4
django__django-13513,2,1,3,2,5,2,1,3,3,1,5,2,5,3,5
django__django-13516,2,1,1,1,4,2,1,1,2,1,4,3,5,2,4
django__django-13551,2,1,2,3,4,2,1,3,1,2,5,2,5,2,5
django__django-13568,1,1,2,1,4,2,1,2,2,2,4,2,5,2,4
django__django-13569,2,1,1,2,4,2,1,2,3,1,5,4,5,3,5
django__django-13590,1,1,2,2,5,2,1,3,2,1,5,3,5,2,5
django__django-13658,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
django__django-13670,1,1,1,2,5,2,1,2,1,1,5,1,5,2,5
django__django-13741,1,1,2,3,4,2,1,3,2,1,5,2,5,2,5
django__django-13786,2,1,2,2,4,2,1,3,3,2,5,2,5,3,4
django__django-13794,2,1,2,3,4,2,1,1,3,1,4,2,5,3,4
django__django-13807,1,1,2,1,4,2,1,3,1,2,5,2,5,2,5
django__django-13809,1,1,1,1,4,2,1,2,1,1,4,2,5,2,5
django__django-13810,3,1,2,2,4,2,1,2,3,2,4,3,5,3,4
django__django-13820,1,1,2,2,5,2,1,3,3,1,5,2,5,3,5
django__django-13821,1,1,1,2,4,2,1,3,1,1,5,2,4,1,5
django__django-13837,2,1,2,3,4,2,1,3,3,1,5,2,5,3,5
django__django-13925,3,1,2,2,4,2,1,1,3,2,4,4,4,3,5
django__django-13933,1,1,1,2,5,2,1,3,1,1,5,2,5,1,5
django__django-13964,2,1,1,3,4,2,1,3,3,2,5,3,4,3,5
django__django-14007,3,1,3,3,4,2,1,1,3,1,5,3,5,3,5
