,b,b_std
NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac,3.7405362,1.7327403
NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5,2.020502,0.8783781
NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0,-0.31136343,0.6899637
NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263,3.7708533,1.4110814
NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4,0.118886776,0.6420741
NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3,3.6892722,1.7006496
NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc,1.9256799,0.9260637
NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,3.633087,1.6319358
NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11,0.96539426,0.86164457
NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a,-0.7457545,0.5918693
NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f,1.8462828,1.0417882
NodeBB__NodeBB-397835a05a8e2897324e566b41c5e616e172b4af,-1.2018176,0.67701554
NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15,-0.29764476,0.6738015
NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9,-3.54733,1.0054094
NodeBB__NodeBB-445b70deda20201b7d9a68f7224da751b3db728c,3.8873384,1.4371798
NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b,1.0761173,0.8022679
NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a,0.02046811,0.6272928
NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0,-0.86726993,0.6364756
NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f,-1.1815984,0.67490417
NodeBB__NodeBB-767973717be700f46f06f3e7f4fc550c63509046,0.57720023,0.742515
NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48,-1.1356457,0.7178169
NodeBB__NodeBB-7b8bffd763e2155cf88f3ebc258fa68ebe18188d,-0.69821584,0.66844976
NodeBB__NodeBB-8168c6c40707478f71b8af60300830fe554c778c,3.713725,1.4963045
NodeBB__NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f,-0.34212607,0.63709176
NodeBB__NodeBB-84dfda59e6a0e8a77240f939a7cb8757e6eaf945,3.6011393,1.5732489
NodeBB__NodeBB-84e065752f6d7fbe5c08cbf50cb173ffb866b8fa,0.01651661,0.5960731
NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1,0.5583165,0.72629076
NodeBB__NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b,1.1807585,0.7738032
NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1,3.760254,1.6826664
NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10,1.9649608,0.9865445
NodeBB__NodeBB-a917210c5b2c20637094545401f85783905c074c,3.8395934,1.6636952
NodeBB__NodeBB-b1f9ad5534bb3a44dab5364f659876a4b7fe34c1,-1.6300128,0.5926112
NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f,0.112882875,0.72316897
NodeBB__NodeBB-bad15643013ca15affe408b75eba9e47cc604bb2,-0.39033455,0.6166532
NodeBB__NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712,-0.27653578,0.59394026
NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3,3.5628636,1.5992979
NodeBB__NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a,0.15986112,0.7177363
NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575,0.053322364,0.6585546
NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad,1.1173053,0.76895314
NodeBB__NodeBB-f083cd559d69c16481376868c8da65172729c0ca,-1.6928436,0.67786884
NodeBB__NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f,3.8711207,1.738376
NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a,3.6403534,1.5742425
NodeBB__NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189,1.1132041,0.9046514
NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70,-1.5968326,0.65264475
adaptive-rejection-sampler,0.039682336,0.2893145
ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8,-3.6683948,1.0819695
ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166,0.6086225,0.6982378
ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78,-0.3794099,0.67194355
ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d,3.6639676,1.5921394
ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955,-3.5941794,1.0789979
ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c,-1.2500088,0.68986094
ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe,-0.3353912,0.62818986
ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83,-1.1158819,0.61404467
ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3,-2.8104565,0.761227
ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85,0.5260744,0.70338297
ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb,3.7154298,1.7247007
ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d,3.7061253,1.6260046
ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b,-5.120534,1.3923727
ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b,0.099855006,0.65433127
ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf,-0.3099072,0.64334404
ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33,-1.6624304,0.703558
ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83,3.800216,1.4869608
ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a,-1.6931543,0.6754754
ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173,1.0079625,0.89851207
ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1,-2.8884015,0.8851917
ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b,-0.28336722,0.6392367
ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34,3.7019126,1.7772267
ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e,-1.6422799,0.6636765
ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b,-0.7445087,0.63297635
ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1,-1.198178,0.7372545
ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6,3.6388264,1.7973759
ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d,-0.7045545,0.69468015
ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134,-0.4026383,0.6687019
ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c,1.992115,0.85636216
ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1,-3.6187558,1.0475485
ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c,-0.7829512,0.61227876
ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1,0.59413975,0.74794894
ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e,0.99343556,0.9032296
