,b,b_std
astropy__astropy-12907,-1.2793614,0.2794065
astropy__astropy-13033,4.149136,0.7178842
astropy__astropy-13236,2.5229228,0.40873984
astropy__astropy-13398,5.9178,1.2880679
astropy__astropy-13453,-0.30855983,0.27340773
astropy__astropy-13579,-1.4036436,0.28852564
astropy__astropy-13977,5.8183193,1.2751102
astropy__astropy-14096,-1.1188315,0.25654823
astropy__astropy-14182,3.4093711,0.5224124
astropy__astropy-14309,-4.86783,0.5276938
astropy__astropy-14365,3.4569688,0.5215684
astropy__astropy-14369,2.406444,0.4144926
astropy__astropy-14508,-1.0160795,0.25689703
astropy__astropy-14539,-1.7755473,0.27943775
astropy__astropy-14598,3.1484792,0.4910546
astropy__astropy-14995,-2.7686574,0.35561162
astropy__astropy-7166,-2.3687737,0.32132074
astropy__astropy-7336,-3.906094,0.42698106
astropy__astropy-7606,3.709203,0.58535683
astropy__astropy-7671,-3.048428,0.3505301
astropy__astropy-8707,4.1253524,0.7046331
astropy__astropy-8872,4.1062284,0.61431897
django__django-10097,0.9117463,0.32804003
django__django-10554,6.0197434,1.1980995
django__django-10880,-1.7928497,0.29677975
django__django-10914,-3.2860513,0.3901488
django__django-10973,-2.2225091,0.33021763
django__django-10999,6.0476604,1.2921858
django__django-11066,-5.1826634,0.5733419
django__django-11087,6.0025697,1.2494054
django__django-11095,-3.441596,0.4055787
django__django-11099,-4.5493894,0.44996387
django__django-11119,-4.947342,0.60007143
django__django-11133,-4.8614836,0.46890554
django__django-11138,3.1506221,0.46501043
django__django-11141,2.3764906,0.3957261
django__django-11149,1.2479844,0.2901495
django__django-11163,-4.3672624,0.50334674
django__django-11179,-3.0632675,0.43665287
django__django-11206,0.7764035,0.26458314
django__django-11211,-0.94203115,0.25418094
django__django-11239,0.5680008,0.29245377
django__django-11265,0.71474123,0.32744837
django__django-11276,-2.4913974,0.3368175
django__django-11292,-2.1597285,0.31448188
django__django-11299,-0.11637676,0.2795776
django__django-11333,-0.09685872,0.26708356
django__django-11400,6.0298476,1.3204529
django__django-11433,2.5268211,0.44397822
django__django-11451,-2.1668086,0.35357878
django__django-11477,4.724253,0.8910741
django__django-11490,0.59690225,0.28813055
django__django-11532,0.023512838,0.26036525
django__django-11551,-3.593125,0.37744966
django__django-11555,0.5067621,0.27642968
django__django-11603,-4.0623274,0.5033745
django__django-11728,2.6398177,0.40686643
django__django-11734,4.7011147,0.9052739
django__django-11740,-0.806311,0.26442412
django__django-11749,-1.515062,0.2841163
django__django-11790,1.3896668,0.3219303
django__django-11815,-1.142179,0.27860016
django__django-11820,4.638838,0.97355676
django__django-11848,0.94376147,0.30940717
django__django-11880,-4.3668013,0.47469047
django__django-11885,2.651542,0.4169428
django__django-11951,-2.6858504,0.37306002
django__django-11964,0.8437865,0.30129513
django__django-11999,-2.5601368,0.31497857
django__django-12039,-0.792483,0.23998474
django__django-12050,-2.9407265,0.3748347
django__django-12125,0.14117265,0.27765337
django__django-12143,-4.314056,0.5053144
django__django-12155,-5.1738896,0.59772563
django__django-12193,-0.6591749,0.26657075
django__django-12209,-2.349019,0.3187066
django__django-12262,-1.1452385,0.26106054
django__django-12273,2.7549598,0.409761
django__django-12276,-2.734041,0.30640236
django__django-12304,-1.0276153,0.2538471
django__django-12308,1.9105846,0.33550456
django__django-12325,2.126001,0.39348638
django__django-12406,5.9254947,1.2754384
django__django-12419,-3.8967178,0.479822
django__django-12663,0.10427666,0.22635226
django__django-12708,-1.1966468,0.273585
django__django-12713,-2.7577617,0.32425404
django__django-12741,-1.4487762,0.29596946
django__django-12754,0.2640028,0.28108442
django__django-12774,0.055345647,0.28904736
django__django-12858,-1.2810616,0.27968034
django__django-12965,0.6900495,0.30581403
django__django-13012,-0.93247855,0.27079645
