,theta,theta_std
GPT-5.2,3.0679827,0.22242907
gemini-3-flash-preview,2.59893,0.2369282
claude-4-opus,2.3715403,0.10290401
GPT-5.1 Codex Max,2.3676674,0.3134098
gemini-3-pro-preview,2.3482459,0.1209499
GPT-5.1 Codex,2.1913583,0.21185774
GPT-5.1,1.9502615,0.29977286
claude-sonnet-4-5,1.8642203,0.07382679
GPT-5,1.5726293,0.064843036
Qwen3-Coder-480B-A35B-Instruct,1.42807,0.14887105
Claude 3.7 Sonnet,1.3899444,0.07810534
Claude 4.5 Haiku,1.3057373,0.0870793
GLM-4.5,1.2608249,0.08505422
GPT-5.1 Codex Mini,1.2568967,0.3016827
Claude 4 Sonnet,1.2203696,0.048853442
kimi-k2-thinking,1.190212,0.266239
FrogBoss-32B,1.184653,0.14117247
minimax-m2_1,1.0732882,0.21431483
kimi_k2_instruct,1.009338,0.083501086
Kimi K2,0.9251755,0.11279425
GPT-5 Codex,0.91443944,0.10605719
o3,0.87882996,0.13741273
minimax-m2,0.75265825,0.266886
GPT-5 High,0.6777352,0.111272395
grok-4-0709,0.6726646,0.16578917
Claude Opus 4.1,0.5903624,0.09523595
o4-mini,0.57904696,0.15876241
o1_crosscheck5,0.52288973,0.1588818
glm4-6,0.48760813,0.14933088
QwenCoder30BA3B_tts,0.4375296,0.1365868
Qwen3-Coder-480B-A35B-Instruct-FP8,0.40815067,0.18116124
FrogMini-14B,0.3986251,0.12264791
claude-3-5-sonnet_swe-search,0.3775961,0.15061642
kimi-k2-instruct-0905,0.31064197,0.19283086
GPT-5-mini,0.1811575,0.12631173
DeepSWE-Preview,0.1652864,0.139864
SWE-agent-LM-32B,0.11558461,0.12579203
devstral_small_2507,-0.11964394,0.11697884
grok-code-fast-1,-0.12533337,0.20575164
Gemini 2.5 Pro Preview,-0.18192478,0.098174155
GPT-4o-mini,-0.23375478,0.12418987
Qwen3-Coder-30B-A3B-Instruct,-0.28328207,0.092003524
GPT OSS 120B,-0.35541636,0.10471248
lingma-swe-gpt-72b,-0.48759446,0.10454288
gemini-2_5-flash,-0.5211893,0.16603637
devstral_small,-0.7128761,0.12955686
Claude 3.5 Sonnet,-0.8397065,0.032141842
Amazon Nova Premier 1.0,-0.88905406,0.14640254
o3_mini,-0.904883,0.13598147
DeepSeek-V3,-0.9555263,0.1312993
llama3_70b,-0.978994,0.1346504
claude-3-5-haiku,-1.1349545,0.13194661
gemini_2.0_flash_experimental,-1.1810908,0.08852634
Skywork-SWE-32B,-1.4264206,0.13016157
Qwen2.5-72b-editor,-1.5482632,0.09086326
GPT-5-nano,-1.8015422,0.18640646
lingma-swe-gpt-7b,-1.86308,0.10943422
MCTS-Refine-7B,-2.221011,0.13506278
Claude 2,-2.257045,0.24679846
GPT-4,-2.273267,0.093576625
Claude 3 Opus,-2.4379508,0.12341923
GPT-4o,-2.5650835,0.051495608
GPT OSS 20B,-2.7378855,0.26399234
swellama7b,-3.3994074,0.30570176
swellama13b,-3.487263,0.30410257
GPT-3.5,-4.1247087,0.44645593
