,theta,theta_std
ante,1.5128014,0.32339996
agentscope,1.409787,0.14469835
learn_by_interact,1.0877173,0.13231345
junie,1.0059613,0.29981896
ii-agent-simple,0.92185026,0.2982161
spoox-m,0.8962611,0.30685106
factory_droid,0.8575415,0.20647871
codex,0.8073421,0.12009903
google_jules,0.80399287,0.1426355
autocoderover-v20240620,0.70882976,0.13441737
Lingxi-v1.5,0.7082272,0.18059424
zai,0.6813667,0.1596913
Harness,0.6775043,0.15110904
Refact_Agent,0.6636767,0.16795316
agentless-1.5,0.66175765,0.09626073
letta-code,0.64871705,0.19553106
20241108_devlo,0.64221203,0.1303908
Lingxi,0.5545925,0.1632062
OpenHands-CodeAct-2.1,0.4956032,0.1299699
MASAI,0.48528805,0.1424997
Prometheus_v1.2.1,0.35857964,0.15128197
autocoderover-v2.1,0.3507432,0.12082266
enginelabs,0.33510873,0.12976897
cortexa,0.3117722,0.15281399
epam-ai-run,0.29912895,0.0607235
bloop,0.23881558,0.14238004
moatless,0.21510175,0.16785784
patchpilot-v1.1,0.21435809,0.16890813
wandb_programmer,0.1543718,0.16178375
codestory_midwit,0.14334056,0.14627473
codeshellagent,0.09461362,0.13537015
sonar-foundation-agent,0.079332314,0.17358863
gemini-cli,0.06629622,0.1775663
Prometheus_v1.2,-0.0027807765,0.16078164
livesweagent,-0.026530314,0.17777516
appmap-navie,-0.03831824,0.15237781
terminus-2,-0.044672437,0.068449
goose,-0.056113683,0.1738731
Bracket,-0.05631651,0.13369302
aone-agent,-0.08365984,0.29658005
mini-swe-agent,-0.08423485,0.08693652
entroPO_R2E,-0.09029474,0.09588832
OpenHands,-0.10163934,0.048327588
autocoderover-v2.0,-0.11235794,0.13488393
claude-code,-0.1380797,0.14084531
terminalbenchagent,-0.14628962,0.29791525
Tools,-0.16905186,0.06585983
NoScaffold,-0.24870819,0.13089482
agentless_lite,-0.2629195,0.1264304
SWE-Exp,-0.28941047,0.12533426
swerl,-0.28986993,0.14177464
ugaiforge,-0.42741695,0.1214276
aime-coder,-0.43506885,0.14403534
20241016_composio_swekit,-0.4977032,0.12746331
SWE-Fixer_Qwen2.5-7b-retriever,-0.54324144,0.09706735
agentless,-0.6921886,0.13109195
SWE-agent,-0.8413637,0.07150122
Artemis Agent v2,-1.1561952,0.13833465
Artemis Agent v1,-1.2197294,0.1446795
swe-rizzo,-1.3508041,0.15382075
final,-1.3689415,0.30482084
R2E-Gym,-1.3967923,0.07971815
SWE-agent 1.0,-1.4959966,0.027406564
lingma-agent,-2.0573525,0.073977
RAG,-3.3685503,0.12410954
